block,score_q,sep_trending,sep_ranging,sep_worst_of_two,sep_mean_all,median_run,flip_rate,min_state_share,share_trending,share_ranging,share_trend_in_range,share_neither,passes_run_strict,passes_run,passes_coverage,eligible,paired_se,margin_vs_default,beats_default_by_1se,chosen_on_is,final,is_final
is,0.4,0.17770464665438115,0.14188673305658672,0.14188673305658672,0.09936582497116399,20.0,0.03483415458662534,0.10023176479779172,0.2982300808138677,0.29787418730415005,0.3036639670841905,0.10023176479779172,True,True,True,True,0.007678029963876336,0.008488615608121919,True,0.4,0.5,False
is,0.45,0.17276813195034074,0.1393949107381025,0.1393949107381025,0.0986001813063219,19.0,0.03480817854917961,0.13912107561041237,0.30873456066800337,0.3091164752753691,0.24302788844621515,0.13912107561041237,False,True,True,True,0.005532806848460533,0.005996793289637703,True,0.4,0.5,False
is,0.5,0.17351179791951682,0.1333981174484648,0.1333981174484648,0.10025572320337243,19.0,0.03416081511128025,0.18656852448201933,0.30982492383275323,0.31524994140981016,0.18835661027541728,0.18656852448201933,False,True,True,True,0.0,0.0,False,0.4,0.5,True
is,0.55,0.16366052383611462,0.13223273969361,0.13223273969361,0.10122192534958181,20.0,0.033256169064321245,0.14057521855006033,0.3060395343386202,0.31179519233273434,0.14057521855006033,0.24159005477858514,True,True,True,True,0.005647914997003824,-0.0011653777548548128,False,0.4,0.5,False
is,0.6,0.15626109934249588,0.12948816840188748,0.12948816840188748,0.10005611855371013,20.0,0.03217430674301998,0.10339739249691857,0.2935437390413694,0.2972935437390414,0.10339739249691857,0.3057653247226707,True,True,True,True,0.00877442104286635,-0.003909949046577321,False,0.4,0.5,False
oos_confirmation,0.4,0.13202401283833043,0.1119302701907626,0.1119302701907626,0.09306303040617736,20.0,0.03533876937932514,0.10859127729199078,0.2420068665844107,0.3471246177780162,0.30227723834558234,0.10859127729199078,,,,,,,,0.4,0.5,False
