X,Y,kind,is_lift,is_surr,is_excess,is_z,smooth,n_neighbours,interior,fire_rate
0.85,0.5,shape only,0.9385457747827086,1.0870721239594052,-0.1485263491766966,-3.353712200700763,-0.12770092526842286,3,False,0.06035316884373488
0.85,0.5,activity only,0.9455924349770091,0.9800539530849303,-0.034461518107921196,-0.6429259844989332,-0.06406624572607902,3,False,0.06035316884373488
0.85,0.5,both,0.7385237404105328,0.6562073674835225,0.08231637292701033,1.4476564364239881,0.028091891003781705,3,False,0.06035316884373488
0.85,0.5,combined (shipped),0.9017755740838205,0.9825490011861072,-0.08077342710228674,-2.2350371000958207,-0.09724167661271838,3,False,0.06035316884373488
0.85,0.75,shape only,0.9586948742706677,1.085654082069577,-0.12695920779890935,-2.955690304282929,-0.10977084879192718,5,False,0.05796300135922777
0.85,0.75,activity only,0.9208268388256979,0.9863361776068794,-0.06550933878118148,-1.2342523888578858,-0.07271798708079837,5,False,0.05796300135922777
0.85,0.75,both,0.67617569964424,0.640234504437591,0.03594119520664896,0.5928517414110829,0.023728917478837208,5,False,0.05796300135922777
0.85,0.75,combined (shipped),0.8828939844507666,0.9819144472315691,-0.09902046278080245,-2.6196662554511723,-0.09392534038481738,5,False,0.05796300135922777
0.85,1.0,shape only,0.9909053635765173,1.0725080047678544,-0.08160264119133709,-2.364051576067292,-0.1087035050177058,5,False,0.055112078696984354
0.85,1.0,activity only,0.9085525820005953,0.9979518059724588,-0.0893992239718635,-1.6475086647295296,-0.05705032270701854,5,False,0.055112078696984354
0.85,1.0,both,0.6760061635938494,0.6351668552434068,0.04083930835044258,0.7096161882664719,0.01848921266733115,5,False,0.055112078696984354
0.85,1.0,combined (shipped),0.8998185511360657,0.9780919027499076,-0.07827335161384197,-2.4490630755104252,-0.09602107339227971,5,False,0.055112078696984354
0.85,1.5,shape only,0.9288977346200928,1.0635551007265156,-0.13465736610642276,-3.417222536154082,-0.10860678300845178,5,False,0.04840809086092105
0.85,1.5,activity only,0.9954595387329548,0.9986724493975903,-0.003212910664635471,-0.05672798241980357,-0.03185978894626886,5,False,0.04840809086092105
0.85,1.5,both,0.6909906887692484,0.6389873621266132,0.052003326642635184,0.8731229108082195,0.007977769934762716,5,False,0.04840809086092105
0.85,1.5,combined (shipped),0.8892341720382487,0.9749896958423909,-0.0857555238041422,-2.5758380500829645,-0.08864701281545269,5,False,0.04840809086092105
0.85,2.0,shape only,0.9365112689101573,1.0519911646245925,-0.11547989571443518,-2.076760239697243,-0.13494152024415143,5,False,0.04120879120879121
0.85,2.0,activity only,1.030960916318262,1.0047924310523024,0.026168485265959607,0.45299015246723495,0.02568913193584142,5,False,0.04120879120879121
0.85,2.0,both,0.6684891330308096,0.6407149220119208,0.027774211018888773,0.4556460899979691,0.009251141419692707,5,False,0.04120879120879121
0.85,2.0,combined (shipped),0.9128815815263717,0.9740535532064842,-0.06117197168011257,-1.8416169005789629,-0.08479219700507203,5,False,0.04120879120879121
0.85,3.0,shape only,0.8600835880481568,1.0286953679815367,-0.16861177993337995,-2.064467639709078,-0.1525779531745101,5,False,0.02753012186974451
0.85,3.0,activity only,1.1035485370997795,0.9839761907240054,0.11957234637577407,1.1712433826078408,0.08979319947651676,5,False,0.02753012186974451
0.85,3.0,both,0.7242455971352585,0.661793347775179,0.06245224936007954,0.7232671210822371,-0.0012501735735418091,5,False,0.02753012186974451
0.85,3.0,combined (shipped),0.8968536939510655,0.9595721165433485,-0.062718422592283,-1.1568425926178434,-0.0647756220127393,5,False,0.02753012186974451
0.85,4.0,shape only,0.8215318615636751,1.0006719963194552,-0.17914013475578017,-1.8259026122618154,-0.17138965188827993,3,False,0.015999723546893357
0.85,4.0,activity only,1.1953836945102736,0.9884654806000148,0.20691821391025877,1.788664458912777,0.13462790345207923,3,False,0.015999723546893357
0.85,4.0,both,0.7760184391080619,0.6746461718726149,0.10137226723544701,1.0112586122707208,0.011995349545070172,3,False,0.015999723546893357
0.85,4.0,combined (shipped),0.9489741218450258,0.9526276257909129,-0.0036535039458870378,-0.054414869981324054,-0.05594853439181652,3,False,0.015999723546893357
0.9,0.5,shape only,0.9805566518675061,1.112344560215036,-0.13178790834752985,-3.0418365825173868,-0.12982008115409924,5,False,0.04433616697767641
0.9,0.5,activity only,0.9129255461418481,0.9838333914245285,-0.07090784528268046,-1.146626937356598,-0.0764460434370176,5,False,0.04433616697767641
0.9,0.5,both,0.6820842213896305,0.6596192470753931,0.02246497431423744,0.3096096093319702,0.013939691850854604,5,False,0.04433616697767641
0.9,0.5,combined (shipped),0.8967825997224527,0.9958719211009076,-0.09908932137845494,-2.6013262623525204,-0.10275620419639571,5,False,0.04433616697767641
0.9,0.75,shape only,1.0052453750605037,1.1087756108110594,-0.10353023575055564,-2.715025191730852,-0.11091213307505293,8,True,0.04229156587647154
0.9,0.75,activity only,0.9077400349748653,0.9931263157073983,-0.08538628073253296,-1.4013405961722132,-0.08474097792882211,8,True,0.04229156587647154
0.9,0.75,both,0.6214824597142415,0.6498374381470114,-0.028354978432769906,-0.35704922671530204,0.013493743973456781,8,True,0.04229156587647154
0.9,0.75,combined (shipped),0.8863556106953431,0.9964391058846724,-0.11008349518932936,-2.9504769256823975,-0.09862554767225154,8,True,0.04229156587647154
0.9,1.0,shape only,1.0300578908049032,1.0962766412914378,-0.06621875048653458,-1.7913649610847013,-0.11208479668543957,8,True,0.03983804455502569
0.9,1.0,activity only,0.9102319503013276,1.0008756659099383,-0.09064371560861062,-1.6190359779119596,-0.06809343412251619,8,True,0.03983804455502569
0.9,1.0,both,0.6366490765171504,0.6474824440096966,-0.010833367492546153,-0.13600723351897706,0.01433576386767579,8,True,0.03983804455502569
0.9,1.0,combined (shipped),0.8963982316103918,0.9927102158545806,-0.09631198424418885,-2.9084848425350476,-0.10042136597359089,8,True,0.03983804455502569
0.9,1.5,shape only,0.9510589949298464,1.0903118237023217,-0.13925282877247536,-2.8392013920525043,-0.11673896373182606,8,True,0.034648789365770497
0.9,1.5,activity only,0.9854934900821674,0.9936439565654546,-0.008150466483287211,-0.1357250474557126,-0.03927042324171215,8,True,0.034648789365770497
0.9,1.5,both,0.6642151746286632,0.642875382899087,0.02133979172957623,0.2380175863266545,0.0023915982655668844,8,True,0.034648789365770497
0.9,1.5,combined (shipped),0.8794512676315327,0.9861328903529061,-0.10668162272137338,-3.0762051126640193,-0.09572882509632255,8,True,0.034648789365770497
0.9,2.0,shape only,0.9605692061120217,1.0749984218915274,-0.11442921577950571,-1.814833451222605,-0.14916480713569713,8,True,0.02937314258068975
0.9,2.0,activity only,0.9763664765092473,1.0022873787244233,-0.025920902215175956,-0.4563163049235302,0.022931531421552354,8,True,0.02937314258068975
0.9,2.0,both,0.5658467785162951,0.6491034291567154,-0.08325665064042032,-0.9322951187910271,-0.012364960641483501,8,True,0.02937314258068975
0.9,2.0,combined (shipped),0.8824636523226503,0.9861512751517075,-0.10368762282905719,-3.116889568458062,-0.09823385228427517,8,True,0.02937314258068975
0.9,3.0,shape only,0.9205511645426232,1.0577691997013128,-0.13721803515868958,-1.411236605524903,-0.17586473960055096,8,True,0.019248047549934342
0.9,3.0,activity only,1.0070440507676996,0.9613658114312862,0.04567823933641346,0.45200455244844495,0.08745658809436029,8,True,0.019248047549934342
0.9,3.0,both,0.6210318953057872,0.6458379748983903,-0.02480607959260317,-0.24832372500972508,-0.02990178708030368,8,True,0.019248047549934342
0.9,3.0,combined (shipped),0.8752694615982507,0.9640074800017145,-0.08873801840346385,-1.5952332271312053,-0.08610423837425897,8,True,0.019248047549934342
0.9,4.0,shape only,0.820387422445934,1.020976080151204,-0.20058865770527,-1.4570944725540478,-0.1981849529839411,5,False,0.011196350818992328
0.9,4.0,activity only,1.1267267471766578,0.9603839329907872,0.1663428141858706,1.2979627226418646,0.13340012128155532,5,False,0.011196350818992328
0.9,4.0,both,0.5768052591138052,0.6678422979364479,-0.09103703882264269,-0.8023763500061093,-0.02678222952781491,5,False,0.011196350818992328
0.9,4.0,combined (shipped),0.8885453718896494,0.9572295645152816,-0.06868419262563219,-0.840785477145796,-0.08189413739524583,5,False,0.011196350818992328
0.93,0.5,shape only,0.9619970377977147,1.10881783211425,-0.14682079431653516,-2.3425008182089666,-0.13589870025761006,5,False,0.03274241481788651
0.93,0.5,activity only,0.9112745935758195,0.9918829580399977,-0.08060836446417818,-1.0291618744633337,-0.07512271295056455,5,False,0.03274241481788651
0.93,0.5,both,0.6252430051282669,0.6454609851275236,-0.020217979999256674,-0.23713987004881637,-0.015777096979459355,5,False,0.03274241481788651
0.93,0.5,combined (shipped),0.8824853328781946,0.9933536206835565,-0.11086828780536184,-2.441484971026466,-0.10775931253906469,5,False,0.03274241481788651
0.93,0.75,shape only,0.9862099397183058,1.1075059312526747,-0.12129599153436887,-1.9114430100952573,-0.11936852372224625,8,True,0.031118252816366022
0.93,0.75,activity only,0.8791131055554454,1.0009160188090567,-0.12180291325361126,-1.5993852181489463,-0.08052343795688556,8,True,0.031118252816366022
0.93,0.75,both,0.6263701405597062,0.6348815734704487,-0.008511432910742522,-0.09847424343987855,-0.01254358343211178,8,True,0.031118252816366022
0.93,0.75,combined (shipped),0.8776344759082879,0.9943367068304269,-0.11670223092213894,-2.358090410352155,-0.10568882836857857,8,True,0.031118252816366022
0.93,1.0,shape only,1.027451205181852,1.0989185242548614,-0.0714673190730093,-1.3160253658449446,-0.12541141043667597,8,True,0.029125486672656485
0.93,1.0,activity only,0.8879740261626852,1.0119236273195045,-0.1239496011568193,-1.857336710449889,-0.05963388175969056,8,True,0.029125486672656485
0.93,1.0,both,0.6398306986231515,0.6320310948250645,0.007799603798086974,0.08760024090716179,0.0012594231297143137,8,True,0.029125486672656485
0.93,1.0,combined (shipped),0.8955018540326426,0.9920092220465013,-0.09650736801385873,-2.2973619054088834,-0.10865259394747998,8,True,0.029125486672656485
0.93,1.5,shape only,0.9251767628259949,1.088955592281338,-0.16377882945534317,-2.4745223846152027,-0.1373034223969033,8,True,0.025295459257723408
0.93,1.5,activity only,0.9976226407293325,1.0224090971794364,-0.02478645645010391,-0.2912184874804303,-0.03488049880649777,8,True,0.025295459257723408
0.93,1.5,both,0.6401563743620956,0.6213579464443448,0.01879842791775077,0.196470610596101,-0.008868624845290742,8,True,0.025295459257723408
0.93,1.5,combined (shipped),0.8731993841650353,0.9876556386376774,-0.11445625447264207,-2.54413394093328,-0.11065684837213681,8,True,0.025295459257723408
0.93,2.0,shape only,0.9222633331326668,1.0860271601400382,-0.16376382700737135,-2.0063772208778463,-0.17173020776496017,8,True,0.021453912963346925
0.93,2.0,activity only,1.0068195500810344,1.0203585679719074,-0.013539017890872973,-0.15733150714674057,0.032566711699207045,8,True,0.021453912963346925
0.93,2.0,both,0.5743264398121447,0.6272667067464568,-0.052940266934312086,-0.4884234392696473,-0.03305673040918987,8,True,0.021453912963346925
0.93,2.0,combined (shipped),0.872681556075876,0.991395282563562,-0.11871372648768597,-2.466834792661619,-0.11518119347630146,8,True,0.021453912963346925
0.93,3.0,shape only,0.8657420327063682,1.0710335190000193,-0.20529148629365113,-1.7160859092763407,-0.20211707321496783,8,True,0.013811136452645886
0.93,3.0,activity only,1.0617971965657225,0.9712227310458229,0.09057446551989956,0.7114748191454312,0.09843903838776932,8,True,0.013811136452645886
0.93,3.0,both,0.4991931479642503,0.6318428032391967,-0.13264965527494643,-1.0071908593522796,-0.0570233302704061,8,True,0.013811136452645886
0.93,3.0,combined (shipped),0.8256969846293803,0.9678784921970967,-0.1421815075677163,-1.9454809730399165,-0.1104278154733468,8,True,0.013811136452645886
0.93,4.0,shape only,0.7329033081112112,1.0311629321680869,-0.29825962405687567,-1.8764438959121437,-0.22271641792860253,5,False,0.008132328887045868
0.93,4.0,activity only,1.137639853463274,0.9663252051021585,0.17131464836111543,1.3294289102159496,0.1532988939531234,5,False,0.008132328887045868
0.93,4.0,both,0.5705064548162859,0.6465315748885097,-0.07602512007222373,-0.4341284037425874,-0.05743492236699634,5,False,0.008132328887045868
0.93,4.0,combined (shipped),0.8275117032769175,0.9529008825134101,-0.12538917923649262,-1.3394203558620172,-0.10589423537173624,5,False,0.008132328887045868
0.95,0.5,shape only,0.9535709345751302,1.114627389735676,-0.1610564551605458,-2.0878377230432874,-0.17400289888456952,5,False,0.02398806644089663
0.95,0.5,activity only,0.9473077597186357,0.9899053628676128,-0.04259760314897709,-0.5109103762767172,-0.0424007158832686,5,False,0.02398806644089663
0.95,0.5,both,0.6334109926168991,0.6528725623520047,-0.0194615697351056,-0.19109811674041988,0.03886280808362258,5,False,0.02398806644089663
0.95,0.5,combined (shipped),0.8991094549952248,0.9952610838380039,-0.09615162884277917,-1.7855020679813598,-0.10115607480399003,5,False,0.02398806644089663
0.95,0.75,shape only,0.9644913529738377,1.1153921694099627,-0.15090081643612496,-1.8239074481026312,-0.1544325706634932,8,True,0.022720989702121778
0.95,0.75,activity only,0.950552035142928,0.9999853059643353,-0.04943327082140736,-0.6763882688686204,-0.047096317862483486,8,True,0.022720989702121778
0.95,0.75,both,0.6047943370297064,0.6453759321428253,-0.04058159511311887,-0.3860625422869232,0.04708520026690907,8,True,0.022720989702121778
0.95,0.75,combined (shipped),0.8836141916346747,0.9972751027309986,-0.11366091109632392,-1.9364546387375183,-0.09677166707927583,8,True,0.022720989702121778
0.95,1.0,shape only,0.9853881345725164,1.1066265769675285,-0.12123844239501214,-1.5171003119588016,-0.15580167959367117,8,True,0.021142903218374916
0.95,1.0,activity only,0.9511526069193437,1.0105339540624965,-0.059381347143152796,-0.8094034048511953,-0.035275249391983565,8,True,0.021142903218374916
0.95,1.0,both,0.6316846494754754,0.6468805547932661,-0.015195905317790692,-0.13384656730416727,0.07978550061653569,8,True,0.021142903218374916
0.95,1.0,combined (shipped),0.8826654813199034,0.9944897091446747,-0.1118242278247713,-2.156262572000419,-0.09634251115569158,8,True,0.021142903218374916
0.95,1.5,shape only,0.8945066018636918,1.0855260818903516,-0.1910194800266598,-2.094871510499043,-0.17100382380651755,8,True,0.018268942797244683
0.95,1.5,activity only,1.052951054766351,1.0261219389540406,0.0268291158123104,0.26749508068373945,-0.01944150904592565,8,True,0.018268942797244683
0.95,1.5,both,0.7028091523997541,0.6359348884107711,0.066874263988983,0.536937390191986,0.07699217608993708,8,True,0.018268942797244683
0.95,1.5,combined (shipped),0.8743519883680638,0.985997239410757,-0.11164525104269318,-2.0188425425868743,-0.10155997530039008,8,True,0.018268942797244683
0.95,2.0,shape only,0.8796309423219785,1.0841930508981967,-0.20456210857621826,-1.8986659896666287,-0.21953217142177925,8,True,0.01549865229110512
0.95,2.0,activity only,1.0229633227799437,1.0173454209027113,0.005617901877232434,0.054553134925378,0.04688637830098271,8,True,0.01549865229110512
0.95,2.0,both,0.6086419130259307,0.6410454336828751,-0.03240352065694441,-0.23570032623262,0.04297597150333797,8,True,0.01549865229110512
0.95,2.0,combined (shipped),0.8537863061550282,0.9898698838679888,-0.13608357771296065,-2.420452438710079,-0.11713939160977999,8,True,0.01549865229110512
0.95,3.0,shape only,0.8380753079036287,1.064331366718356,-0.22625605881472732,-1.4851841074792533,-0.2542853090054604,8,True,0.009923514640495772
0.95,3.0,activity only,1.168147698049495,0.9713501722630473,0.1967975257864476,1.2862679583028862,0.12933456503066004,8,True,0.009923514640495772
0.95,3.0,both,0.5591780769007937,0.6376449611205861,-0.07846688421979242,-0.4535742403998041,0.011823831216547002,8,True,0.009923514640495772
0.95,3.0,combined (shipped),0.8537684717534626,0.9682116318025832,-0.11444316004912058,-1.349128487413731,-0.11746437902613922,8,True,0.009923514640495772
0.95,4.0,shape only,0.7628567476601043,1.0315413932025057,-0.26868464554240146,-1.4455748410040878,-0.2788572325900835,5,False,0.005932222913354989
0.95,4.0,activity only,1.217967119638246,0.9688814491092522,0.24908567052899377,1.7397466388113638,0.19671322781557468,5,False,0.005932222913354989
0.95,4.0,both,0.7125873666940116,0.6542121229137812,0.0583752437802304,0.276819423913638,0.0015768514405902396,5,False,0.005932222913354989
0.95,4.0,combined (shipped),0.8613317468021481,0.95726110115014,-0.09592935434799188,-0.8228372684453544,-0.11682164241253906,5,False,0.005932222913354989
