pair,leg,direction,entry_date,entry_px,exit_date,exit_px,units,R,reason,route,bars_held
GBPUSD,leg1,long,2020-12-23,1.34946,2021-01-11,1.35169,6445.088789281629,0.07186274000048869,baseline cross,baseline cross,11
GBPUSD,leg2,long,2020-12-23,1.34946,2021-01-11,1.35169,6445.088789281629,0.07186274000048869,baseline cross,baseline cross,11
GBPUSD,leg1,long,2021-02-04,1.36724,2021-02-10,1.3835990041141202,9169.262319002002,0.750000000000004,target,baseline cross,4
GBPUSD,leg2,long,2021-02-04,1.36724,2021-02-26,1.3992850380201511,9169.262319002002,1.4691467981457913,stop,baseline cross,16
GBPUSD,leg1,short,2021-04-07,1.3737,2021-04-16,1.3834112893538513,10297.293835688331,-0.4999999999999961,stop,baseline cross,7
GBPUSD,leg2,short,2021-04-07,1.3737,2021-04-16,1.3834112893538513,10297.293835688331,-0.4999999999999961,stop,baseline cross,7
GBPUSD,leg1,short,2021-08-12,1.3808,2021-08-13,1.38692,12127.199709422637,-0.3710923111083268,baseline cross,baseline cross,1
GBPUSD,leg2,short,2021-08-12,1.3808,2021-08-13,1.38692,12127.199709422637,-0.3710923111083268,baseline cross,baseline cross,1
GBPUSD,leg1,long,2022-02-02,1.35738,2022-02-04,1.3534,12442.78469555696,-0.24761141544158938,baseline cross,baseline cross,2
GBPUSD,leg2,long,2022-02-02,1.35738,2022-02-04,1.3534,12442.78469555696,-0.24761141544158938,baseline cross,baseline cross,2
GBPUSD,leg1,long,2022-02-07,1.35354,2022-02-23,1.35466,12267.766780650747,0.06869949397164479,baseline cross,baseline cross,12
GBPUSD,leg2,long,2022-02-07,1.35354,2022-02-23,1.35466,12267.766780650747,0.06869949397164479,baseline cross,baseline cross,12
GBPUSD,leg1,short,2022-06-08,1.25362,2022-06-10,1.2361669534972919,8594.488072711294,0.7500000000000003,target,baseline cross,2
GBPUSD,leg2,short,2022-06-08,1.25362,2022-06-15,1.2203929316212994,8594.488072711294,1.4278482143595244,stop,baseline cross,5
GBPUSD,leg1,short,2022-08-09,1.20743,2022-08-10,1.2201415706000347,7866.848491541063,-0.5000000000000032,stop,baseline cross,1
GBPUSD,leg2,short,2022-08-09,1.20743,2022-08-10,1.2201415706000347,7866.848491541063,-0.5000000000000032,stop,baseline cross,1
GBPUSD,leg1,long,2022-08-10,1.22179,2022-08-15,1.208473541585682,7509.504170604403,-0.5000000000000034,stop,baseline cross,3
GBPUSD,leg2,long,2022-08-10,1.22179,2022-08-15,1.208473541585682,7509.504170604403,-0.5000000000000034,stop,baseline cross,3
GBPUSD,leg1,long,2023-01-09,1.21852,2023-01-18,1.2404308380784803,6845.927091548499,0.7500000000000026,target,baseline cross,7
GBPUSD,leg2,long,2023-01-09,1.21852,2023-02-02,1.22241,6845.927091548499,0.13315328193061657,exit indicator,baseline cross,18
GBPUSD,leg1,short,2023-08-31,1.2672,2023-09-06,1.2526880585174072,10336.315108486742,0.7500000000000044,target,baseline cross,4
GBPUSD,leg2,short,2023-08-31,1.2672,2023-09-29,1.2254551046695106,10336.315108486742,2.157441961533683,stop,baseline cross,21
GBPUSD,leg1,short,2023-10-25,1.21115,2023-11-02,1.2205796698858478,10604.825111648963,-0.4999999999999945,stop,c1 flip,6
GBPUSD,leg2,short,2023-10-25,1.21115,2023-11-02,1.2205796698858478,10604.825111648963,-0.4999999999999945,stop,c1 flip,6
GBPUSD,leg1,long,2024-02-01,1.27428,2024-02-02,1.265703066756407,11659.17900488492,-0.4999999999999944,stop,baseline cross,1
GBPUSD,leg2,long,2024-02-01,1.27428,2024-02-02,1.265703066756407,11659.17900488492,-0.4999999999999944,stop,baseline cross,1
GBPUSD,leg1,short,2024-11-08,1.29195,2024-11-12,1.2773929924639178,10304.315610759842,0.749999999999999,target,baseline cross,2
GBPUSD,leg2,short,2024-11-08,1.29195,2024-11-27,1.2672402546281978,10304.315610759842,1.2730850748628084,stop,baseline cross,13
GBPUSD,leg1,short,2024-12-18,1.25724,2024-12-19,1.2663940012120336,10924.184701717393,-0.5000000000000047,stop,baseline cross,1
GBPUSD,leg2,short,2024-12-18,1.25724,2024-12-19,1.2663940012120336,10924.184701717393,-0.5000000000000047,stop,baseline cross,1
GBPUSD,leg1,long,2025-04-11,1.30887,2025-04-16,1.3272345653924764,8167.903611890052,0.7499999999999969,target,c1 flip,3
GBPUSD,leg2,long,2025-04-11,1.30887,2025-05-01,1.3281971887156494,8167.903611890052,0.7893130725911679,stop,c1 flip,14
GBPUSD,leg1,long,2025-09-08,1.35454,2025-09-17,1.3678718694029233,11251.23532691603,0.7500000000000017,target,c1 flip,7
GBPUSD,leg2,long,2025-09-08,1.35454,2025-09-18,1.35454,11251.23532691603,0.0,stop,c1 flip,8
GBPUSD,leg1,long,2026-01-22,1.35028,2026-01-23,1.361478353105063,13394.826774321014,0.7499999999999942,target,baseline cross,1
GBPUSD,leg2,long,2026-01-22,1.35028,2026-01-30,1.3714311801123091,13394.826774321014,1.4165819683842278,stop,baseline cross,6
GBPUSD,leg1,short,2026-06-17,1.32942,2026-06-19,1.317125259090446,12200.338429534397,0.7499999999999991,target,baseline cross,2
GBPUSD,leg2,short,2026-06-17,1.32942,2026-07-01,1.32758,12200.338429534397,0.11224311355172034,exit indicator,baseline cross,10
USDJPY,leg1,long,2005-03-21,105.202,2005-03-24,106.54326587895153,111.83464990345956,0.7500000000000027,target,c1 flip,3
USDJPY,leg2,long,2005-03-21,105.202,2005-04-13,107.4379526181199,111.83464990345956,1.250284891240812,stop,c1 flip,17
USDJPY,leg1,long,2006-09-11,117.677,2006-09-21,116.82743739251286,117.70762874766996,-0.4999999999999959,stop,c1 flip,8
USDJPY,leg2,long,2006-09-11,117.677,2006-09-21,116.82743739251286,117.70762874766996,-0.4999999999999959,stop,c1 flip,8
USDJPY,leg1,long,2006-09-28,117.817,2006-10-06,119.04266880585493,122.38216334091237,0.7499999999999997,target,c1 flip,6
USDJPY,leg2,long,2006-09-28,117.817,2006-10-17,118.65777894671471,122.38216334091237,0.5144817319522063,stop,c1 flip,13
USDJPY,leg1,long,2007-02-22,121.579,2007-02-26,120.75822125059597,121.83551300835977,-0.4999999999999983,stop,c1 flip,2
USDJPY,leg2,long,2007-02-22,121.579,2007-02-26,120.75822125059597,121.83551300835977,-0.4999999999999983,stop,c1 flip,2
USDJPY,leg1,short,2008-02-27,106.487,2008-02-29,104.84790329896259,91.51381971854562,0.7499999999999987,target,c1 flip,2
USDJPY,leg2,short,2008-02-27,106.487,2008-03-11,103.55017524807859,91.51381971854562,1.3438002544614904,stop,c1 flip,9
USDJPY,leg1,long,2008-05-28,104.695,2008-06-10,106.45100863540468,85.42099222959214,0.7500000000000007,target,c1 flip,9
USDJPY,leg2,long,2008-05-28,104.695,2008-06-26,106.6831464960061,85.42099222959214,0.8491472319331436,stop,c1 flip,21
USDJPY,leg1,short,2009-01-09,90.388,2009-01-21,88.11684965504881,66.04582577875246,0.750000000000001,target,baseline cross,8
USDJPY,leg2,short,2009-01-09,90.388,2009-01-28,90.388,66.04582577875246,0.0,stop,baseline cross,13
USDJPY,leg1,short,2009-01-29,90.036,2009-01-30,89.932,64.79935365243206,0.033695663899264414,baseline cross,baseline cross,1
USDJPY,leg2,short,2009-01-29,90.036,2009-01-30,89.932,64.79935365243206,0.033695663899264414,baseline cross,baseline cross,1
USDJPY,leg1,long,2009-03-31,98.956,2009-04-14,98.986,55.04539027991208,0.008256808541987124,exit indicator,baseline cross,10
USDJPY,leg2,long,2009-03-31,98.956,2009-04-14,98.986,55.04539027991208,0.008256808541987124,exit indicator,baseline cross,10
USDJPY,leg1,long,2009-05-01,99.114,2009-05-11,97.75654638158655,73.66734203182324,-0.5000000000000017,stop,baseline cross,6
USDJPY,leg2,long,2009-05-01,99.114,2009-05-11,97.75654638158655,73.66734203182324,-0.5000000000000017,stop,baseline cross,6
USDJPY,leg1,short,2010-02-25,89.078,2010-03-05,90.05647616324086,102.19973031206608,-0.5000000000000032,stop,baseline cross,6
USDJPY,leg2,short,2010-02-25,89.078,2010-03-05,90.05647616324086,102.19973031206608,-0.5000000000000032,stop,baseline cross,6
USDJPY,leg1,short,2010-07-30,86.467,2010-08-06,85.12405088107182,111.69447738996723,0.7499999999999971,target,c1 flip,5
USDJPY,leg2,short,2010-07-30,86.467,2010-08-27,85.2057909486766,111.69447738996723,0.7043504293353204,stop,c1 flip,20
USDJPY,leg1,short,2010-09-24,84.21,2010-10-06,82.91280044331926,115.63371204336427,0.7500000000000011,target,baseline cross,8
USDJPY,leg2,short,2010-09-24,84.21,2010-10-27,81.9380102315116,115.63371204336427,1.3135930532742852,stop,baseline cross,23
USDJPY,leg1,short,2011-05-27,80.796,2011-05-31,81.52736319534675,136.73097120041598,-0.5,stop,baseline cross,2
USDJPY,leg2,short,2011-05-27,80.796,2011-05-31,81.52736319534675,136.73097120041598,-0.5,stop,baseline cross,2
USDJPY,leg1,short,2011-06-01,80.95,2011-06-08,79.84629084902872,135.90536951514588,0.7500000000000013,target,baseline cross,5
USDJPY,leg2,short,2011-06-01,80.95,2011-06-15,80.95,135.90536951514588,0.0,stop,baseline cross,10
USDJPY,leg1,short,2011-07-11,80.262,2011-07-12,79.36771889625956,167.73249414821294,0.7500000000000036,target,c1 flip,1
USDJPY,leg2,short,2011-07-11,80.262,2011-08-01,77.74849102641534,167.73249414821294,2.1079856460163513,stop,c1 flip,15
USDJPY,leg1,short,2011-09-14,76.624,2011-09-15,77.26892546709566,155.05667724727417,-0.4999999999999969,stop,baseline cross,1
USDJPY,leg2,short,2011-09-14,76.624,2011-09-15,77.26892546709566,155.05667724727417,-0.4999999999999969,stop,baseline cross,1
USDJPY,leg1,short,2011-10-21,76.244,2011-10-31,76.82136900483015,173.19946024712522,-0.5000000000000057,stop,c1 flip,6
USDJPY,leg2,short,2011-10-21,76.244,2011-10-31,76.82136900483015,173.19946024712522,-0.5000000000000057,stop,c1 flip,6
USDJPY,leg1,long,2011-12-28,77.94,2011-12-29,77.638,256.84485947562473,-0.3878357378081837,exit indicator,baseline cross,1
USDJPY,leg2,long,2011-12-28,77.94,2011-12-29,77.638,256.84485947562473,-0.3878357378081837,exit indicator,baseline cross,1
USDJPY,leg1,short,2012-05-17,79.275,2012-05-22,79.89459708977118,161.39520609583917,-0.5000000000000056,stop,baseline cross,3
USDJPY,leg2,short,2012-05-17,79.275,2012-05-22,79.89459708977118,161.39520609583917,-0.5000000000000056,stop,baseline cross,3
USDJPY,leg1,short,2012-06-15,78.722,2012-06-18,79.112,167.10613329591214,-0.3258569599270292,baseline cross,baseline cross,1
USDJPY,leg2,short,2012-06-15,78.722,2012-06-18,79.112,167.10613329591214,-0.3258569599270292,baseline cross,baseline cross,1
USDJPY,leg1,long,2012-07-11,79.763,2012-07-12,79.18564138980125,173.20257849029883,-0.5000000000000008,stop,baseline cross,1
USDJPY,leg2,long,2012-07-11,79.763,2012-07-12,79.18564138980125,173.20257849029883,-0.5000000000000008,stop,baseline cross,1
USDJPY,leg1,short,2012-08-28,78.508,2012-09-06,78.94830699093514,227.11426813282483,-0.5000000000000051,stop,baseline cross,7
USDJPY,leg2,short,2012-08-28,78.508,2012-09-06,78.94830699093514,227.11426813282483,-0.5000000000000051,stop,baseline cross,7
USDJPY,leg1,short,2012-09-07,78.234,2012-09-13,77.56907094486321,225.58797640320108,0.749999999999995,target,baseline cross,4
USDJPY,leg2,short,2012-09-07,78.234,2012-09-14,78.15227012816955,225.58797640320108,0.09218638198961776,stop,baseline cross,5
USDJPY,leg1,long,2013-03-06,94.068,2013-03-08,95.78346212386865,87.43999527178482,0.7500000000000024,target,c1 flip,2
USDJPY,leg2,long,2013-03-06,94.068,2013-03-18,94.62884262979176,87.43999527178482,0.24520038448603632,stop,c1 flip,8
USDJPY,leg1,long,2014-10-23,108.268,2014-10-31,109.62869545860599,110.23774574339525,0.7499999999999978,target,baseline cross,6
USDJPY,leg2,long,2014-10-23,108.268,2014-12-09,119.84471923758458,110.23774574339525,6.380957159277609,stop,baseline cross,33
USDJPY,leg1,long,2014-12-22,120.038,2015-01-06,118.63316582539159,71.18277858514845,-0.5000000000000013,stop,c1 flip,9
USDJPY,leg2,long,2014-12-22,120.038,2015-01-06,118.63316582539159,71.18277858514845,-0.5000000000000013,stop,c1 flip,9
USDJPY,leg1,short,2015-04-23,119.584,2015-05-01,120.21,120.10373491888943,-0.37592469029611825,exit indicator,baseline cross,6
USDJPY,leg2,short,2015-04-23,119.584,2015-05-01,120.21,120.10373491888943,-0.37592469029611825,exit indicator,baseline cross,6
USDJPY,leg1,long,2015-05-19,120.687,2015-05-26,121.82772272033714,131.49558374331934,0.7499999999999958,target,c1 flip,5
USDJPY,leg2,long,2015-05-19,120.687,2015-06-09,124.20411755283537,131.49558374331934,2.312427128519811,stop,c1 flip,15
USDJPY,leg1,short,2015-10-07,120.012,2015-10-09,120.223,99.14607542926679,-0.10459910957787573,baseline cross,baseline cross,2
USDJPY,leg2,short,2015-10-07,120.012,2015-10-09,120.223,99.14607542926679,-0.10459910957787573,baseline cross,baseline cross,2
USDJPY,leg1,short,2015-10-12,120.04,2015-10-14,118.69388977494661,111.4321823044244,0.7499999999999979,target,baseline cross,2
USDJPY,leg2,short,2015-10-12,120.04,2015-10-21,120.04,111.4321823044244,0.0,stop,baseline cross,7
USDJPY,leg1,short,2016-03-16,112.568,2016-03-25,113.092,77.07490979487227,-0.2019362636625657,exit indicator,c1 flip,7
USDJPY,leg2,short,2016-03-16,112.568,2016-03-25,113.092,77.07490979487227,-0.2019362636625657,exit indicator,c1 flip,7
USDJPY,leg1,short,2016-04-01,111.727,2016-04-05,110.13933272443552,94.47823376385236,0.75,target,c1 flip,2
USDJPY,leg2,short,2016-04-01,111.727,2016-04-15,109.54905733750468,94.47823376385236,1.0288408799575022,stop,c1 flip,10
USDJPY,leg1,short,2016-09-12,101.842,2016-09-13,102.553,89.61098570066035,-0.3185670541658469,baseline cross,baseline cross,1
USDJPY,leg2,short,2016-09-12,101.842,2016-09-13,102.553,89.61098570066035,-0.3185670541658469,baseline cross,baseline cross,1
USDJPY,leg1,long,2016-11-08,105.176,2016-11-09,104.23590576662222,106.37231508239047,-0.4999999999999965,stop,c1 flip,1
USDJPY,leg2,long,2016-11-08,105.176,2016-11-09,104.23590576662222,106.37231508239047,-0.4999999999999965,stop,c1 flip,1
USDJPY,leg1,short,2018-03-21,106.051,2018-03-23,104.85535704684473,125.4555129557316,0.7500000000000019,target,baseline cross,2
USDJPY,leg2,short,2018-03-21,106.051,2018-03-28,106.051,125.4555129557316,0.0,stop,baseline cross,5
USDJPY,leg1,long,2018-06-06,110.184,2018-06-07,109.48975248679169,144.04084724462626,-0.49999999999999944,stop,baseline cross,1
USDJPY,leg2,long,2018-06-06,110.184,2018-06-07,109.48975248679169,144.04084724462626,-0.49999999999999944,stop,baseline cross,1
USDJPY,leg1,long,2018-06-11,110.034,2018-06-25,109.764,142.48181613264163,-0.19235045177907348,exit indicator,baseline cross,10
USDJPY,leg2,long,2018-06-11,110.034,2018-06-25,109.764,142.48181613264163,-0.19235045177907348,exit indicator,baseline cross,10
USDJPY,leg1,long,2018-09-11,111.602,2018-09-20,112.53533450949278,160.71408318708575,0.7500000000000031,target,c1 flip,7
USDJPY,leg2,long,2018-09-11,111.602,2018-10-04,113.68390895302143,160.71408318708575,1.6729604433191199,stop,c1 flip,17
USDJPY,leg1,long,2018-12-13,113.606,2018-12-17,113.00433641723028,166.20583805264783,-0.49999999999999745,stop,c1 flip,2
USDJPY,leg2,long,2018-12-13,113.606,2018-12-17,113.00433641723028,166.20583805264783,-0.49999999999999745,stop,c1 flip,2
USDJPY,leg1,short,2019-07-12,107.906,2019-07-16,108.24,176.3163202049114,-0.2944482547421923,baseline cross,baseline cross,2
USDJPY,leg2,short,2019-07-12,107.906,2019-07-16,108.24,176.3163202049114,-0.2944482547421923,baseline cross,baseline cross,2
USDJPY,leg1,short,2019-07-17,107.95,2019-07-23,108.228,186.1151642969265,-0.25870007837272,baseline cross,baseline cross,4
USDJPY,leg2,short,2019-07-17,107.95,2019-07-23,108.228,186.1151642969265,-0.25870007837272,baseline cross,baseline cross,4
USDJPY,leg1,long,2019-11-25,108.924,2019-11-29,109.62487110871656,214.01937978964835,0.7500000000000017,target,baseline cross,4
USDJPY,leg2,long,2019-11-25,108.924,2019-12-03,108.924,214.01937978964835,0.0,stop,baseline cross,6
USDJPY,leg1,long,2019-12-12,109.307,2019-12-30,108.83089793224993,210.0389953620082,-0.5000000000000043,stop,baseline cross,11
USDJPY,leg2,long,2019-12-12,109.307,2019-12-30,108.83089793224993,210.0389953620082,-0.5000000000000043,stop,baseline cross,11
USDJPY,leg1,short,2020-09-08,106.032,2020-09-09,106.18,153.93327053256755,-0.11391062019410794,baseline cross,baseline cross,1
USDJPY,leg2,short,2020-09-08,106.032,2020-09-09,106.18,153.93327053256755,-0.11391062019410794,baseline cross,baseline cross,1
USDJPY,leg1,short,2020-12-30,103.164,2021-01-07,103.64569642085861,207.5996326104178,-0.5000000000000047,stop,c1 flip,5
USDJPY,leg2,short,2020-12-30,103.164,2021-01-07,103.64569642085861,207.5996326104178,-0.5000000000000047,stop,c1 flip,5
USDJPY,leg1,long,2021-05-19,109.219,2021-05-20,108.782,166.20801770264572,-0.3631645186802789,baseline cross,baseline cross,1
USDJPY,leg2,long,2021-05-19,109.219,2021-05-20,108.782,166.20801770264572,-0.3631645186802789,baseline cross,baseline cross,1
USDJPY,leg1,long,2021-06-14,110.074,2021-06-23,110.8965832316477,182.35236779570565,0.750000000000006,target,c1 flip,7
USDJPY,leg2,long,2021-06-14,110.074,2021-07-06,110.71032809268115,182.35236779570565,0.5801796719766684,stop,c1 flip,16
USDJPY,leg1,long,2021-07-23,110.55,2021-07-27,109.97697789849704,174.5133385566002,-0.5000000000000003,stop,baseline cross,2
USDJPY,leg2,long,2021-07-23,110.55,2021-07-27,109.97697789849704,174.5133385566002,-0.5000000000000003,stop,baseline cross,2
USDJPY,leg1,short,2021-09-20,109.393,2021-09-22,109.89647938836009,198.61786264123813,-0.49999999999999595,stop,baseline cross,2
USDJPY,leg2,short,2021-09-20,109.393,2021-09-22,109.89647938836009,198.61786264123813,-0.49999999999999595,stop,baseline cross,2
USDJPY,leg1,long,2022-03-07,115.311,2022-03-11,116.33190021301917,146.92914947720223,0.7499999999999993,target,baseline cross,4
USDJPY,leg2,long,2022-03-07,115.311,2022-03-29,122.4010792938933,146.92914947720223,5.208696601888323,stop,baseline cross,16
USDJPY,leg1,long,2022-05-31,128.704,2022-06-03,130.5070390693872,83.19287282609046,0.7500000000000019,target,baseline cross,3
USDJPY,leg2,long,2022-05-31,128.704,2022-06-16,133.48908764721278,83.19287282609046,1.9904259404813447,stop,baseline cross,12
USDJPY,leg1,long,2023-11-08,150.976,2023-11-15,150.0514607883991,108.16198896188007,-0.5000000000000023,stop,c1 flip,5
USDJPY,leg2,long,2023-11-08,150.976,2023-11-15,150.0514607883991,108.16198896188007,-0.5000000000000023,stop,c1 flip,5
USDJPY,leg1,long,2024-06-11,157.14,2024-06-12,156.00548809333972,88.14363199975203,-0.4999999999999971,stop,c1 flip,1
USDJPY,leg2,long,2024-06-11,157.14,2024-06-12,156.00548809333972,88.14363199975203,-0.4999999999999971,stop,c1 flip,1
USDJPY,leg1,short,2024-09-04,143.735,2024-09-11,140.91409848295726,53.17449017406681,0.750000000000001,target,c1 flip,5
USDJPY,leg2,short,2024-09-04,143.735,2024-09-19,143.25508779005457,53.17449017406681,0.12759543546079227,stop,c1 flip,11
USDJPY,leg1,long,2025-07-07,146.07,2025-07-15,148.13705058422755,72.567164608627,0.7499999999999993,target,baseline cross,6
USDJPY,leg2,long,2025-07-07,146.07,2025-07-22,146.89755620374152,72.567164608627,0.3002670362990077,stop,baseline cross,11
USDJPY,leg1,long,2025-09-12,147.673,2025-09-15,147.417,86.63877021707654,-0.11089762587785808,baseline cross,baseline cross,1
USDJPY,leg2,long,2025-09-12,147.673,2025-09-15,147.417,86.63877021707654,-0.11089762587785808,baseline cross,baseline cross,1
USDJPY,leg1,long,2026-04-22,159.477,2026-04-30,158.5258145687418,105.13197186769483,-0.49999999999999667,stop,c1 flip,6
USDJPY,leg2,long,2026-04-22,159.477,2026-04-30,158.5258145687418,105.13197186769483,-0.49999999999999667,stop,c1 flip,6
USDJPY,leg1,long,2026-07-08,162.64,2026-07-10,161.91417982971646,137.77517365070648,-0.49999999999999106,stop,c1 flip,2
USDJPY,leg2,long,2026-07-08,162.64,2026-07-10,161.91417982971646,137.77517365070648,-0.49999999999999106,stop,c1 flip,2
