c1,c2,vol,base,exit_ind,slice,mode,crosses_label,expectancy_R,total_R,profit_factor,win_rate,sharpe,sortino,max_dd_R,ulcer_R,calmar,n_blind,n_w2,n_w3,risk_atr_len,risk_atr_mult,risk_be_pct,risk_tp_mult,risk_trail_arm,risk_trail_mult,ip2,ip1,risk1,stage,stage_w1,cheap_gain_R,base_R_w1w2,final_R_w1w2,cheap_ip,cheap_risk,cheap_ip_w1,cheap_risk_w1,cheap_gain_R_w1,resumed,src_file,floor_p5,W1_exp,W1_n,W1_pf,W2_exp,W2_n,W2_pf,W3_exp,W3_n,W3_pf,scored,margin_worst_R,margin_mean_R
kuskus_starlight_signals,fisher_transform_signals,damiani_volatmeter_volume_signals,fantail_vma,adx_dmi_exit,trend,A,False,-0.2828459310012896,-39.03273847817796,0.3348993804742067,0.1304347826086956,-7.673222911070118,-73.81499581504555,41.716692309929336,23.241534342274143,-0.935662352810447,138,74,64,40,1.0,0.01,3.0,1.35,1.95,"{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 17, ""fma_weighting"": 10}, ""c1"": {""index_smooth"": 0.7, ""price_smooth"": 0.7, ""range_periods"": 197}, ""c2"": {""length"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 62, ""threshold"": 1.725985, ""viscosity"": 7}}","{""base"": {""fma_adx_length"": 2, ""fma_ma_length"": 3, ""fma_weighting"": 8}, ""c1"": {""index_smooth"": 0.862993, ""price_smooth"": 0.161709, ""range_periods"": 30}, ""c2"": {""length"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""lag"": 1.4, ""sedimentation"": 142, ""threshold"": 1.725985, ""viscosity"": 7}}","{""atr_len"": 39, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.35, ""trail_mult"": 1.15}",full,full,,0.139057004133254,0.4643463827823707,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.6254504572373826,152,3.31874315853859,-0.2923836101954447,74,0.2949323807746234,-0.2718179894330477,64,0.3787017384387486,True,0.19202621950461368,0.20230902988581217
coppock_curve_signals,lemantrend_signals,variance_volume_signals,kama_baseline,adx_dmi_exit,trend,A,False,-0.25366959468964,-38.050439203446,0.3289840441711771,0.16,-7.725687983037227,-30.50207013101863,39.96319268960527,23.88759198180841,-0.952137120249234,150,86,64,46,1.0,0.01,3.0,1.0,1.45,"{""base"": {""fast_length"": 2, ""length"": 12, ""slow_length"": 11}, ""c1"": {""long_roc"": 92, ""short_roc"": 3, ""smooth_len"": 10}, ""c2"": {""fast_period"": 340, ""medium_period"": 21, ""slow_period"": 3, ""smooth"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 16}}","{""base"": {""fast_length"": 2, ""length"": 12, ""slow_length"": 37}, ""c1"": {""long_roc"": 92, ""short_roc"": 21, ""smooth_len"": 12}, ""c2"": {""fast_period"": 42, ""medium_period"": 21, ""slow_period"": 24, ""smooth"": 2}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 57}}","{""atr_len"": 2, ""atr_mult"": 1.1, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.6, ""trail_mult"": 1.0}",full,full,,0.0041985550424911,0.4452861558335886,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.5057479610671145,100,3.51844679986078,-0.2545684659309546,86,0.3080023351792959,-0.2524617364591236,64,0.3554636293487759,True,0.1726699665306896,0.1737233312666051
qqe_mod_signals,vortex_signals,variance_volume_signals,rma_baseline,adx_dmi_exit,trend,A,False,-0.2489814955730736,-45.812595185445545,0.3891653975273929,0.1847826086956521,-6.39286090788807,,48.15497195796171,27.227197681243354,-0.951357530130824,184,134,50,2,1.0,0.05,3.0,1.6,2.0,"{""base"": {""ma_length"": 11}, ""c1"": {""fast_factor"": 10.592725, ""rsi_len"": 9, ""rsi_period"": 6}, ""c2"": {""period"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""base"": {""ma_length"": 25}, ""c1"": {""fast_factor"": 16.1, ""rsi_len"": 5, ""rsi_period"": 5}, ""c2"": {""period"": 11}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 7, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 9, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.9, ""trail_arm"": 1.65, ""trail_mult"": 1.35}",full,full,,0.0502778782830283,1.1727675463823988,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.504056830714704,132,3.293161935261571,-0.2442052551224175,134,0.405027196610837,-0.2617818199808318,50,0.3455454500479213,True,0.16441348519398352,0.17320176762319062
bears_bulls_impulse_signals,halftrend_signals,chaikin_volatility_volume_signals,t3_baseline,adx_dmi_exit,trend,A,False,-0.260010393465073,-46.281850036783005,0.3581097706195532,0.146067415730337,-7.159445376270259,-44.66261063176458,50.791761419669825,30.24914874720979,-0.9112078168421168,178,66,112,16,1.0,0.01,2.8,1.95,1.95,"{""base"": {""length"": 28, ""volume_factor"": 0.567792}, ""c1"": {""length"": 16}, ""c2"": {""amplitude"": 18}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 12}}","{""base"": {""length"": 28, ""volume_factor"": 0.373569}, ""c1"": {""length"": 24}, ""c2"": {""amplitude"": 18}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 100, ""roc_len"": 4}}","{""atr_len"": 36, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.5, ""trail_arm"": 1.0, ""trail_mult"": 1.65}",full,full,,0.1769196315205778,0.5875920722280145,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.4578259329755942,100,2.8999374290620343,-0.2942209209042371,66,0.2642969659995408,-0.2398506183669942,112,0.4122831965711821,True,0.16005884843856022,0.18724399970718164
ichimoku_signals,fx_sniper_ergodic_cci_signals,fractal_dimension_volume_signals,alma_baseline,adx_dmi_exit,trend,A,False,-0.2629858082572129,-31.55829699086555,0.381209862924205,0.125,-6.8617979496833374,,33.5518053896459,19.664410975049083,-0.9405841689998732,120,64,56,2,1.0,0.05,3.0,1.85,1.6,"{""base"": {""length"": 9, ""offset"": 0.85, ""sigma"": 6}, ""c1"": {""base_len"": 21, ""conversion_len"": 9, ""displacement"": 113, ""span_b_len"": 520}, ""c2"": {""cci_length"": 17, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 24}}","{""base"": {""length"": 9, ""offset"": 1.592745, ""sigma"": 26}, ""c1"": {""base_len"": 74, ""conversion_len"": 39, ""displacement"": 6, ""span_b_len"": 148}, ""c2"": {""cci_length"": 14, ""ema1_length"": 5, ""ema2_length"": 2, ""trigger_length"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 5}}","{""atr_len"": 42, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.6, ""trail_arm"": 1.65, ""trail_mult"": 0.5}",full,full,,0.2478730396840932,2.1724970513585578,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.4352870931665625,104,2.8862440703884387,-0.2351844592132167,64,0.4425257263094122,-0.2947587785932086,56,0.3122295166158471,True,0.15539268928478273,0.18517984897477863
schaff_trend_cycle_signals,dpo_signals,efficiency_ratio_volume_signals,kama_baseline,adx_dmi_exit,trend,A,False,-0.2683579746206386,-40.2536961930958,0.3306682938450332,0.1266666666666666,-7.4629298151755075,-38.28927175647902,39.75369619309581,21.25206179144887,-1.0125774468258582,150,94,56,2,1.0,0.01,2.1,1.0,1.55,"{""base"": {""fast_length"": 2, ""length"": 19, ""slow_length"": 11}, ""c1"": {""cycleLen"": 12, ""d1"": 3, ""d2"": 3, ""lowerBand"": 2, ""macdFast"": 23, ""macdSlow"": 50, ""stc_midline"": 41, ""upperBand"": 75}, ""c2"": {""len"": 142}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.369854, ""length"": 10}}","{""base"": {""fast_length"": 2, ""length"": 12, ""slow_length"": 85}, ""c1"": {""cycleLen"": 12, ""d1"": 2, ""d2"": 13, ""lowerBand"": 2, ""macdFast"": 23, ""macdSlow"": 142, ""stc_midline"": 62, ""upperBand"": 75}, ""c2"": {""len"": 50}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""er_threshold"": 0.562145, ""length"": 4}}","{""atr_len"": 34, ""atr_mult"": 1.0, ""be_pct"": 0.19, ""tp_mult"": 2.95, ""trail_arm"": 1.05, ""trail_mult"": 1.2}",full,full,,0.1754645806929118,1.240922413561129,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.5679114951294431,100,3.574024966200363,-0.2293135741249808,94,0.4414731316745272,-0.3338967897383503,56,0.1321996987484601,True,0.14952180419654681,0.20181341200323155
bears_bulls_impulse_signals,price_momentum_oscillator_signals,chaikin_volatility_volume_signals,ema_baseline,adx_dmi_exit,trend,A,False,-0.2454651327200044,-48.60209627856087,0.3783119459791798,0.1363636363636363,-6.694241134264543,-36.375402581749334,50.73052282455078,27.933394129268073,-0.9580444586910531,198,98,100,28,1.05,0.05,2.7,1.0,2.0,"{""base"": {""ma_length"": 37}, ""c1"": {""length"": 16}, ""c2"": {""s1"": 152, ""s2"": 20, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 12}}","{""base"": {""ma_length"": 132}, ""c1"": {""length"": 11}, ""c2"": {""s1"": 43, ""s2"": 20, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 43, ""roc_len"": 15}}","{""atr_len"": 50, ""atr_mult"": 1.0, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.9, ""trail_mult"": 0.5}",full,full,,0.1838797852744363,0.4584024433950447,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.4267633037470598,104,2.5581045087204517,-0.227111525839429,98,0.4140572964679802,-0.2634516674629683,100,0.3445302571445893,True,0.147319755910995,0.16548982672276463
vortex_signals,didi_index_signals,variance_volume_signals,rma_baseline,adx_dmi_exit,trend,A,False,-0.2303929834728212,-36.862877355651406,0.405241486474418,0.175,-6.3702239520975406,-36.805394319161735,38.880948191122954,22.28121410782105,-0.9480961517308804,160,94,66,2,1.0,0.17,2.9,1.15,2.0,"{""base"": {""ma_length"": 11}, ""c1"": {""period"": 140}, ""c2"": {""long_p"": 2, ""medium"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 8, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 20}}","{""base"": {""ma_length"": 200}, ""c1"": {""period"": 17}, ""c2"": {""long_p"": 20, ""medium"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 2, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 4, ""atr_mult"": 1.1, ""be_pct"": 0.05, ""tp_mult"": 3.0, ""trail_arm"": 1.45, ""trail_mult"": 0.8}",full,full,,0.0744995580626153,0.6114816282761347,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.4671337670499596,108,3.5082636253576234,-0.2266699610532971,94,0.3956574044806422,-0.2356954699491131,66,0.4178859967699467,True,0.1468781911248631,0.1513909455727711
halftrend_signals,fx_sniper_ergodic_cci_signals,fractal_dimension_volume_signals,wma_baseline,adx_dmi_exit,trend,A,False,-0.2418144297118763,-36.272164456781454,0.3670395506987013,0.1666666666666666,-6.8681203957478925,-44.1776860412984,36.63100861133313,21.29327413542611,-0.9902038145233966,150,86,64,4,1.0,0.05,1.6,1.1,1.5,"{""base"": {""ma_length"": 25}, ""c1"": {""amplitude"": 27}, ""c2"": {""cci_length"": 26, ""ema1_length"": 6, ""ema2_length"": 3, ""trigger_length"": 6}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 11}}","{""base"": {""ma_length"": 87}, ""c1"": {""amplitude"": 50}, ""c2"": {""cci_length"": 26, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""fd_threshold"": 1.5, ""length"": 11}}","{""atr_len"": 2, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.45, ""trail_arm"": 2.0, ""trail_mult"": 1.1}",full,full,,0.1544793839716389,1.31562034783934,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.4182090006403046,102,2.750026187068711,-0.254588137407554,86,0.3918172273041768,-0.2246497599958092,64,0.3251727515941548,True,0.1448579900673752,0.1598271787732476
halftrend_signals,rex_oscillator_signals,chaikin_volatility_volume_signals,rma_baseline,adx_dmi_exit,trend,A,False,-0.2271790635671605,-41.34658956922321,0.423526692135005,0.1483516483516483,-5.626683857939865,-37.47720576459711,47.09507136650038,27.36376405485913,-0.8779387814800899,182,112,70,27,1.0,0.09,2.95,1.55,2.0,"{""base"": {""ma_length"": 20}, ""c1"": {""amplitude"": 41}, ""c2"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 95, ""sigVolAdj"": 10, ""smooth"": 14, ""volAdj"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 100, ""roc_len"": 15}}","{""base"": {""ma_length"": 25}, ""c1"": {""amplitude"": 18}, ""c2"": {""almaOffset"": 0.85, ""almaSigma"": 6, ""framaFast"": 34, ""framaSlow"": 89, ""jurikPhase"": 1, ""jurikPower"": 1, ""lsOffset"": 0, ""modFBW"": 0.5, ""modFilter"": 0.8, ""sigAlmaOff"": 0.85, ""sigAlmaSig"": 6, ""sigFramaFast"": 34, ""sigFramaSlow"": 89, ""sigJurikPhase"": 1, ""sigJurikPower"": 1, ""sigLsOff"": 0, ""sigModFBW"": 0.5, ""sigModFilter"": 0.8, ""sigSmooth"": 41, ""sigVolAdj"": 10, ""smooth"": 11, ""volAdj"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 8, ""roc_len"": 120}}","{""atr_len"": 12, ""atr_mult"": 1.0, ""be_pct"": 0.04, ""tp_mult"": 3.0, ""trail_arm"": 1.9, ""trail_mult"": 1.35}",full,full,,0.1751246978534518,0.6054772490882054,,,,,,False,gate2_tuned_modeA_trend.csv,-0.079791769928434,0.5445266200834606,128,3.2766471584371333,-0.2301890344387065,112,0.4159222880439689,-0.2223631101726869,70,0.4356955522837933,True,0.1425713402442529,0.14648430237726268
