s,in_current_32,b,ti,to,si,so,ao,mo
za_cx1.5_s40_ph,False,trend-duration,-20.49,-4.73,-0.04189,-0.01065,0.643,-0.665
zc_mssr_15_750,False,trend-nonmomentum,15.24,0.6,0.02899,0.00112,0.536,-0.213
ra_xsctop_r15_pv,False,trend-nonmomentum,-19.8,-7.98,-0.0339,-0.01929,0.643,-0.814
za_xsctop_r120_pv,False,trend-nonmomentum,-20.49,-11.09,-0.03361,-0.02244,0.679,-0.749
maxdu_W13,False,multi-timeframe,-19.09,-10.29,-0.02884,-0.01865,0.643,-0.931
relvol_180,False,cross-sectional,-14.56,-4.85,-0.02245,-0.00896,0.571,-0.804
zb_cx2.5_s20_pl,False,trend-duration,-21.19,7.31,-0.03609,0.01733,0.679,0.088
msq2_5_pd,False,trend-nonmomentum,-16.0,-3.64,-0.02475,-0.00683,0.607,-0.211
dispvsown_M12,False,regime-v5,-11.88,-10.36,-0.02102,-0.01905,0.679,-0.786
ats_5_250_pl,False,trend-duration,-15.01,2.92,-0.02463,0.00522,0.5,0.145
bbw_D30,False,multi-timeframe,-19.38,-14.62,-0.02932,-0.02637,0.786,-0.852
rc_xsctop_r5_pd,False,trend-nonmomentum,-15.71,-20.69,-0.02524,-0.03814,0.929,-0.913
msq2_10_ts,False,trend-nonmomentum,-15.69,-6.95,-0.02519,-0.01274,0.643,-0.476
maxdu_30,False,cross-sectional,-19.33,-12.55,-0.02892,-0.02269,0.75,-0.861
zb_cx2_m30_pl,False,trend-duration,-13.14,1.68,-0.02242,0.00406,0.536,0.651
rc_ducs_e2_120_pv,False,trend-nonmomentum,9.74,3.98,0.01991,0.00898,0.607,-0.025
za_dts_40_60_pl,False,trend-duration,-15.86,-5.25,-0.02644,-0.01102,0.571,-0.786
ra_ts_sg1.5_v10_pl,False,trend-duration,-13.27,-10.23,-0.02217,-0.01864,0.786,-0.947
x_maxdu_D15__volratio_W13,False,multi-timeframe,11.79,-1.95,0.01954,-0.00353,0.571,-0.103
ctcv_15_ts,False,trend-nonmomentum,12.75,-4.82,0.02213,-0.0095,0.714,-0.746
