book,suffix,slice,budget,median_year_pct,worst_year_pct,dip95_pct,profit_factor,build_median_year_pct,retention,retention_flag,p_random_entry,p_regime_shuffle
always-on (no routing),_blind2,ALL (book),team1,-0.5059482785829553,-2.9057991846493225,8.293493705725956,0.9577908230518376,3.4427914149778904,-0.1469587371403981,FIT,1.0,n/a (no state read)
always-on (no routing),_blind2,ALL (book),team2,-0.7589224178744332,-4.358698776973983,12.440240558588933,0.9577908230518376,5.164187122466837,-0.1469587371403981,FIT,1.0,n/a (no state read)
always-on (no routing),_blind2,A-trend,team1,-1.4327639989670358,-2.52466151122301,9.418116359256954,0.900002450545802,,,,book-level,book-level
always-on (no routing),_blind2,A-trend,team2,-2.149145998450554,-3.786992266834516,14.127174538885436,0.900002450545802,,,,book-level,book-level
always-on (no routing),_blind2,A-chop,team1,-0.6026981732938183,-0.6792222043769366,8.552836683291499,0.97094691432722,,,,book-level,book-level
always-on (no routing),_blind2,A-chop,team2,-0.904047259940728,-1.0188333065654056,12.829255024937243,0.97094691432722,,,,book-level,book-level
always-on (no routing),_blind2,B-chop,team1,-0.4642215833340981,-3.355565355023447,10.07545665372118,0.9457263278924792,,,,book-level,book-level
always-on (no routing),_blind2,B-chop,team2,-0.6963323750011472,-5.033348032535171,15.113184980581767,0.9457263278924792,,,,book-level,book-level
always-on (no routing),_blind2,B-trend,team1,0.3790381797585176,-1.9889358385537943,5.472285861684936,1.033524698307687,,,,book-level,book-level
always-on (no routing),_blind2,B-trend,team2,0.5685572696377765,-2.983403757830692,8.208428792527407,1.0335246983076871,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_blind2_routed,ALL (book),team1,-0.635832345265697,-2.162642013129641,9.945944572216908,1.01839166601108,10.570979077279386,-0.0601488604430516,FIT,0.04,0.2
routed: chop RANGING + trend TRENDING,_blind2_routed,ALL (book),team2,-0.9537485178985452,-3.243963019694462,14.91891685832536,1.0183916660110803,15.856468615919075,-0.0601488604430516,FIT,0.04,0.2
routed: chop RANGING + trend TRENDING,_blind2_routed,A-trend,team1,-1.250619367681166,-1.5283867017984885,8.920151131719157,0.9598830842240842,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_blind2_routed,A-trend,team2,-1.8759290515217493,-2.2925800526977325,13.26402388960424,0.9611415702053592,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_blind2_routed,A-chop,team1,0.6252204436894229,-0.1489861963812553,10.46988065394995,1.045450422119097,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_blind2_routed,A-chop,team2,0.9378306655341356,-0.2234792945718834,15.70482098092493,1.0454504221190972,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_blind2_routed,B-chop,team1,0.5188523265193975,-4.153173504036582,11.690688791884575,0.9878583435591,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_blind2_routed,B-chop,team2,0.7782784897790965,-6.229760256054873,17.53603318782686,0.9878583435591,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_blind2_routed,B-trend,team1,0.0108412297947769,-1.987979078206292,7.233896298059785,0.9921357270193252,,,,book-level,book-level
routed: chop RANGING + trend TRENDING,_blind2_routed,B-trend,team2,0.0162618446921653,-2.981968617309438,10.79860706139121,0.993255984692648,,,,book-level,book-level
chop RANGING + trend UNGATED,_blind2_tgalways,ALL (book),team1,-0.3762315783216964,-2.6677002702990453,7.652349129877761,0.9782669636399992,3.546156349664251,-0.1060955979443258,FIT,0.68,0.4
chop RANGING + trend UNGATED,_blind2_tgalways,ALL (book),team2,-0.5643473674825448,-4.001550405448569,11.47852369481664,0.9782669636399992,5.3192345244963795,-0.1060955979443257,FIT,0.68,0.4
chop RANGING + trend UNGATED,_blind2_tgalways,A-trend,team1,-1.3829080171051238,-2.900719536787922,9.361625446741796,0.8953981191079161,,,,book-level,book-level
chop RANGING + trend UNGATED,_blind2_tgalways,A-trend,team2,-2.0743620256576856,-4.351079305181883,14.042438170112694,0.8953981191079161,,,,book-level,book-level
chop RANGING + trend UNGATED,_blind2_tgalways,A-chop,team1,0.6252204436894229,-0.1489861963812553,10.46988065394995,1.045450422119097,,,,book-level,book-level
chop RANGING + trend UNGATED,_blind2_tgalways,A-chop,team2,0.9378306655341356,-0.2234792945718834,15.70482098092493,1.0454504221190972,,,,book-level,book-level
chop RANGING + trend UNGATED,_blind2_tgalways,B-chop,team1,0.5188523265193975,-4.153173504036582,11.690688791884575,0.9878583435591,,,,book-level,book-level
chop RANGING + trend UNGATED,_blind2_tgalways,B-chop,team2,0.7782784897790965,-6.229760256054873,17.53603318782686,0.9878583435591,,,,book-level,book-level
chop RANGING + trend UNGATED,_blind2_tgalways,B-trend,team1,0.4364418419109807,-1.9574834058045352,5.502692249527865,1.0344448289190733,,,,book-level,book-level
chop RANGING + trend UNGATED,_blind2_tgalways,B-trend,team2,0.6546627628664713,-2.936225108706803,8.254038374291792,1.0344448289190735,,,,book-level,book-level
