pair,block,W,episodes,agree,base,excess
EURGBP,is,5,38,0.6578947368421053,0.5985915492957746,0.05930318754633068
EURAUD,is,5,38,0.5789473684210527,0.6081081081081081,-0.02916073968705546
EURUSD,is,5,32,0.75,0.6390977443609023,0.11090225563909772
EURCAD,is,5,26,0.6153846153846154,0.6470588235294118,-0.03167420814479638
EURCHF,is,5,35,0.6285714285714286,0.5819672131147541,0.04660421545667448
EURJPY,is,5,35,0.6285714285714286,0.6148148148148148,0.013756613756613745
GBPAUD,is,5,36,0.5277777777777778,0.6083916083916084,-0.08061383061383065
GBPUSD,is,5,35,0.6857142857142857,0.6265822784810127,0.059132007233273054
GBPCAD,is,5,27,0.6296296296296297,0.6788990825688074,-0.04926945293917773
GBPCHF,is,5,37,0.6216216216216216,0.5359477124183006,0.08567390920332096
GBPJPY,is,5,35,0.8285714285714286,0.6933333333333334,0.13523809523809527
AUDUSD,is,5,33,0.6060606060606061,0.6,0.0060606060606061
AUDCAD,is,5,33,0.696969696969697,0.6475409836065574,0.04942871336313959
AUDCHF,is,5,41,0.6585365853658537,0.6081081081081081,0.050428477257745574
AUDJPY,is,5,41,0.6585365853658537,0.6776315789473685,-0.019094993581514785
USDCAD,is,5,36,0.6388888888888888,0.6451612903225806,-0.006272401433691788
USDCHF,is,5,33,0.5454545454545454,0.5686274509803921,-0.02317290552584672
USDJPY,is,5,32,0.65625,0.5971223021582733,0.05912769784172667
CADCHF,is,5,36,0.5555555555555556,0.5793103448275863,-0.023754789272030674
CADJPY,is,5,32,0.4375,0.6585365853658537,-0.2210365853658537
CHFJPY,is,5,30,0.6,0.5422535211267606,0.05774647887323936
EURGBP,oos,5,19,0.42105263157894735,0.5512820512820513,-0.13022941970310398
EURAUD,oos,5,25,0.56,0.5842696629213483,-0.024269662921348245
EURUSD,oos,5,24,0.6666666666666666,0.6185567010309279,0.04810996563573877
EURCAD,oos,5,13,0.6153846153846154,0.5733333333333334,0.04205128205128206
EURCHF,oos,5,28,0.4642857142857143,0.5217391304347826,-0.05745341614906829
EURJPY,oos,5,28,0.5714285714285714,0.5555555555555556,0.015873015873015817
GBPAUD,oos,5,22,0.4090909090909091,0.6057692307692307,-0.1966783216783216
GBPUSD,oos,5,26,0.7307692307692307,0.6274509803921569,0.10331825037707387
GBPCAD,oos,5,19,0.631578947368421,0.6195652173913043,0.012013729977116694
GBPCHF,oos,5,24,0.4583333333333333,0.5,-0.041666666666666685
GBPJPY,oos,5,20,0.7,0.6333333333333333,0.06666666666666665
AUDUSD,oos,5,23,0.6521739130434783,0.55,0.10217391304347823
AUDCAD,oos,5,21,0.5238095238095238,0.6041666666666666,-0.0803571428571428
AUDCHF,oos,5,18,0.5,0.5730337078651685,-0.0730337078651685
AUDJPY,oos,5,26,0.5769230769230769,0.6346153846153846,-0.05769230769230771
USDCAD,oos,5,22,0.5454545454545454,0.6470588235294118,-0.10160427807486638
USDCHF,oos,5,15,0.6,0.6666666666666666,-0.06666666666666665
USDJPY,oos,5,24,0.6666666666666666,0.6272727272727273,0.039393939393939315
CADCHF,oos,5,19,0.6842105263157895,0.7108433734939759,-0.02663284717818637
CADJPY,oos,5,30,0.7,0.6454545454545455,0.05454545454545445
CHFJPY,oos,5,27,0.4444444444444444,0.48314606741573035,-0.03870162297128593
