pair,share_trending,share_ranging,trendiness,rank
USDJPY,0.3520895031260283,0.2997696610727213,0.05231984205330703,1
AUDJPY,0.32376711199076363,0.27989444169553024,0.043872670295233396,2
GBPUSD,0.32174201026660043,0.28498095711210464,0.03676105315449579,3
EURJPY,0.32894517580403265,0.29911681386435596,0.029828361939676695,4
EURUSD,0.3174204355108878,0.29547738693467335,0.02194304857621443,5
CADJPY,0.3250836120401338,0.30334448160535116,0.02173913043478265,6
NZDJPY,0.3040819699223269,0.2956536109733928,0.008428358948934067,7
AUDCAD,0.2799671592775041,0.277175697865353,0.002791461412151086,8
NZDUSD,0.31029855753102986,0.3134854075813485,-0.003186850050318657,9
AUDNZD,0.3212347354138399,0.330393487109905,-0.009158751696065115,10
CHFJPY,0.3017514595496247,0.31359466221851545,-0.011843202668890773,11
NZDCAD,0.2683700734802939,0.2845691382765531,-0.01619906479625921,12
EURCHF,0.32724279835390946,0.348641975308642,-0.021399176954732535,13
AUDCHF,0.2898259705488621,0.31208165997322623,-0.022255689424364122,14
AUDUSD,0.29587194608256107,0.31962931760741364,-0.023757371524852577,15
EURAUD,0.2812860676009893,0.3192085737840066,-0.03792250618301729,16
EURNZD,0.27855382087099423,0.32243221035332786,-0.043878389482333635,17
GBPJPY,0.312510274535591,0.35771823113595264,-0.04520795660036164,18
GBPAUD,0.2882110469909316,0.3368507831821929,-0.04863973619126133,19
NZDCHF,0.2715927750410509,0.3362889983579639,-0.06469622331691299,20
USDCAD,0.30045067601402103,0.3673844099482557,-0.06693373393423468,21
USDCHF,0.24392662369856222,0.3412659064617419,-0.09733928276317966,22
EURCAD,0.24718356527501656,0.35056328694499667,-0.1033797216699801,23
GBPNZD,0.22860003337226764,0.3512431169697981,-0.12264308359753046,24
GBPCHF,0.2408903544929926,0.39950535861500414,-0.15861500412201154,25
EURGBP,0.22941767068273092,0.3892235609103079,-0.159805890227577,26
CADCHF,0.22141199867417966,0.40802121312562145,-0.1866092144514418,27
GBPCAD,0.23940886699507388,0.4323481116584565,-0.1929392446633826,28
