budget,structure,year,return_pct,max_dd_pct,realised_vol_pct,worst_day_pct,within_dip_budget,within_day_budget
team1,NO_CUT,2016,4.363886768519764,0.9648454519759726,2.4127746127286156,0.5467411644923699,True,True
team1,NO_CUT,2017,3.926649783034818,0.7108009144486256,1.7878014867927867,0.3533980118654819,True,True
team1,NO_CUT,2018,8.516274286224892,0.6465564909206512,2.124103936049921,0.30296077381850595,True,True
team1,NO_CUT,2019,5.09125866979625,1.3626824289994115,2.3723467432457666,0.6385527721948022,True,True
team1,NO_CUT,2020,6.035792310540822,1.8580732248721934,2.9085893812707555,0.42655973708977196,True,True
team2,NO_CUT,2016,6.545830152779646,1.4472681779639602,3.619161919092924,0.8201117467385548,True,True
team2,NO_CUT,2017,5.889974674552228,1.0662013716729408,2.68170223018918,0.5300970177982228,True,True
team2,NO_CUT,2018,12.77441142933734,0.9698347363809754,3.186155904074882,0.4544411607277589,True,True
team2,NO_CUT,2019,7.636888004694374,2.044023643499117,3.5585201148686494,0.9578291582922033,True,True
team2,NO_CUT,2020,9.053688465811234,2.7871098373082903,4.362884071906133,0.6398396056346579,True,True
