measure,mean,sd,cv,p10,p90,prop,gap_sd,trend,chop,chop_minus_trend_sd
scale = path/(sd*sqrt L),3.5373848890696653,0.6810439354860269,0.19252751873012663,2.7035826787208155,4.400003466323882,variance ratio k=10 [structural],0.11526460962957871,0.6175044298914146,0.6539478207013072,0.07566185276862479
displacement = |net|/(sd*sqrt L),0.7694460921855947,0.596464291920507,0.7751865893896002,0.11775141904501192,1.6025651068352382,return autocorr     [structural],0.12265751476494881,-0.06025354359533539,-0.04845678134000797,0.05642120814696337
straightness = |net|/path,0.21641518847421468,0.1579220702262227,0.7297180541699305,0.0349490228424669,0.44135083527393715,turn frequency      [structural],0.2363596783529753,0.49534727432422826,0.5138766895160768,0.1700198477205082
,,,,,,realised vol        [restates scale],0.5981724005092575,0.0058804859319183415,0.005796895303832782,-0.025838059722442352
,,,,,,range/path          [restates straightness],1.1520441763232812,0.43998844719908736,0.3188666920351944,-1.071664126587553
