block,days,metric,mean,p05,p25,median,p75,p95,share_ge_20,share_ge_24,share_le_12
is,4051,modal_count,11.900518390520858,9.0,10.0,11.0,13.0,17.0,0.01481115773882992,0.0,0.6872377190817082
oos,2658,modal_count,12.013167795334839,9.0,10.0,11.0,14.0,17.0,0.0109104589917231,0.0,0.6410835214446953
is,181,neff_rolling,14.870706934370089,7.772890529350341,,,,26.704907708912806,,,
oos,127,neff_rolling,13.547157041486411,6.825659853247725,,,,20.934889653706133,,,
