driver,W,period,group,sep
C,21,2016-19,trending,0.049541144417389466
C,21,2016-19,ranging,-0.17586564777456734
C,21,2016-19,crisis,0.11202169452569019
C,21,2020-21,trending,0.04543595732337937
C,21,2020-21,ranging,0.030217752522099645
C,21,2020-21,crisis,-0.10514622368172541
C,21,2022-26,trending,0.16439433474527368
C,21,2022-26,ranging,-0.02779923853742596
C,21,2022-26,crisis,-0.09543249073758704
