budget,structure,draw,median_year_pct,total_return_pct,members_step1,members_step2
team1,ALLPASS,0,4.588901435782435,24.099701368506217,2323,2142
team1,STABLE,0,2.8659932419309677,12.971263281558437,1888,40
team1,PICKED,0,2.753293320724824,18.190870907018258,16,15
team1,FAMILY_CAP,0,-1.4926345390414097,-3.339742651917562,21,22
team1,ALLPASS,1,4.137491185769736,23.04596374410323,2323,2142
team1,STABLE,1,3.2381023822855055,15.202867880549672,1888,40
team1,PICKED,1,2.7553560489778524,11.964101533152544,15,18
team1,FAMILY_CAP,1,-0.13281586411120386,1.9760757898706744,22,23
team1,ALLPASS,2,3.990694829166155,24.05364101228554,2323,2142
team1,STABLE,2,3.438386868369231,12.400418921853177,1888,40
team1,PICKED,2,5.646705255226267,32.80582757466275,16,19
team1,FAMILY_CAP,2,-0.19323954343120545,-0.1609630779411127,20,21
team1,ALLPASS,3,4.862905447450928,27.607177438959038,2323,2142
team1,STABLE,3,3.6828096352653894,15.731803570511342,1888,40
team1,PICKED,3,-0.3344495650198675,1.9027793740738161,11,20
team1,FAMILY_CAP,3,0.6284545788963886,-0.2622637676677072,24,22
team1,ALLPASS,4,6.070042976535243,31.282276305403876,2323,2142
team1,STABLE,4,2.9590607102481017,17.34056510707986,1888,40
team1,PICKED,4,-1.5017725459477673,-3.6697831727928443,16,39
team1,FAMILY_CAP,4,-0.18918094010862085,-2.0163381633844244,25,23
team1,ALLPASS,5,4.747041199476382,26.538179553714194,2323,2142
team1,STABLE,5,3.8953527967983232,14.771622640980201,1888,40
team1,PICKED,5,1.4287827113231115,5.310929137984979,16,19
team1,FAMILY_CAP,5,-0.13471332544104492,0.6470888879713443,20,18
team1,ALLPASS,6,4.630586099224913,26.61081565805395,2323,2142
team1,STABLE,6,3.8326081030279884,14.138884044174006,1888,40
team1,PICKED,6,1.5662596267938176,8.09404942928086,15,20
team1,FAMILY_CAP,6,-0.7154406599223747,-0.9815193475512054,20,20
team1,ALLPASS,7,4.227283333597329,25.531668713707223,2323,2142
team1,STABLE,7,4.138214325091811,14.563277259106105,1888,40
team1,PICKED,7,1.365306987884197,6.082538652023567,16,19
team1,FAMILY_CAP,7,-0.32140394890441715,1.9347196111396867,21,20
team1,ALLPASS,8,4.47497863342544,23.082935986661866,2323,2142
team1,STABLE,8,2.8576924565399104,14.252227598477717,1888,40
team1,PICKED,8,-1.0519044007597609,4.590932627654061,16,19
team1,FAMILY_CAP,8,-0.3987151207663394,0.33773099667147544,23,21
team1,ALLPASS,9,4.690871545894115,26.831308665031486,2323,2142
team1,STABLE,9,3.007830985580531,14.356661831506408,1888,40
team1,PICKED,9,2.2904634669921826,15.792015352719622,16,14
team1,FAMILY_CAP,9,-0.359913196201591,0.5470028267668448,21,21
team1,ALLPASS,10,4.40677995561418,25.651480874490296,2323,2142
team1,STABLE,10,3.6131335365020862,14.90512916464563,1888,40
team1,PICKED,10,-0.9915966184212592,-3.2619360201790126,16,19
team1,FAMILY_CAP,10,-0.4612102085459852,1.3853821526177394,19,21
team1,ALLPASS,11,3.646855972178803,22.532157189832397,2323,2142
team1,STABLE,11,3.6152406954654634,14.0808798340841,1888,40
team1,PICKED,11,0.4607900017947314,4.451775854018233,16,20
team1,FAMILY_CAP,11,-0.6801524834592036,-2.0231041494277893,17,21
team1,ALLPASS,12,4.311100195093966,24.262686325366104,2323,2142
team1,STABLE,12,2.103361149559806,10.678384727214848,1888,40
team1,PICKED,12,3.41138049556192,12.87336351424181,16,19
team1,FAMILY_CAP,12,-0.3871752334332874,-0.3439937095713079,17,19
team1,ALLPASS,13,4.77354919334871,26.32976892789702,2323,2142
team1,STABLE,13,3.052509683194687,15.537758049055615,1888,40
team1,PICKED,13,4.082680650874821,16.41488159913792,16,20
team1,FAMILY_CAP,13,0.058554963447746355,2.40148050161087,22,24
team1,ALLPASS,14,5.108619368263654,28.14993577853109,2323,2142
team1,STABLE,14,4.179125727166244,16.42172950519417,1888,40
team1,PICKED,14,3.3857212318965035,16.052657175254414,16,20
team1,FAMILY_CAP,14,-0.037978539862526514,-0.8135591139084064,13,12
team1,ALLPASS,15,4.565074268769505,26.566208950806267,2323,2142
team1,STABLE,15,3.1722258638568013,16.223893374690114,1888,40
team1,PICKED,15,0.09485493126658073,4.926202255688839,15,19
team1,FAMILY_CAP,15,0.026336576826420238,0.8032734503095044,19,23
team1,ALLPASS,16,4.091765086949098,24.340380105527274,2323,2142
team1,STABLE,16,3.6335723804423887,15.055197481260535,1888,40
team1,PICKED,16,0.3086900611628515,0.13866900646988745,15,19
team1,FAMILY_CAP,16,-1.2134739347102412,-5.164886419844619,21,23
team1,ALLPASS,17,4.495328759143132,26.9578855950764,2323,2142
team1,STABLE,17,3.618375173788023,14.645581675568447,1888,40
team1,PICKED,17,3.251807828511332,20.04234841499421,16,19
team1,FAMILY_CAP,17,0.5582750108171631,-2.382378667813272,19,21
team1,ALLPASS,18,4.986220632805355,26.38567867073035,2323,2142
team1,STABLE,18,3.1412719391973893,15.106461076422285,1888,40
team1,PICKED,18,4.352638152438895,22.821126252930718,16,19
team1,FAMILY_CAP,18,-1.1554942328320965,-2.5908142818905384,24,23
team1,ALLPASS,19,4.618601088726596,26.02567570940331,2323,2142
team1,STABLE,19,3.3127762176599633,14.15968073747657,1888,40
team1,PICKED,19,7.359605413210348,24.418413039670078,16,20
team1,FAMILY_CAP,19,0.1871560910268381,3.865436387013362,18,20
team1,ALLPASS,20,4.5278323869871535,24.37259868024282,2323,2142
team1,STABLE,20,3.8236573778301772,15.388737887744718,1888,40
team1,PICKED,20,0.6415358813187185,7.869305922791563,16,20
team1,FAMILY_CAP,20,-1.0109489558750644,-2.964610644197243,25,24
