country,date
US,1999-01-01
US,1999-01-18
US,1999-02-15
US,1999-05-31
US,1999-07-04
US,1999-09-06
US,1999-11-25
US,1999-12-25
US,1999-04-02
UK,1999-01-01
UK,1999-04-02
UK,1999-04-05
UK,1999-05-03
UK,1999-05-31
UK,1999-08-30
UK,1999-12-25
UK,1999-12-26
EU,1999-01-01
EU,1999-04-02
EU,1999-04-05
EU,1999-05-01
EU,1999-12-25
EU,1999-12-26
JP,1999-01-01
JP,1999-01-02
JP,1999-01-03
JP,1999-01-11
JP,1999-02-11
JP,1999-04-29
JP,1999-05-03
JP,1999-05-04
JP,1999-05-05
JP,1999-07-19
JP,1999-09-20
JP,1999-10-11
JP,1999-11-03
JP,1999-11-23
CH,1999-01-01
CH,1999-01-02
CH,1999-04-02
CH,1999-04-05
CH,1999-05-13
CH,1999-05-24
CH,1999-08-01
CH,1999-12-25
CH,1999-12-26
CA,1999-01-01
CA,1999-04-02
CA,1999-05-24
CA,1999-07-01
CA,1999-09-06
CA,1999-10-11
CA,1999-12-25
CA,1999-12-26
AU,1999-01-01
AU,1999-01-26
AU,1999-04-02
AU,1999-04-05
AU,1999-04-25
AU,1999-12-25
AU,1999-12-26
NZ,1999-01-01
NZ,1999-01-02
NZ,1999-02-06
NZ,1999-04-02
NZ,1999-04-05
NZ,1999-04-25
NZ,1999-12-25
NZ,1999-12-26
US,2000-01-01
US,2000-01-17
US,2000-02-21
US,2000-05-29
US,2000-07-04
US,2000-09-04
US,2000-11-23
US,2000-12-25
US,2000-04-21
UK,2000-01-01
UK,2000-04-21
UK,2000-04-24
UK,2000-05-01
UK,2000-05-29
UK,2000-08-28
UK,2000-12-25
UK,2000-12-26
EU,2000-01-01
EU,2000-04-21
EU,2000-04-24
EU,2000-05-01
EU,2000-12-25
EU,2000-12-26
JP,2000-01-01
JP,2000-01-02
JP,2000-01-03
JP,2000-01-10
JP,2000-02-11
JP,2000-04-29
JP,2000-05-03
JP,2000-05-04
JP,2000-05-05
JP,2000-07-17
JP,2000-09-18
JP,2000-10-09
JP,2000-11-03
JP,2000-11-23
CH,2000-01-01
CH,2000-01-02
CH,2000-04-21
CH,2000-04-24
CH,2000-06-01
CH,2000-06-12
CH,2000-08-01
CH,2000-12-25
CH,2000-12-26
CA,2000-01-01
CA,2000-04-21
CA,2000-05-22
CA,2000-07-01
CA,2000-09-04
CA,2000-10-09
CA,2000-12-25
CA,2000-12-26
AU,2000-01-01
AU,2000-01-26
AU,2000-04-21
AU,2000-04-24
AU,2000-04-25
AU,2000-12-25
AU,2000-12-26
NZ,2000-01-01
NZ,2000-01-02
NZ,2000-02-06
NZ,2000-04-21
NZ,2000-04-24
NZ,2000-04-25
NZ,2000-12-25
NZ,2000-12-26
US,2001-01-01
US,2001-01-15
US,2001-02-19
US,2001-05-28
US,2001-07-04
US,2001-09-03
US,2001-11-22
US,2001-12-25
US,2001-04-13
UK,2001-01-01
UK,2001-04-13
UK,2001-04-16
UK,2001-05-07
UK,2001-05-28
UK,2001-08-27
UK,2001-12-25
UK,2001-12-26
EU,2001-01-01
EU,2001-04-13
EU,2001-04-16
EU,2001-05-01
EU,2001-12-25
EU,2001-12-26
JP,2001-01-01
JP,2001-01-02
JP,2001-01-03
JP,2001-01-08
JP,2001-02-11
JP,2001-04-29
JP,2001-05-03
JP,2001-05-04
JP,2001-05-05
JP,2001-07-16
JP,2001-09-17
JP,2001-10-08
JP,2001-11-03
JP,2001-11-23
CH,2001-01-01
CH,2001-01-02
CH,2001-04-13
CH,2001-04-16
CH,2001-05-24
CH,2001-06-04
CH,2001-08-01
CH,2001-12-25
CH,2001-12-26
CA,2001-01-01
CA,2001-04-13
CA,2001-05-21
CA,2001-07-01
CA,2001-09-03
CA,2001-10-08
CA,2001-12-25
CA,2001-12-26
AU,2001-01-01
AU,2001-01-26
AU,2001-04-13
AU,2001-04-16
AU,2001-04-25
AU,2001-12-25
AU,2001-12-26
NZ,2001-01-01
NZ,2001-01-02
NZ,2001-02-06
NZ,2001-04-13
NZ,2001-04-16
NZ,2001-04-25
NZ,2001-12-25
NZ,2001-12-26
US,2002-01-01
US,2002-01-21
US,2002-02-18
US,2002-05-27
US,2002-07-04
US,2002-09-02
US,2002-11-28
US,2002-12-25
US,2002-03-29
UK,2002-01-01
UK,2002-03-29
UK,2002-04-01
UK,2002-05-06
UK,2002-05-27
UK,2002-08-26
UK,2002-12-25
UK,2002-12-26
EU,2002-01-01
EU,2002-03-29
EU,2002-04-01
EU,2002-05-01
EU,2002-12-25
EU,2002-12-26
JP,2002-01-01
JP,2002-01-02
JP,2002-01-03
JP,2002-01-14
JP,2002-02-11
JP,2002-04-29
JP,2002-05-03
JP,2002-05-04
JP,2002-05-05
JP,2002-07-15
JP,2002-09-16
JP,2002-10-14
JP,2002-11-03
JP,2002-11-23
CH,2002-01-01
CH,2002-01-02
CH,2002-03-29
CH,2002-04-01
CH,2002-05-09
CH,2002-05-20
CH,2002-08-01
CH,2002-12-25
CH,2002-12-26
CA,2002-01-01
CA,2002-03-29
CA,2002-05-20
CA,2002-07-01
CA,2002-09-02
CA,2002-10-14
CA,2002-12-25
CA,2002-12-26
AU,2002-01-01
AU,2002-01-26
AU,2002-03-29
AU,2002-04-01
AU,2002-04-25
AU,2002-12-25
AU,2002-12-26
NZ,2002-01-01
NZ,2002-01-02
NZ,2002-02-06
NZ,2002-03-29
NZ,2002-04-01
NZ,2002-04-25
NZ,2002-12-25
NZ,2002-12-26
US,2003-01-01
US,2003-01-20
US,2003-02-17
US,2003-05-26
US,2003-07-04
US,2003-09-01
US,2003-11-27
US,2003-12-25
US,2003-04-18
UK,2003-01-01
UK,2003-04-18
UK,2003-04-21
UK,2003-05-05
UK,2003-05-26
UK,2003-08-25
UK,2003-12-25
UK,2003-12-26
EU,2003-01-01
EU,2003-04-18
EU,2003-04-21
EU,2003-05-01
EU,2003-12-25
EU,2003-12-26
JP,2003-01-01
JP,2003-01-02
JP,2003-01-03
JP,2003-01-13
JP,2003-02-11
JP,2003-04-29
JP,2003-05-03
JP,2003-05-04
JP,2003-05-05
JP,2003-07-21
JP,2003-09-15
JP,2003-10-13
JP,2003-11-03
JP,2003-11-23
CH,2003-01-01
CH,2003-01-02
CH,2003-04-18
CH,2003-04-21
CH,2003-05-29
CH,2003-06-09
CH,2003-08-01
CH,2003-12-25
CH,2003-12-26
CA,2003-01-01
CA,2003-04-18
CA,2003-05-19
CA,2003-07-01
CA,2003-09-01
CA,2003-10-13
CA,2003-12-25
CA,2003-12-26
AU,2003-01-01
AU,2003-01-26
AU,2003-04-18
AU,2003-04-21
AU,2003-04-25
AU,2003-12-25
AU,2003-12-26
NZ,2003-01-01
NZ,2003-01-02
NZ,2003-02-06
NZ,2003-04-18
NZ,2003-04-21
NZ,2003-04-25
NZ,2003-12-25
NZ,2003-12-26
US,2004-01-01
US,2004-01-19
US,2004-02-16
US,2004-05-31
US,2004-07-04
US,2004-09-06
US,2004-11-25
US,2004-12-25
US,2004-04-09
UK,2004-01-01
UK,2004-04-09
UK,2004-04-12
UK,2004-05-03
UK,2004-05-31
UK,2004-08-30
UK,2004-12-25
UK,2004-12-26
EU,2004-01-01
EU,2004-04-09
EU,2004-04-12
EU,2004-05-01
EU,2004-12-25
EU,2004-12-26
JP,2004-01-01
JP,2004-01-02
JP,2004-01-03
JP,2004-01-12
JP,2004-02-11
JP,2004-04-29
JP,2004-05-03
JP,2004-05-04
JP,2004-05-05
JP,2004-07-19
JP,2004-09-20
JP,2004-10-11
JP,2004-11-03
JP,2004-11-23
CH,2004-01-01
CH,2004-01-02
CH,2004-04-09
CH,2004-04-12
CH,2004-05-20
CH,2004-05-31
CH,2004-08-01
CH,2004-12-25
CH,2004-12-26
CA,2004-01-01
CA,2004-04-09
CA,2004-05-24
CA,2004-07-01
CA,2004-09-06
CA,2004-10-11
CA,2004-12-25
CA,2004-12-26
AU,2004-01-01
AU,2004-01-26
AU,2004-04-09
AU,2004-04-12
AU,2004-04-25
AU,2004-12-25
AU,2004-12-26
NZ,2004-01-01
NZ,2004-01-02
NZ,2004-02-06
NZ,2004-04-09
NZ,2004-04-12
NZ,2004-04-25
NZ,2004-12-25
NZ,2004-12-26
US,2005-01-01
US,2005-01-17
US,2005-02-21
US,2005-05-30
US,2005-07-04
US,2005-09-05
US,2005-11-24
US,2005-12-25
US,2005-03-25
UK,2005-01-01
UK,2005-03-25
UK,2005-03-28
UK,2005-05-02
UK,2005-05-30
UK,2005-08-29
UK,2005-12-25
UK,2005-12-26
EU,2005-01-01
EU,2005-03-25
EU,2005-03-28
EU,2005-05-01
EU,2005-12-25
EU,2005-12-26
JP,2005-01-01
JP,2005-01-02
JP,2005-01-03
JP,2005-01-10
JP,2005-02-11
JP,2005-04-29
JP,2005-05-03
JP,2005-05-04
JP,2005-05-05
JP,2005-07-18
JP,2005-09-19
JP,2005-10-10
JP,2005-11-03
JP,2005-11-23
CH,2005-01-01
CH,2005-01-02
CH,2005-03-25
CH,2005-03-28
CH,2005-05-05
CH,2005-05-16
CH,2005-08-01
CH,2005-12-25
CH,2005-12-26
CA,2005-01-01
CA,2005-03-25
CA,2005-05-23
CA,2005-07-01
CA,2005-09-05
CA,2005-10-10
CA,2005-12-25
CA,2005-12-26
AU,2005-01-01
AU,2005-01-26
AU,2005-03-25
AU,2005-03-28
AU,2005-04-25
AU,2005-12-25
AU,2005-12-26
NZ,2005-01-01
NZ,2005-01-02
NZ,2005-02-06
NZ,2005-03-25
NZ,2005-03-28
NZ,2005-04-25
NZ,2005-12-25
NZ,2005-12-26
US,2006-01-01
US,2006-01-16
US,2006-02-20
US,2006-05-29
US,2006-07-04
US,2006-09-04
US,2006-11-23
US,2006-12-25
US,2006-04-14
UK,2006-01-01
UK,2006-04-14
UK,2006-04-17
UK,2006-05-01
UK,2006-05-29
UK,2006-08-28
UK,2006-12-25
UK,2006-12-26
EU,2006-01-01
EU,2006-04-14
EU,2006-04-17
EU,2006-05-01
EU,2006-12-25
EU,2006-12-26
JP,2006-01-01
JP,2006-01-02
JP,2006-01-03
JP,2006-01-09
JP,2006-02-11
JP,2006-04-29
JP,2006-05-03
JP,2006-05-04
JP,2006-05-05
JP,2006-07-17
JP,2006-09-18
JP,2006-10-09
JP,2006-11-03
JP,2006-11-23
CH,2006-01-01
CH,2006-01-02
CH,2006-04-14
CH,2006-04-17
CH,2006-05-25
CH,2006-06-05
CH,2006-08-01
CH,2006-12-25
CH,2006-12-26
CA,2006-01-01
CA,2006-04-14
CA,2006-05-22
CA,2006-07-01
CA,2006-09-04
CA,2006-10-09
CA,2006-12-25
CA,2006-12-26
AU,2006-01-01
AU,2006-01-26
AU,2006-04-14
AU,2006-04-17
AU,2006-04-25
AU,2006-12-25
AU,2006-12-26
NZ,2006-01-01
NZ,2006-01-02
NZ,2006-02-06
NZ,2006-04-14
NZ,2006-04-17
NZ,2006-04-25
NZ,2006-12-25
NZ,2006-12-26
US,2007-01-01
US,2007-01-15
US,2007-02-19
US,2007-05-28
US,2007-07-04
US,2007-09-03
US,2007-11-22
US,2007-12-25
US,2007-04-06
UK,2007-01-01
UK,2007-04-06
UK,2007-04-09
UK,2007-05-07
UK,2007-05-28
UK,2007-08-27
UK,2007-12-25
UK,2007-12-26
EU,2007-01-01
EU,2007-04-06
EU,2007-04-09
EU,2007-05-01
EU,2007-12-25
EU,2007-12-26
JP,2007-01-01
JP,2007-01-02
JP,2007-01-03
JP,2007-01-08
JP,2007-02-11
JP,2007-04-29
JP,2007-05-03
JP,2007-05-04
JP,2007-05-05
JP,2007-07-16
JP,2007-09-17
JP,2007-10-08
JP,2007-11-03
JP,2007-11-23
CH,2007-01-01
CH,2007-01-02
CH,2007-04-06
CH,2007-04-09
CH,2007-05-17
CH,2007-05-28
CH,2007-08-01
CH,2007-12-25
CH,2007-12-26
CA,2007-01-01
CA,2007-04-06
CA,2007-05-21
CA,2007-07-01
CA,2007-09-03
CA,2007-10-08
CA,2007-12-25
CA,2007-12-26
AU,2007-01-01
AU,2007-01-26
AU,2007-04-06
AU,2007-04-09
AU,2007-04-25
AU,2007-12-25
AU,2007-12-26
NZ,2007-01-01
NZ,2007-01-02
NZ,2007-02-06
NZ,2007-04-06
NZ,2007-04-09
NZ,2007-04-25
NZ,2007-12-25
NZ,2007-12-26
US,2008-01-01
US,2008-01-21
US,2008-02-18
US,2008-05-26
US,2008-07-04
US,2008-09-01
US,2008-11-27
US,2008-12-25
US,2008-03-21
UK,2008-01-01
UK,2008-03-21
UK,2008-03-24
UK,2008-05-05
UK,2008-05-26
UK,2008-08-25
UK,2008-12-25
UK,2008-12-26
EU,2008-01-01
EU,2008-03-21
EU,2008-03-24
EU,2008-05-01
EU,2008-12-25
EU,2008-12-26
JP,2008-01-01
JP,2008-01-02
JP,2008-01-03
JP,2008-01-14
JP,2008-02-11
JP,2008-04-29
JP,2008-05-03
JP,2008-05-04
JP,2008-05-05
JP,2008-07-21
JP,2008-09-15
JP,2008-10-13
JP,2008-11-03
JP,2008-11-23
CH,2008-01-01
CH,2008-01-02
CH,2008-03-21
