name,slot,pine_source,n_pine,n_python,signature_confirmed,pine_params,python_params,wired_into_strategy,defaults_confirmed
chandelier_exit_exit,exit,library,3,3,True,atr_period; atr_mult; use_close,atr_period; atr_mult; use_close,False,True
polychromatic_momentum_signals,confirmation,library,1,1,True,len,len,False,True
polychromatic_momentum_exit,exit,library,1,1,True,len,len,False,True
mama_fama_signals,confirmation,library,2,2,True,fast_limit; slow_limit,fast_limit; slow_limit,False,True
mama_fama_exit,exit,library,2,2,True,fast_limit; slow_limit,fast_limit; slow_limit,False,True
kuskus_starlight_signals,confirmation,library,3,3,True,range_periods; price_smooth; index_smooth,range_periods; price_smooth; index_smooth,False,True
kuskus_starlight_exit,exit,library,3,3,True,range_periods; price_smooth; index_smooth,range_periods; price_smooth; index_smooth,False,True
bears_bulls_impulse_signals,confirmation,library,1,1,True,length,length,False,True
bears_bulls_impulse_exit,exit,library,1,1,True,length,length,False,True
fx_sniper_ergodic_cci_signals,confirmation,library,4,4,True,cci_length; ema1_length; ema2_length; trigger_length,cci_length; ema1_length; ema2_length; trigger_length,False,True
fx_sniper_ergodic_cci_exit,exit,library,4,4,True,cci_length; ema1_length; ema2_length; trigger_length,cci_length; ema1_length; ema2_length; trigger_length,False,True
lemantrend_signals,confirmation,library,4,4,True,slow_period; medium_period; fast_period; smooth,slow_period; medium_period; fast_period; smooth,False,True
lemantrend_exit,exit,library,4,4,True,slow_period; medium_period; fast_period; smooth,slow_period; medium_period; fast_period; smooth,False,True
waddah_attar_explosion_signals,confirmation,library,5,5,True,sensitivity; fastEma; slowEma; bbLen; bbStd,sensitivity; fastEma; slowEma; bbLen; bbStd,False,True
waddah_attar_explosion_exit,exit,library,5,5,True,sensitivity; fastEma; slowEma; bbLen; bbStd,sensitivity; fastEma; slowEma; bbLen; bbStd,False,True
volatility_quality_signals,confirmation,library,3,3,True,ma_type; smooth; atr_pct,ma_type; smooth; atr_pct,False,True
volatility_quality_exit,exit,library,3,3,True,ma_type; smooth; atr_pct,ma_type; smooth; atr_pct,False,True
j_tpo_signals,confirmation,library,3,3,True,len; ema_len; ema_filter,len; ema_len; ema_filter,False,True
j_tpo_exit,exit,library,3,3,True,len; ema_len; ema_filter,len; ema_len; ema_filter,False,True
hieken_ashi_smoothed_signals,confirmation,library,19,19,True,ma_type1; ma_len1; ma_type2; ma_len2; single_smooth; vol_factor1; alma_offset1; alma_sigma1; lsma_offset1; ama_smooth1; frama_t1_a; frama_t1_b; vol_factor2; alma_offset2; alma_sigma2; lsma_offset2; ama_smooth2; frama_t2_a; frama_t2_b,ma_type1; ma_len1; ma_type2; ma_len2; single_smooth; vol_factor1; alma_offset1; alma_sigma1; lsma_offset1; ama_smooth1; frama_t1_a; frama_t1_b; vol_factor2; alma_offset2; alma_sigma2; lsma_offset2; ama_smooth2; frama_t2_a; frama_t2_b,False,True
hieken_ashi_smoothed_exit,exit,library,19,19,True,ma_type1; ma_len1; ma_type2; ma_len2; single_smooth; vol_factor1; alma_offset1; alma_sigma1; lsma_offset1; ama_smooth1; frama_t1_a; frama_t1_b; vol_factor2; alma_offset2; alma_sigma2; lsma_offset2; ama_smooth2; frama_t2_a; frama_t2_b,ma_type1; ma_len1; ma_type2; ma_len2; single_smooth; vol_factor1; alma_offset1; alma_sigma1; lsma_offset1; ama_smooth1; frama_t1_a; frama_t1_b; vol_factor2; alma_offset2; alma_sigma2; lsma_offset2; ama_smooth2; frama_t2_a; frama_t2_b,False,True
rex_oscillator_signals,confirmation,library,26,26,True,maType; smooth; almaOffset; almaSigma; framaFast; framaSlow; jurikPhase; jurikPower; lsOffset; modFilter; modFB; modFBW; volAdj; sigMaType; sigSmooth; sigAlmaOff; sigAlmaSig; sigFramaFast; sigFramaSlow; sigJurikPhase; sigJurikPower; sigLsOff; sigModFilter; sigModFB; sigModFBW; sigVolAdj,maType; smooth; almaOffset; almaSigma; framaFast; framaSlow; jurikPhase; jurikPower; lsOffset; modFilter; modFB; modFBW; volAdj; sigMaType; sigSmooth; sigAlmaOff; sigAlmaSig; sigFramaFast; sigFramaSlow; sigJurikPhase; sigJurikPower; sigLsOff; sigModFilter; sigModFB; sigModFBW; sigVolAdj,False,True
rex_oscillator_exit,exit,library,26,26,True,maType; smooth; almaOffset; almaSigma; framaFast; framaSlow; jurikPhase; jurikPower; lsOffset; modFilter; modFB; modFBW; volAdj; sigMaType; sigSmooth; sigAlmaOff; sigAlmaSig; sigFramaFast; sigFramaSlow; sigJurikPhase; sigJurikPower; sigLsOff; sigModFilter; sigModFB; sigModFBW; sigVolAdj,maType; smooth; almaOffset; almaSigma; framaFast; framaSlow; jurikPhase; jurikPower; lsOffset; modFilter; modFB; modFBW; volAdj; sigMaType; sigSmooth; sigAlmaOff; sigAlmaSig; sigFramaFast; sigFramaSlow; sigJurikPhase; sigJurikPower; sigLsOff; sigModFilter; sigModFB; sigModFBW; sigVolAdj,False,True
