classifier,shape,activity,episode,n_states,median_run,diagonal,min_share,coverage,refit,corr_shape_sign,corr_act_sign,corr_ep_sign,corr_shape_iid,corr_act_iid,corr_ep_iid
nine-box (dwelled),0.4221542539140481,0.8375247356708888,0.4166495844257863,9,11.0,0.9251820519795467,0.0940422444372783,1.0,100.0,-0.09969982026149987,0.06663714506491303,-0.08939776591311238,-0.09679045889068377,0.2782057986534907,-0.08218155029460855
shape3 x activity,0.37355338235163316,0.7521675055697854,0.35195140007699677,9,12.0,0.9338684542229778,0.05392077824357734,1.0,100.0,0.025334628538741244,0.003775059967667249,0.013497731913990063,0.0299152812850888,0.24944244333272758,0.02246085655094876
shape3 alone,0.254434595907392,0.09591143887011884,0.2092853771749316,3,14.0,0.9471700520390807,0.17814145974416853,1.0,100.0,-0.010729576440819122,0.039663524790029214,-0.013874266603832647,-0.006566237256020735,0.03202645900420645,-0.00693337913836381
activity alone,0.07992296406349995,0.7463772635848702,0.053661811097096154,3,19.0,0.956489669937744,0.3002257336343115,1.0,100.0,0.038320438120233336,0.0055946538776910915,0.010769520927122932,0.03232812451908313,0.2562354875657601,0.01210569879040583
nine-box (as shipped),0.45808836828529476,0.9301664019748443,0.3503155526260322,9,4.0,0.8315100971237234,0.08686713963237665,1.0,100.0,-0.0541444605717597,0.04658384147828587,-0.0635205609190651,-0.04582542765465569,0.21177931755160218,-0.06341134139138438
