atr_len,trend_n,trend_exp,chop_n,chop_exp,n,expectancy_R,profit_factor
2,175310,0.013348150300146105,77818,0.014481360803529665,253128,0.013696528096961556,1.051496958983247
3,173476,0.013968726984426763,77004,0.011691401499108559,250480,0.013268618506019531,1.048887317810845
4,172050,0.012417366621010539,76315,0.013606117062877517,248365,0.01278263342579816,1.0466746953368087
5,171078,0.01309947767391043,75850,0.012043823466249163,246928,0.012775207556098327,1.0465367542763033
6,170362,0.01229212259426854,75531,0.010699788849200443,245893,0.011803005132206838,1.04280411171275
7,169890,0.011476395515154982,75291,0.011245013541485986,245181,0.011405341966227814,1.0412301502177745
8,169486,0.010884228575546634,75063,0.011850264201811263,244549,0.011180748014245224,1.0403273265208943
9,169148,0.011816867775362137,74884,0.012139722979484482,244032,0.011915939573755372,1.0429394977279804
10,168784,0.011007969560822601,74761,0.012520651476570246,243545,0.011472317474773654,1.0412341755435388
11,168484,0.012249905767768571,74655,0.01439516875327782,243139,0.012908601444657896,1.0463929690330127
12,168260,0.012035181599488303,74594,0.01651496925039591,242854,0.01341117408893382,1.0481228851189375
13,168082,0.011786996386688075,74496,0.017046480744361093,242578,0.013402190455025722,1.0480530637903074
14,167950,0.010859099094853525,74463,0.01713273438012252,242413,0.0127861974940606,1.0457505522830906
15,167702,0.010003303660908824,74418,0.015659303504286865,242120,0.011741731698016485,1.041913739265716
16,167504,0.01050512131463465,74395,0.016202724078611723,241899,0.012257394608968544,1.0437814441643734
17,167394,0.009989125282610343,74415,0.015322090610350926,241809,0.011630307434076236,1.0414895754669973
18,167216,0.010328881484009086,74414,0.01524163125534338,241630,0.011841844946675437,1.042227460225841
19,167084,0.011017169552489476,74431,0.015232457076697759,241515,0.012316252697281092,1.0439259853144456
20,167056,0.011647823804716495,74456,0.015164611179174836,241512,0.012732018050769156,1.0454025805518228
21,166842,0.011586396026393745,74483,0.015624892531311677,241325,0.012832845151746704,1.0457720183224193
22,166688,0.01177663638178975,74502,0.015589014002703844,241190,0.012954254680696591,1.0462045819612174
23,166546,0.011300194763388451,74521,0.01701124877433912,241067,0.013065651901653147,1.0465574138268279
24,166386,0.011156396093801707,74531,0.017297793658690063,240917,0.013056322217357511,1.0465131823279867
25,166272,0.011241420182322751,74525,0.01749526136622301,240797,0.013176940617503281,1.0469363220684984
26,166168,0.011148425547579123,74493,0.018240819596291837,240661,0.013343769661792713,1.04753264578728
27,166086,0.010823045485758825,74488,0.017864105088896624,240574,0.013003141621328458,1.0462877497350251
28,165950,0.010766831873486694,74478,0.01922858117629518,240428,0.013388049720719835,1.047681233230212
29,165878,0.010352686021939008,74487,0.019335317826377672,240365,0.013136324634953477,1.04675102506688
30,165648,0.010591602727624003,74509,0.020592650623575792,240157,0.013694439945275253,1.0487497163194321
31,165558,0.01079182108414414,74497,0.020383923793075548,240055,0.013768567561023452,1.0490047453888904
32,165446,0.01050495668331344,74503,0.01748205174046976,239949,0.012671310837918446,1.0450284339023335
33,165386,0.010313671147123211,74512,0.016954541042658,239898,0.012376316511636828,1.0439709133103388
34,165302,0.01001763958145225,74551,0.016735763523889214,239853,0.012105763799338282,1.0429989663696666
35,165170,0.010252474658404294,74541,0.016862594970876513,239711,0.012307970560603157,1.0437360619542402
36,165026,0.010085749234764437,74564,0.01646054291658543,239590,0.012069680601229236,1.042850166734402
37,164878,0.01022633157760406,74553,0.016889579997274706,239431,0.01230110535139152,1.0436756219276573
38,164762,0.010918853980846053,74536,0.01720589390123174,239298,0.012877126960586238,1.0457745035673391
39,164702,0.01134926318136595,74549,0.01783263197805477,239251,0.013369437226299324,1.0475472664379912
40,164610,0.011473173609221317,74534,0.01759689833291638,239144,0.013381754625495563,1.0475569202412596
41,164480,0.010795284430544734,74517,0.017292314690213337,238997,0.012820996903336131,1.0455250139614307
42,164418,0.01073528370632642,74488,0.018370980342091524,238906,0.013116001524233341,1.0465929923321653
43,164326,0.010263432857745346,74450,0.018196164548947784,238776,0.0127368467452802,1.0452158063674104
44,164280,0.009938336978410626,74429,0.017794570874289872,238709,0.012387895363877436,1.0439661455893823
45,164040,0.009420387405552002,74422,0.017728022487409234,238462,0.012013130979211448,1.042602598076784
46,163942,0.008706629672123463,74411,0.018350999197068403,238353,0.011717488275626157,1.0415616471089326
47,163730,0.008204068149623392,74405,0.01736679126635464,238135,0.01106695018502511,1.0392380762995932
48,163658,0.008504561696005752,74348,0.01734788187339063,238006,0.011267026375670177,1.0399564301403768
49,163622,0.008340049204016708,74342,0.017182450629723928,237964,0.01110249145070077,1.039355337884723
50,163470,0.0089713307530231,74362,0.017975216804865503,237832,0.011786540542231891,1.0418031436246125
