N,view,total_R,avg_annual_R,max_dd_R,sortino,sharpe,calmar,worst_month_R,n_trades,pct_2plus,max_sim,mean_corr,max_corr
5,excl,66.3,6.52,3.82,2.73,1.9,17.38,-1.29,,61.8,5,0.0838,0.5894
5,allin,68.71,6.76,2.78,2.79,1.94,24.67,-1.29,,62.5,5,0.0817,0.5905
6,excl,68.08,6.7,3.25,3.19,2.01,20.92,-1.12,,66.6,6,0.0699,0.5922
6,allin,73.33,7.21,3.07,3.37,2.1,23.91,-1.12,,69.5,6,0.0689,0.5931
7,excl,66.9,6.58,3.01,2.82,1.92,22.24,-0.99,,68.4,7,0.1288,0.7693
7,allin,71.4,7.02,3.01,2.99,2.01,23.74,-0.99,,71.2,7,0.1282,0.7713
8,excl,66.22,6.51,2.01,3.18,2.02,33.0,-1.01,,74.4,8,0.1058,0.77
8,allin,70.67,6.95,2.01,3.38,2.11,35.22,-1.01,,76.6,8,0.1048,0.7719
9,excl,65.02,6.4,1.89,3.61,2.18,34.32,-0.89,,77.5,9,0.0831,0.7704
9,allin,68.98,6.79,1.89,3.8,2.26,36.41,-0.89,,79.2,9,0.0823,0.7723
10,excl,65.5,6.44,2.49,3.87,2.24,26.29,-0.81,,81.0,10,0.0765,0.7708
10,allin,69.08,6.8,2.49,4.02,2.31,27.73,-0.81,,82.2,10,0.0755,0.7727
11,excl,68.06,6.7,2.24,4.15,2.28,30.36,-0.92,,84.5,10,0.0758,0.7712
11,allin,73.58,7.24,2.24,4.44,2.39,32.82,-0.92,,86.1,10,0.0743,0.7731
12,excl,67.38,6.63,2.23,4.53,2.37,30.26,-0.84,,85.7,11,0.069,0.7715
12,allin,72.65,7.15,2.03,4.83,2.48,35.7,-0.84,,87.4,11,0.0673,0.7733
13,excl,66.54,6.55,1.81,4.7,2.46,36.72,-0.72,,87.7,12,0.0659,0.7717
13,allin,77.08,7.58,1.68,5.39,2.21,45.95,-0.72,,88.9,12,0.0583,0.7735
14,excl,68.61,6.75,2.25,4.67,2.5,30.46,-0.79,,91.0,13,0.0638,0.772
14,allin,79.03,7.77,2.25,5.26,2.3,35.08,-0.79,,91.7,13,0.0572,0.7738
15,excl,67.71,6.66,2.1,4.56,2.5,32.2,-0.73,,91.1,14,0.0739,0.772
15,allin,77.79,7.65,2.1,5.15,2.33,37.0,-0.73,,91.9,14,0.0662,0.7739
16,excl,68.27,6.72,1.92,4.76,2.52,35.62,-0.77,,93.6,15,0.0774,0.7722
16,allin,84.04,8.27,1.92,5.77,1.76,43.85,-0.77,,94.8,15,0.0687,0.9616
17,excl,67.76,6.67,1.9,4.88,2.51,35.75,-0.78,,94.6,16,0.0774,0.7723
17,allin,83.19,8.18,1.9,5.91,1.81,43.89,-0.78,,95.8,16,0.0688,0.9616
18,excl,67.01,6.59,1.81,5.09,2.5,37.03,-0.78,,95.6,17,0.0769,0.7724
18,allin,82.08,8.07,1.81,6.14,1.85,45.35,-0.78,,96.7,17,0.0697,0.9616
19,excl,66.49,6.54,1.85,5.22,2.52,35.91,-0.74,,95.8,18,0.076,0.7725
19,allin,80.73,7.94,1.85,6.22,1.89,43.6,-0.74,,96.9,18,0.0689,0.9616
20,excl,66.05,6.5,1.7,5.28,2.56,38.84,-0.77,,96.6,18,0.0755,0.7726
20,allin,84.67,8.33,1.7,6.64,1.53,49.78,-0.77,,97.5,19,0.0731,0.9699
21,excl,65.76,6.47,1.7,5.38,2.62,38.61,-0.68,,96.9,19,0.0707,0.7726
21,allin,83.4,8.2,1.7,6.71,1.58,48.96,-0.68,,97.8,20,0.0684,0.9699
22,excl,65.69,6.46,1.73,5.62,2.67,37.95,-0.7,,97.3,20,0.0693,0.7727
22,allin,82.81,8.15,1.73,6.96,1.63,47.84,-0.7,,98.3,21,0.0664,0.9699
23,excl,65.88,6.48,1.7,5.74,2.73,38.77,-0.71,,97.6,20,0.0668,0.7728
23,allin,82.49,8.12,1.7,7.04,1.69,48.55,-0.71,,98.6,21,0.064,0.9699
24,excl,65.46,6.44,1.74,5.88,2.71,37.62,-0.68,,97.7,20,0.0678,0.7728
24,allin,81.42,8.01,1.74,7.16,1.72,46.79,-0.68,,98.6,21,0.0648,0.9699
25,excl,65.42,6.44,1.87,5.71,2.7,34.95,-0.75,,98.4,21,0.0678,0.7729
25,allin,80.58,7.93,1.87,6.86,1.75,43.05,-0.75,,99.1,22,0.0652,0.9699
