currency,coverage,n_fx_bars,runnable_pairs,pairs
USD,1.0,2264,3,"GBPUSD, USDCHF, GBPCHF"
GBP,1.0,2264,3,"GBPUSD, USDCHF, GBPCHF"
CHF,0.9995583038869258,2264,3,"GBPUSD, USDCHF, GBPCHF"
