budget,structure,real_median_year,n,null_mean,null_p95,null_max,pctile_of_real,p_value,p_resolution
team1,NO_CUT,-1.4760916833768758,25,-0.8139481103673237,0.0008639683466037038,0.3151564497449959,12.0,0.88,0.04
team2,NO_CUT,-2.2141375250653135,25,-1.2209221655509854,0.0012959525199059407,0.4727346746174935,12.0,0.88,0.04
