block,state,n_days,corr_chg21
is,trending,3280,0.1433315271478163
is,ranging,3280,-0.10095897666603311
is,trend-in-range,3280,0.05510719895608444
is,neither,3280,-0.10978180463142886
oos,trending,2643,-0.038916500559246246
oos,ranging,2643,0.06809815360636269
oos,trend-in-range,2643,0.04249420303581178
oos,neither,2643,-0.07973071555395495
