n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
116,67.82156676240048,11,14.657925457137178,5,2.655550218207455,15,18.31347567534462,0,0.0,95,41.10809108705586,glitch_index_signals,rex_oscillator_signals,variance_volume_signals,ema_baseline,chop,20,0.2700243676101185,38.13738585784376,59.421566762400474,20,41.10809108705586,95,55.0,8.0,31.5,34
304,100.6277294521851,22,27.60971222021042,8,20.452336653398852,26,29.524683788230924,2,16.532746179234,272,61.159305796435014,relative_vigor_index_signals,waddah_attar_explosion_signals,volatility_ratio_volume_signals,t3_baseline,trend,25,0.2934050479819288,26.62090486294601,72.55964798655027,25,61.159305796435014,272,21.0,45.0,33.0,35
114,64.08388566916102,15,17.267543452108185,10,0.9499999999999608,25,18.217543452108146,0,0.0,83,45.60413800513218,dspo_signals,qqe_mod_signals,waddah_attar_explosion_volume_signals,sma_baseline,chop,18,0.2842765113550993,34.074264747998015,63.82168145724032,18,45.60413800513218,83,45.0,22.0,33.5,36
104,60.934850016121665,11,9.659154412334663,4,8.098611972423711,15,17.757766384758373,0,0.0,87,37.17708363136328,ichimoku_signals,dspo_signals,ttm_squeeze_volume_signals,rma_baseline,chop,36,0.2914221726985487,37.705767329631506,55.597599472272144,36,37.17708363136328,87,58.0,11.0,34.5,37
125,56.11614268022798,16,13.24545449850004,8,1.2999999999999914,24,14.545454498500034,0,0.0,97,41.80590104084844,dspo_signals,volatility_quality_signals,waddah_attar_explosion_volume_signals,tma_baseline,chop,32,0.2592026786549781,35.36163893085557,56.35135553934849,32,41.80590104084844,97,52.0,17.0,34.5,38
125,57.569371274004034,9,1.8117239214895484,5,6.285714285714311,14,8.09743820720386,0,0.0,100,47.196769086433854,bears_bulls_impulse_signals,lemantrend_signals,variance_volume_signals,fantail_vma,chop,45,0.1406553177151047,32.9183648634994,55.29420729363768,45,47.196769086433854,100,43.0,26.0,34.5,39
231,97.95344599593,23,12.096784246860398,20,7.577365412184395,40,18.68722471829496,0,0.0,181,67.13949224943858,polychromatic_momentum_signals,fisher_transform_signals,variance_volume_signals,fantail_vma,chop,54,0.1907765931897017,21.28719807035758,85.82671696773352,54,67.13949224943858,181,12.0,59.0,35.5,40
121,75.48772765700639,13,3.497543055145659,7,4.854715562551209,19,8.59754305514565,0,0.0,95,50.527461815567776,polychromatic_momentum_signals,bears_bulls_impulse_signals,variance_volume_signals,rma_baseline,chop,39,0.1138932555263858,28.971658813965412,59.125004870713454,39,50.527461815567776,95,38.0,34.0,36.0,41
250,71.24341955706691,20,0.4750908164155191,6,1.3988608349509557,24,2.873951651366524,0,0.0,221,62.62733921548872,ehlers_reverse_ema_signals,waddah_attar_explosion_signals,variance_volume_signals,mcginley_dynamic_index,trend,41,0.0403398892028821,25.31733693312093,65.50129086685521,41,62.62733921548872,221,18.0,54.0,36.0,42
320,78.26998364000036,24,6.837114758109384,18,2.691513706559431,34,9.538246762604508,0,0.0,284,62.465392941930766,ehlers_reverse_ema_signals,vortex_signals,variance_volume_signals,tma_baseline,trend,38,0.1218634055997161,25.18182765448117,69.4309817770797,38,62.465392941930766,284,19.0,55.0,37.0,43
250,88.95138320224277,25,14.72499775756597,17,13.880271950663868,39,27.367397461412256,0,0.0,205,64.08398574083051,fisher_transform_signals,ehlers_reverse_ema_signals,efficiency_ratio_volume_signals,fantail_vma,chop,52,0.3076669128257269,21.127433334624516,91.45138320224277,52,64.08398574083051,205,15.0,60.0,37.5,44
101,57.63961379081495,4,3.6311362105747103,5,2.9999999999999685,8,7.631136210574681,0,0.0,90,45.00847758024026,waddah_attar_explosion_signals,ssl_channel_signals,waddah_attar_explosion_volume_signals,fantail_vma,chop,57,0.1323939511161458,31.13866617374187,53.63961379081495,57,45.00847758024026,90,46.0,29.0,37.5,45
128,69.03172046286602,7,1.169588769838276,4,3.5000616217959464,11,4.669650391634222,0,0.0,105,53.82882557761079,parabolic_sar_signals,lemantrend_signals,variance_volume_signals,wma_baseline,chop,53,0.067644995088108,26.56784665123421,58.498475969245,53,53.82882557761079,105,30.0,46.0,38.0,46
226,59.20933906734118,24,3.348186097041613,2,2.6451655434942314,24,3.348186097041613,0,0.0,192,55.62422334564014,kase_peak_oscillator_signals,schaff_trend_cycle_signals,variance_volume_signals,tma_baseline,trend,59,0.0565482768391247,25.892493727577673,58.97240944268182,59,55.62422334564014,192,28.0,49.0,38.5,47
102,66.46310511047076,13,11.960180287081895,4,6.5714285714285605,16,16.00779933470093,0,0.0,81,41.360067680531735,center_of_gravity_signals,price_momentum_oscillator_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,chop,35,0.2408524144048608,33.487076507563586,57.36786701523266,35,41.360067680531735,81,54.0,25.0,39.5,48
117,79.54309513763059,12,18.876082919418952,8,5.902413146307902,19,21.77849606572686,0,0.0,91,43.547574915127186,ichimoku_signals,price_momentum_oscillator_signals,choppiness_index_volume_signals,rma_baseline,chop,21,0.2737949287495577,30.76820596539089,65.32607098085406,21,43.547574915127186,91,49.0,30.0,39.5,49
114,54.92771259885008,13,22.949764518177865,4,-0.4500000000000135,15,20.949764518177865,0,0.0,96,33.11481912459443,rex_oscillator_signals,ichimoku_signals,volatility_ratio_volume_signals,rma_baseline,chop,47,0.3814060977047941,34.850666327597764,54.06458364277228,47,33.11481912459443,96,59.0,20.0,39.5,50
132,79.28634335396978,9,11.123510153586883,4,-1.2243023478359565,12,9.03312919886595,0,0.0,110,51.8618965479329,supertrend_signals,fx_sniper_ergodic_cci_signals,choppiness_index_volume_signals,mcginley_dynamic_index,chop,50,0.1139304553186166,26.354188258856137,60.89502574679883,50,51.8618965479329,110,34.0,47.0,40.5,51
124,67.50564808677066,13,11.93018114559735,10,3.952868750337064,22,16.56482699423098,0,0.0,100,48.94082109253969,volatility_quality_signals,relative_vigor_index_signals,waddah_attar_explosion_volume_signals,fantail_vma,chop,34,0.245384311738461,26.79309813546052,65.50564808677065,34,48.94082109253969,100,41.0,43.0,42.0,52
171,65.43895604286764,20,12.064991863493267,7,5.662331538306798,26,16.27732340180006,0,0.0,142,51.433789368171894,price_momentum_oscillator_signals,fisher_transform_signals,efficiency_ratio_volume_signals,fantail_vma,chop,37,0.2487405726817698,25.623836869589542,67.71111276997195,37,51.433789368171894,142,35.0,51.0,43.0,53
117,54.21794365260257,14,8.000584128825976,8,6.609659890590505,21,13.236198217889765,0,0.0,91,42.93453462256106,ichimoku_signals,ehlers_reverse_ema_signals,volatility_ratio_volume_signals,rma_baseline,chop,58,0.2441294768149031,27.988329282985458,56.17073284045083,58,42.93453462256106,91,51.0,38.0,44.5,54
115,62.97731209034058,6,9.428314741197989,10,9.324153050381843,14,14.968712440600308,0,0.0,99,44.59606082852265,center_of_gravity_signals,linreg_slope_signals,efficiency_ratio_volume_signals,fantail_vma,chop,51,0.237684206323823,26.84946090579352,59.564773269122966,51,44.59606082852265,99,47.0,42.0,44.5,55
126,73.32982626325196,13,16.088410688176268,9,3.7243667036433137,21,16.812777391819637,0,0.0,97,43.945611327244784,halftrend_signals,qqe_mod_signals,variance_volume_signals,fantail_vma,chop,49,0.2292761110801252,26.768534481561513,60.75838871906442,49,43.945611327244784,97,48.0,44.0,46.0,56
143,87.70974803401049,13,11.026925543396947,8,14.26175440088417,20,25.527380732018027,0,0.0,116,45.71201243593696,polychromatic_momentum_signals,bears_bulls_impulse_signals,ttm_squeeze_volume_signals,kama_baseline,chop,31,0.2910438269885291,26.21356831100423,71.23939316795499,31,45.71201243593696,116,44.0,48.0,46.0,57
146,81.04588711033465,15,16.344506714380994,6,4.346741854001089,20,17.691248568382072,0,0.0,119,49.28615004456293,parabolic_sar_signals,bears_bulls_impulse_signals,variance_volume_signals,fantail_vma,chop,42,0.2182868150273618,24.542451823993776,66.97739861294502,42,49.28615004456293,119,39.0,57.0,48.0,58
113,62.38727877077462,12,6.792063133480811,15,14.067664381746642,25,18.832469490528652,0,0.0,85,39.1357034071568,waddah_attar_explosion_signals,volatility_quality_signals,variance_volume_signals,fantail_vma,chop,55,0.3018639354302265,27.003355750777647,57.96817289768547,55,39.1357034071568,85,56.0,41.0,48.5,59
124,67.72517896498105,8,18.600000000000044,11,16.241233646186604,16,30.241233646186597,0,0.0,108,37.48394531879446,schaff_trend_cycle_signals,relative_vigor_index_signals,waddah_attar_explosion_volume_signals,fantail_vma,chop,46,0.4465286634653791,25.330539549478157,64.92517896498106,46,37.48394531879446,108,57.0,53.0,55.0,60
