n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
304,110.28477806310468,20,22.936159134079805,4,14.708476501455625,22,24.4361591340798,2,13.20847650145563,261,82.59865112666493,lemantrend_signals,rex_oscillator_signals,variance_volume_signals,fantail_vma,trend,1,0.2215732720620563,41.84680222887173,93.27140593003632,1,82.59865112666493,261,3.0,5.0,4.0,1
117,72.49956712474801,12,12.445891230884396,5,1.8599451119070167,16,11.955836342791423,0,0.0,89,60.61921440179709,lemantrend_signals,dpo_signals,ttm_squeeze_volume_signals,sma_baseline,chop,4,0.1649090721082423,42.007192733536954,72.57505074458852,4,60.61921440179709,89,23.0,4.0,13.5,2
202,89.48949502004619,10,-1.6598538230169595,10,9.30695993962521,18,8.647106116608269,0,0.0,175,68.17896242844634,relative_vigor_index_signals,center_of_gravity_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,trend,5,0.0966270523112379,35.38922054137816,76.82606854505462,5,68.17896242844634,175,11.0,16.0,13.5,3
222,73.8962060174453,24,-0.6958463638825336,8,7.704626155572054,30,8.008779791689529,0,0.0,170,63.09252955571034,coral_signals,fx_sniper_ergodic_cci_signals,williams_vix_fix_volume_signals,rma_baseline,trend,7,0.1083787683199707,37.926853165971224,69.49252844641201,7,63.09252955571034,170,17.0,10.0,13.5,4
230,143.87473209275828,22,66.37173262064347,10,73.29023043014715,28,67.04590362232078,0,0.0,194,72.97398885001695,qqe_mod_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,trend,11,0.4660019354829814,34.05404346583588,66.63844293312107,11,72.97398885001695,194,6.0,23.0,14.5,5
150,111.79265546677308,12,15.020154927513934,5,6.561743627623828,16,18.88189855513781,0,0.0,121,70.40409200270453,parabolic_sar_signals,waddah_attar_explosion_signals,variance_volume_signals,ema_baseline,chop,2,0.168901064889275,33.586288614541694,89.2859905578423,2,70.40409200270453,121,10.0,24.0,17.0,6
172,77.45373073039484,16,-5.85154749530878,6,8.305644548166079,20,3.454097052857255,0,0.0,145,64.03348020662,relative_vigor_index_signals,center_of_gravity_signals,damiani_volatmeter_volume_signals,ema_baseline,trend,10,0.0445956188331387,35.220054854804026,67.48757725947726,10,64.03348020662,145,16.0,18.0,17.0,7
112,75.33889552443165,12,16.430653740753716,4,19.56118026866731,14,20.241185196000963,2,15.750648813420067,90,52.03664758626118,vortex_signals,relative_vigor_index_signals,variance_volume_signals,tma_baseline,trend,28,0.2686684620885761,59.99719289981747,56.06929759872922,28,52.03664758626118,90,33.0,2.0,17.5,8
126,78.4521939627352,17,16.01791875556386,12,1.5202860503279467,25,13.638204805891782,0,0.0,95,60.54828947946939,bears_bulls_impulse_signals,schaff_trend_cycle_signals,variance_volume_signals,t3_baseline,chop,6,0.1738409611893063,37.03789490899483,74.18649428536116,6,60.54828947946939,95,24.0,13.0,18.5,9
230,154.58465173015873,24,87.26443505199049,2,91.51076814900463,24,87.26443505199049,0,0.0,198,65.55362212994423,kase_peak_oscillator_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,trend,26,0.5645090510299712,31.8539472842397,61.30728903293005,26,65.55362212994423,198,14.0,27.0,20.5,10
268,170.3172734852123,22,92.92966017576808,4,95.26604614055633,22,92.92966017576808,0,0.0,233,70.88152905877958,coral_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,wma_baseline,trend,15,0.5456267486799373,29.412139154356527,72.30042108554305,15,70.88152905877958,233,9.0,32.0,20.5,11
201,99.6845690248478,12,7.538291859907259,11,8.792616983551675,23,16.33090884345893,0,0.0,169,79.08094821363896,dpo_signals,waddah_attar_explosion_signals,choppiness_index_volume_signals,sma_baseline,chop,8,0.1638258458978562,27.885047719106225,95.4118570570978,8,79.08094821363896,169,4.0,39.0,21.5,12
298,82.9471457994397,22,1.2549230419780375,8,2.963194716588161,26,3.350256761260077,0,0.0,259,70.90914872061825,ssl_channel_signals,vortex_signals,variance_volume_signals,ema_baseline,trend,14,0.0403902597126218,28.78167250045266,73.29247988306267,14,70.90914872061825,259,8.0,35.0,21.5,13
192,53.9583452380309,22,3.5224128432565065,4,1.3831492703839627,24,2.522412843256502,0,0.0,162,51.30512074620975,ehlers_reverse_ema_signals,aroon_signals,variance_volume_signals,tma_baseline,trend,60,0.0467474091751549,38.10300364918744,50.88718809288832,60,51.30512074620975,162,36.0,9.0,22.5,14
146,86.09107036533452,17,25.648583618519183,3,0.7619047619047528,20,26.410488380423935,0,0.0,108,52.76041079988933,bears_bulls_impulse_signals,ssl_channel_signals,variance_volume_signals,kama_baseline,chop,3,0.3067738415650875,35.67972074837336,79.17089918031324,3,52.76041079988933,108,31.0,15.0,23.0,15
210,65.04029515863049,14,-3.219934143539307,4,8.930653390830637,16,6.412697760058023,0,0.0,184,57.41866465259791,fisher_transform_signals,center_of_gravity_signals,williams_vix_fix_volume_signals,rma_baseline,trend,17,0.0985957665846646,34.17620224056883,63.83136241265593,17,57.41866465259791,184,27.0,21.0,24.0,16
222,65.33905716299907,12,9.329871169840146,4,7.232028684086919,14,12.567735933216454,0,0.0,202,48.58265287763367,glitch_index_signals,coral_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,trend,16,0.1923464536971227,40.05853594090354,61.15038881085016,16,48.58265287763367,202,42.0,7.0,24.5,17
178,61.11478407974059,14,-3.2341272560041494,4,6.150072171135339,18,2.915944915131191,0,0.0,154,51.05518794446477,center_of_gravity_signals,kase_peak_oscillator_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,trend,40,0.0477125945716597,36.16763483615272,53.97113285959591,40,51.05518794446477,154,37.0,14.0,25.5,18
194,155.95211298471574,18,92.9850196064135,4,90.56076814900467,18,92.9850196064135,0,0.0,165,52.524517616729966,coral_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,fantail_vma,trend,44,0.5962408448773413,35.20775688496517,53.94876907413881,44,52.524517616729966,165,32.0,19.0,25.5,19
464,126.22262674389783,42,16.001311168864127,6,3.672669321028377,44,15.474884513901731,0,0.0,407,93.63676202945756,lemantrend_signals,rex_oscillator_signals,volatility_ratio_volume_signals,fantail_vma,trend,13,0.122599924538885,25.6774887006007,106.45059869136918,13,93.63676202945756,407,1.0,50.0,25.5,20
174,67.20438268111508,8,11.590573508307829,2,0.0686875543489288,10,11.659261062656755,0,0.0,161,49.17490558560284,waddah_attar_explosion_signals,relative_vigor_index_signals,volatility_ratio_volume_signals,t3_baseline,trend,27,0.1734895939447873,37.44011020879093,57.87800000538445,27,49.17490558560284,161,40.0,12.0,26.0,21
288,75.0816681919952,22,1.511286192962543,10,3.662271619006556,30,6.173557811969134,0,0.0,247,65.56149831700903,lemantrend_signals,aroon_signals,volatility_ratio_volume_signals,kama_baseline,trend,22,0.0822245690676772,27.05775088622195,72.73505612897813,22,65.56149831700903,247,13.0,40.0,26.5,22
98,56.412025338327986,6,2.2957857723309494,4,6.056073684736421,10,8.35185945706737,0,0.0,87,43.48203014644911,trend_direction_force_index_signals,fisher_transform_signals,waddah_attar_explosion_volume_signals,ema_baseline,trend,43,0.1480510477505028,56.03844473838934,51.83388960351648,43,43.48203014644911,87,50.0,3.0,26.5,23
268,79.761502743908,20,0.6788825299520634,16,14.602011115723556,32,16.53501719432062,0,0.0,233,61.038788100035845,bears_bulls_impulse_signals,rex_oscillator_signals,variance_volume_signals,ema_baseline,trend,9,0.2073057380502215,30.624621832182044,77.57380529435649,9,61.038788100035845,233,22.0,31.0,26.5,24
196,65.9487867835182,14,5.013740257502603,2,2.7245648758815006,16,7.738305133384102,0,0.0,177,57.51594881537982,lemantrend_signals,kalman_filter_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,trend,23,0.1173380968900256,31.74991955416253,62.97918278671612,23,57.51594881537982,177,26.0,28.0,27.0,25
130,71.59145546480849,8,2.2225141250973324,11,5.384972725957615,19,7.607486851054947,0,0.0,108,62.46082701346963,volatility_quality_signals,coral_signals,waddah_attar_explosion_volume_signals,fantail_vma,chop,19,0.1062624974120617,28.401160168019455,70.06831386452457,19,62.46082701346963,108,20.0,36.0,28.0,26
233,129.45515258761918,17,28.315770963845804,9,15.000000000000048,25,40.315770963845786,0,0.0,198,74.50934218326393,dspo_signals,dpo_signals,variance_volume_signals,rma_baseline,chop,12,0.3114265454714817,25.563371592502424,114.82511314710972,12,74.50934218326393,198,5.0,52.0,28.5,27
102,58.77724612582533,9,14.099999999999962,3,1.2046920483612835,11,12.454692048361288,0,0.0,84,41.77255407746405,ichimoku_signals,fisher_transform_signals,chaikin_volatility_volume_signals,wma_baseline,chop,33,0.2118964883400515,40.71074167741873,55.22724612582536,33,41.77255407746405,84,53.0,6.0,29.5,28
398,163.84875092381426,42,64.05934420499607,10,77.74974108393442,46,70.62369057793747,0,0.0,342,89.17457565322154,kuskus_starlight_signals,center_of_gravity_signals,chaikin_volatility_volume_signals,ema_baseline,trend,29,0.4310297770336729,23.959376269882256,89.80213230325404,29,89.17457565322154,342,2.0,58.0,30.0,29
116,49.60513429093177,11,7.600000000000018,13,18.00000000000003,21,22.40000000000004,0,0.0,90,29.10513429093176,glitch_index_signals,linreg_slope_signals,variance_volume_signals,fantail_vma,chop,48,0.451566159837913,75.88471358018299,51.50513429093179,48,29.10513429093176,90,60.0,1.0,30.5,30
120,55.19286751533842,12,2.3125051323630976,3,-0.3333333333333568,14,0.3125051323630829,0,0.0,103,55.213695716308656,ichimoku_signals,rex_oscillator_signals,volatility_ratio_volume_signals,rma_baseline,chop,56,0.0056620564654705,29.264917630075445,55.52620084867176,56,55.213695716308656,103,29.0,33.0,31.0,31
140,73.36310350743835,19,13.283068636343224,13,-3.6896767121830463,30,11.005070682892608,0,0.0,103,57.80803282454571,bears_bulls_impulse_signals,ichimoku_signals,variance_volume_signals,t3_baseline,chop,24,0.1500082487892131,28.21731122172616,68.81310350743833,24,57.80803282454571,103,25.0,37.0,31.0,32
177,82.71571889716468,19,4.270154530354333,5,1.0000000000000164,24,5.270154530354348,0,0.0,146,72.44556436681033,center_of_gravity_signals,qqe_mod_signals,variance_volume_signals,sma_baseline,chop,30,0.0637140630658896,24.80465285882668,78.02090116021003,30,72.44556436681033,146,7.0,56.0,31.5,33
