book,slice,budget,median_year_pct,worst_year_pct,dip95_pct,profit_factor,build_median_year_pct,retention,retention_flag,p_random_entry,p_regime_shuffle
always-on (no routing),ALL (book),team1,-0.4959848781878461,-2.7705848381531397,7.9736439410715025,0.9637279955771536,3.3676325465251145,-0.1472799871528819,FIT,0.96,n/a (no state read)
always-on (no routing),ALL (book),team2,-0.7439773172817695,-4.15587725722971,11.960465911607251,0.9637279955771534,5.051448819787671,-0.147279987152882,FIT,0.96,n/a (no state read)
routed: chop RANGING + trend TRENDING,ALL (book),team1,-0.532834542381696,-2.269864863365854,10.7594731571823,0.9958895468023315,10.534306424198665,-0.0505808850554893,FIT,0.04,0.16
routed: chop RANGING + trend TRENDING,ALL (book),team2,-0.799251813572544,-3.4047972950487817,16.139209735773452,0.995889546802332,15.801459636297997,-0.0505808850554893,FIT,0.04,0.16
chop RANGING + trend UNGATED,ALL (book),team1,-0.5393902536409235,-2.920321867416136,7.754044456213875,0.9736906037547162,3.0720525004534034,-0.1755797642004214,FIT,0.64,0.88
chop RANGING + trend UNGATED,ALL (book),team2,-0.8090853804613851,-4.380482801124204,11.63106668432081,0.9736906037547162,4.608078750680104,-0.1755797642004214,FIT,0.64,0.88
chop RANGING + trend NOT-RANGING,ALL (book),team1,-1.3156296499095896,-2.2887385277337895,10.722314128451464,0.9427093323020996,4.769517577424315,-0.2758412414993278,FIT,0.04,0.76
chop RANGING + trend NOT-RANGING,ALL (book),team2,-1.9734444748643836,-3.433107791600684,16.083471192677187,0.9427093323020996,7.154276366136472,-0.2758412414993277,FIT,0.04,0.76
