# FIELD CONTAMINATED -- gate 2 selected the 3,485 with sight of 2016-2020; structure comparisons valid, levels not.
# l2tune.crosses_label() applies its bars to the STITCHED W2+W3 blind book and requires n_w3 >= MIN_TRADES_BLIND, so membership of this field depends on
# performance in the very years this walk-forward trades. Every structure and every null draw is drawn from the same field, so relative
# statements hold; no absolute level here is an out-of-sample number. See FIXES.md, fourth contamination.
budget,control,structure,real_median_year,n,null_mean,null_median,null_p95,p_value,p_resolution
team1,identity_null,ALLPASS,2.274351497608397,25,8.54583567682389,8.504950339791645,9.516253639156579,1.0,0.04
team1,identity_null,PER_SLICE_CUT,3.8981327056946915,25,10.18441887501311,9.92962712681091,11.392268444438997,1.0,0.04
team1,identity_null,SLICE_BALANCED,-0.22124286220229422,25,-0.06753199213469646,-0.11384970638857139,0.2143312532518348,0.76,0.04
team1,random_entry_null,ALLPASS,2.274351497608397,25,-0.23614400560959148,-0.20733969856014128,0.4271848561736867,0.0,0.04
team1,random_entry_null,NO_CUT,9.068669904419709,25,-0.0013846273411017918,0.0,0.0,0.0,0.04
team1,random_entry_null,NO_CUT_SLICE_BALANCED,-0.37350064143636946,25,-1.1966222895555727,-1.1897618822331208,-0.7291980684472205,0.0,0.04
team1,random_entry_null,PER_SLICE_CUT,3.8981327056946915,25,-0.00571941964042784,0.0,0.0,0.0,0.04
team1,random_entry_null,SLICE_BALANCED,-0.22124286220229422,25,-2.329783461571055,-2.248936502343522,-1.2952468326483435,0.0,0.04
team1,random_team,PER_SLICE_CUT,3.8981327056946915,25,1.3949932319543528,1.4943737683060057,2.3991548844547563,0.0,0.04
team2,identity_null,ALLPASS,3.4115272464125947,25,12.818753515235835,12.757425509687467,14.27438045873487,1.0,0.04
team2,identity_null,PER_SLICE_CUT,5.847199058542037,25,15.276628312519668,14.894440690216365,17.088402666658496,1.0,0.04
team2,identity_null,SLICE_BALANCED,-0.33186429330344175,25,-0.1012979882020447,-0.17077455958285734,0.3214968798777525,0.76,0.04
team2,random_entry_null,ALLPASS,3.4115272464125947,25,-0.49945580861462524,-0.3597259028206135,0.17184439119092118,0.0,0.04
team2,random_entry_null,NO_CUT,13.603004856629564,25,-0.0007042010519974474,0.0,0.0,0.0,0.04
team2,random_entry_null,NO_CUT_SLICE_BALANCED,-0.5602509621545542,25,-1.9007003758756358,-1.7846428233496812,-0.7285735560999118,0.04,0.04
team2,random_entry_null,PER_SLICE_CUT,5.847199058542037,25,0.0007478324461151982,0.0,0.018498389262104696,0.0,0.04
team2,random_entry_null,SLICE_BALANCED,-0.33186429330344175,25,-3.3273409148759754,-3.15699503666799,-1.8880236425734838,0.0,0.04
team2,random_team,PER_SLICE_CUT,5.847199058542037,25,2.0924898479315295,2.241560652459009,3.598732326682135,0.0,0.04
