,crisis_excluded,all_in
total_R,77.35,93.3
years,10.15,10.15
avg_annual_R,7.62,9.19
max_dd_R,1.79,1.26
sortino,6.91,8.07
sharpe,3.04,2.28
calmar,43.16,73.78
worst_month_R,-1.25,-1.07
worst_month,2014-11-30,2014-11-30
best_month_R,5.18,13.78
n_trades,3965,4193
days_with_any_position,3645,3705
days_2plus,3610,3692
pct_days_2plus,99.0,99.6
max_simultaneous,18,18
mean_simultaneous_when_live,7.15,7.5
mean_pairwise_corr,0.0525,0.0462
max_pairwise_corr,0.6334,0.963
