cell,eff,turn,eff_lift,turn_lift,agree_eff,agree_turn,data_pct,n_pairs
BASELINE,0.21778090717788387,0.5080011913787502,0.0,0.0,,,1.0,28
low|down,0.23119290069542642,0.49830155408962185,0.013411993517542548,-0.009699637289128371,0.7692307692307693,0.6538461538461539,0.10130780894617135,26
med|down,0.21797552429177267,0.5045163267831172,0.00019461711388879532,-0.0034848645956330193,0.5357142857142857,0.5714285714285714,0.10512563630455973,28
high|down,0.19930888143310888,0.5193886558353641,-0.018472025744774995,0.011387464456613872,0.8461538461538461,0.6538461538461539,0.11170529622008014,26
low|flat,0.23231333558414735,0.5057379237469998,0.014532428406263481,-0.002263267631750443,0.7857142857142857,0.4642857142857143,0.11659265677461281,28
med|flat,0.22301195068384375,0.5038425028886945,0.005231043505959876,-0.00415868849005574,0.5,0.6428571428571429,0.12673291454565147,28
high|flat,0.2123949558821844,0.5195649986091609,-0.005385951295699465,0.011563807230410728,0.6538461538461539,0.7307692307692307,0.09319831040831798,26
low|up,0.2328494337581081,0.4994877366402013,0.015068526580224229,-0.00851345473854892,0.6666666666666666,0.6666666666666666,0.11667388714394021,27
med|up,0.21380931343474363,0.5098626502389066,-0.003971593743140239,0.0018614588601564286,0.6071428571428571,0.6071428571428571,0.12799198527022637,28
high|up,0.19823668110067436,0.5169753995492513,-0.019544226077209514,0.008974208170501097,0.75,0.7083333333333334,0.08198851944113505,24
