pair,group,table_raw_pips,table_marked_up_pips,oanda_17_pips,oanda_19_pips,oanda_best_pips,oanda_best_hour
AUDCAD,cross,2.8,4.2,6.800000000000139,2.9000000000001247,2.2999999999995246,23
AUDCHF,cross,2.8,4.2,7.599999999999829,3.2999999999994145,2.7999999999994696,23
AUDJPY,cross,1.2,1.8,6.100000000000705,1.999999999999602,1.7000000000010118,23
AUDNZD,cross,2.8,4.2,10.000000000001119,3.60000000000138,3.1000000000003247,23
AUDUSD,major,1.1,1.65,3.8000000000004697,1.60000000000049,1.40000000000029,21
CADCHF,cross,2.8,4.2,5.800000000000249,3.00000000000078,2.4999999999997247,23
CADJPY,cross,2.8,4.2,5.19999999999925,2.400000000000091,1.999999999999602,21
CHFJPY,cross,2.8,4.2,8.70000000000033,3.6000000000001364,2.600000000001046,23
EURAUD,cross,2.8,4.2,8.999999999999009,3.2999999999994145,2.6999999999999247,21
EURCAD,cross,2.8,4.2,8.399999999999519,3.2999999999994145,2.5999999999992696,23
EURCHF,cross,2.8,4.2,6.00000000000156,2.80000000000058,2.20000000000109,21
EURGBP,cross,1.1,1.65,6.500000000000394,2.1999999999999797,1.7999999999995797,23
EURJPY,cross,1.2,1.8,7.000000000000739,2.1000000000015007,1.8000000000000682,21
EURNZD,cross,2.8,4.2,19.999999999997797,5.1000000000001044,4.3999999999999595,22
EURUSD,major,1.1,1.65,3.5999999999991594,1.5999999999993797,1.40000000000029,20
GBPAUD,cross,2.8,4.2,17.300000000000093,5.450000000000177,4.199999999998649,23
GBPCAD,cross,2.8,4.2,13.499999999999623,5.300000000001415,4.199999999998649,23
GBPCHF,cross,2.8,4.2,11.599999999998278,4.500000000000615,3.4000000000000696,22
GBPJPY,cross,2.8,4.2,11.899999999999977,3.499999999999659,2.899999999999636,22
GBPNZD,cross,2.8,4.2,20.000000000000018,7.800000000000029,5.799999999998029,23
GBPUSD,major,1.3,1.95,6.00000000000156,2.500000000000835,2.0999999999982144,22
NZDCAD,cross,2.8,4.2,8.899999999999464,3.5000000000007248,2.9000000000001247,22
NZDCHF,cross,2.8,4.2,9.500000000000064,3.5999999999991594,2.9999999999996696,23
NZDJPY,cross,2.8,4.2,8.599999999999852,2.599999999999625,2.1000000000000796,23
NZDUSD,major,1.4,2.1,5.899999999999794,1.9999999999997797,1.7000000000000348,23
USDCAD,major,1.2,1.8,4.500000000000615,2.1999999999999797,1.80000000000069,23
USDCHF,major,1.4,2.1,4.299999999999304,2.200000000000535,1.80000000000069,23
USDJPY,major,1.4,2.1,4.399999999999693,1.6000000000005343,1.3999999999995794,21
