slice,slot,option,survivors,combos_with_option,survival_rate_pct,base_rate_pct,enrichment
chop,base,fantail_vma,32382,711828,4.5491326556415315,1.5810841944964233,2.87722353526558
chop,base,rma_baseline,26845,711828,3.7712762071736434,1.5810841944964233,2.385246921258863
chop,base,mcginley_dynamic_index,19447,711828,2.7319801974634323,1.5810841944964233,1.7279156966929077
chop,base,ema_baseline,17046,711828,2.3946796136145245,1.5810841944964233,1.5145807047784903
chop,base,sma_baseline,10697,711828,1.5027506644863646,1.5810841944964233,0.9504558136228741
chop,base,wma_baseline,9771,711828,1.3726630590535915,1.5810841944964233,0.8681783448545483
chop,base,frama_baseline,8848,711828,1.2429969037464108,1.5810841944964233,0.786167433760418
chop,base,vidya,8133,711828,1.1425512904802846,1.5810841944964233,0.722637854743838
chop,base,kama_baseline,7971,711828,1.1197929836983092,1.5810841944964233,0.7082437403372842
chop,base,t3_baseline,7151,711828,1.0045966160364583,1.5810841944964233,0.635384642723864
chop,base,tma_baseline,6566,711828,0.9224138415459915,1.5810841944964233,0.5834058962557531
chop,base,super_smoother_2pole_baseline,5883,711828,0.8264636962861815,1.5810841944964233,0.522719599097258
chop,base,lsma_baseline,4311,711828,0.6056238304759015,1.5810841944964233,0.3830433778188474
chop,base,hma_baseline,2326,711828,0.3267643307091039,1.5810841944964233,0.2066710500595312
chop,base,alma_baseline,1442,711828,0.20257702703462074,1.5810841944964233,0.12812538872994153
chop,c1,polychromatic_momentum_signals,18297,273780,6.6831032215647594,1.5810841944964233,4.226911662786771
chop,c1,center_of_gravity_signals,15765,273780,5.758273065965374,1.5810841944964233,3.641977502532298
chop,c1,dspo_signals,11980,273780,4.375776170647965,1.5810841944964233,2.7675794786131886
chop,c1,aroon_signals,9447,273780,3.450580758273066,1.5810841944964233,2.182414301707746
chop,c1,bears_bulls_impulse_signals,8543,273780,3.1203886332091457,1.5810841944964233,1.9735752492314251
chop,c1,supertrend_signals,6198,273780,2.263861494630725,1.5810841944964233,1.4318412027082257
chop,c1,fisher_transform_signals,6080,273780,2.22076119512017,1.5810841944964233,1.404581237893839
chop,c1,kuskus_starlight_signals,5720,273780,2.089268755935423,1.5810841944964233,1.3214152435448616
chop,c1,laguerre_filter_signals,5431,273780,1.9837095478121118,1.5810841944964233,1.2546514314147101
chop,c1,lemantrend_signals,5287,273780,1.9311125721382134,1.5810841944964233,1.2213850336751195
chop,c1,mama_fama_signals,5109,273780,1.8660968660968662,1.5810841944964233,1.1802640698025695
chop,c1,waddah_attar_explosion_signals,4397,273780,1.6060340419314776,1.5810841944964233,1.0157802143123698
chop,c1,ichimoku_signals,4274,273780,1.561107458543356,1.5810841944964233,0.9873651662431361
chop,c1,schaff_trend_cycle_signals,4247,273780,1.5512455256045,1.5810841944964233,0.9811277166669627
chop,c1,halftrend_signals,4143,273780,1.5132588209511286,1.5810841944964233,0.9571019849661471
chop,c1,donchian_breakout_signals,4091,273780,1.494265468624443,1.5810841944964233,0.9450891191157392
chop,c1,chandelier_exit_signals,3805,273780,1.389802030827672,1.5810841944964233,0.8790183569384962
chop,c1,ehlers_reverse_ema_signals,3746,273780,1.3682518810723938,1.5810841944964233,0.8653883745313027
chop,c1,trend_direction_force_index_signals,3506,273780,1.2805902549492294,1.5810841944964233,0.8099443782986512
chop,c1,linreg_slope_signals,3503,273780,1.2794944846226897,1.5810841944964233,0.809251328345743
chop,c1,dpo_signals,2872,273780,1.0490174592738695,1.5810841944964233,0.6634798215840633
chop,c1,qqe_mod_signals,2738,273780,1.0000730513551026,1.5810841944964233,0.6325235903541662
chop,c1,coral_signals,2704,273780,0.9876543209876543,1.5810841944964233,0.6246690242212073
chop,c1,volatility_quality_signals,2660,273780,0.971583022865074,1.5810841944964233,0.6145042915785545
chop,c1,hieken_ashi_smoothed_signals,2632,273780,0.9613558331507048,1.5810841944964233,0.6080358253514118
chop,c1,parabolic_sar_signals,2615,273780,0.9551464679669808,1.5810841944964233,0.6041085422849323
chop,c1,kase_peak_oscillator_signals,2459,273780,0.8981664109869237,1.5810841944964233,0.5680699447337088
chop,c1,fx_sniper_ergodic_cci_signals,2281,273780,0.8331507049455767,1.5810841944964233,0.5269489808611589
chop,c1,ssl_channel_signals,2259,273780,0.8251150558842867,1.5810841944964233,0.5218666145398325
chop,c1,price_momentum_oscillator_signals,1735,273780,0.6337205055153773,1.5810841944964233,0.40081388943187674
chop,c1,rex_oscillator_signals,1441,273780,0.5263350135145007,1.5810841944964233,0.3328949940468786
chop,c1,didi_index_signals,1412,273780,0.5157425670246183,1.5810841944964233,0.32619551116876655
chop,c1,coppock_curve_signals,1405,273780,0.513185769596026,1.5810841944964233,0.32457839461198085
chop,c1,relative_vigor_index_signals,1253,273780,0.4576667397180218,1.5810841944964233,0.2894638636646349
chop,c1,j_tpo_signals,1243,273780,0.4540141719628899,1.5810841944964233,0.28715369715494105
chop,c1,glitch_index_signals,1135,273780,0.41456644020746586,1.5810841944964233,0.26220389885024786
chop,c1,vortex_signals,1122,273780,0.40981810212579445,1.5810841944964233,0.25920068238764593
chop,c1,kalman_filter_signals,918,273780,0.33530571992110453,1.5810841944964233,0.2120732855898921
chop,c1,adx_dmi_signals,366,273780,0.13368397983782598,1.5810841944964233,0.08455209425479358
chop,c2,bears_bulls_impulse_signals,11300,273780,4.127401563298999,1.5810841944964233,2.6104881559540094
chop,c2,fx_sniper_ergodic_cci_signals,11151,273780,4.072978303747535,1.5810841944964233,2.576066674959572
chop,c2,dpo_signals,10372,273780,3.7884432756227624,1.5810841944964233,2.3961047038544234
chop,c2,hieken_ashi_smoothed_signals,8530,273780,3.1156402951274744,1.5810841944964233,1.9705720327688232
chop,c2,parabolic_sar_signals,8278,273780,3.0235955876981517,1.5810841944964233,1.912355836724539
chop,c2,waddah_attar_explosion_signals,7113,273780,2.5980714442252903,1.5810841944964233,1.6432214383452097
chop,c2,lemantrend_signals,7022,273780,2.5648330776535904,1.5810841944964233,1.6221989231069962
chop,c2,center_of_gravity_signals,6236,273780,2.2777412521002267,1.5810841944964233,1.4406198354450623
chop,c2,fisher_transform_signals,5891,273780,2.1517276645481775,1.5810841944964233,1.3609190908606257
chop,c2,kase_peak_oscillator_signals,5680,273780,2.0746584849148952,1.5810841944964233,1.3121745775060862
chop,c2,ssl_channel_signals,5011,273780,1.8303017020965737,1.5810841944964233,1.15762443800757
chop,c2,volatility_quality_signals,4962,273780,1.8124041200964276,1.5810841944964233,1.1463046221100703
chop,c2,ichimoku_signals,4595,273780,1.6783548834830888,1.5810841944964233,1.0615215112043075
chop,c2,linreg_slope_signals,4569,273780,1.668858207319746,1.5810841944964233,1.0555150782791036
chop,c2,supertrend_signals,4429,273780,1.6177222587478997,1.5810841944964233,1.0231727471433902
chop,c2,schaff_trend_cycle_signals,4037,273780,1.4745416027467309,1.5810841944964233,0.9326142199633926
chop,c2,qqe_mod_signals,4015,273780,1.466505953685441,1.5810841944964233,0.9275318536420664
chop,c2,price_momentum_oscillator_signals,3941,273780,1.439476952297465,1.5810841944964233,0.9104366214703321
chop,c2,kuskus_starlight_signals,3917,273780,1.4307107896851488,1.5810841944964233,0.9048922218470669
chop,c2,relative_vigor_index_signals,3779,273780,1.3803053546643291,1.5810841944964233,0.8730119240132923
chop,c2,donchian_breakout_signals,3718,273780,1.3580246913580247,1.5810841944964233,0.85891990830416
chop,c2,aroon_signals,3689,273780,1.3474322448681422,1.5810841944964233,0.8522204254260479
chop,c2,polychromatic_momentum_signals,3362,273780,1.2279932792753305,1.5810841944964233,0.7766779805590602
chop,c2,halftrend_signals,3327,273780,1.2152092921323692,1.5810841944964233,0.7685923977751319
chop,c2,coral_signals,3196,273780,1.1673606545401418,1.5810841944964233,0.738329216498143
chop,c2,dspo_signals,3116,273780,1.1381401124990869,1.5810841944964233,0.7198478844205924
chop,c2,mama_fama_signals,2987,273780,1.0910219884578858,1.5810841944964233,0.6900467364455422
chop,c2,rex_oscillator_signals,2975,273780,1.0866389071517277,1.5810841944964233,0.6872745366339097
chop,c2,coppock_curve_signals,2900,273780,1.0592446489882386,1.5810841944964233,0.669948287811206
chop,c2,vortex_signals,2711,273780,0.9902111184162466,1.5810841944964233,0.6262861407779929
chop,c2,didi_index_signals,2165,273780,0.7907809189860471,1.5810841944964233,0.5001510493487107
chop,c2,ehlers_reverse_ema_signals,2163,273780,0.7900504054350208,1.5810841944964233,0.4996890160467719
chop,c2,kalman_filter_signals,2017,273780,0.7367229162100957,1.5810841944964233,0.4659605850052423
chop,c2,laguerre_filter_signals,1610,273780,0.5880634085762291,1.5810841944964233,0.371936808060704
chop,c2,chandelier_exit_signals,1609,273780,0.5876981518007158,1.5810841944964233,0.37170579140973464
chop,c2,trend_direction_force_index_signals,943,273780,0.34443713930893416,1.5810841944964233,0.21784870186412664
chop,c2,j_tpo_signals,753,273780,0.2750383519614289,1.5810841944964233,0.1739555381799442
chop,c2,adx_dmi_signals,560,273780,0.20454379428738403,1.5810841944964233,0.12936932454285358
chop,c2,glitch_index_signals,190,273780,0.0693987873475053,1.5810841944964233,0.04389316368418247
chop,exit_ind,rex_oscillator_exit,5065,273780,1.8500255679742859,1.5810841944964233,1.1700993371599167
chop,exit_ind,ichimoku_exit,5006,273780,1.828475418219008,1.5810841944964233,1.1564693547527232
chop,exit_ind,volatility_quality_exit,4985,273780,1.820805025933231,1.5810841944964233,1.1516180050823661
chop,exit_ind,aroon_exit,4963,273780,1.812769376871941,1.5810841944964233,1.14653563876104
chop,exit_ind,dpo_exit,4961,273780,1.8120388633209146,1.5810841944964233,1.146073605459101
chop,exit_ind,polychromatic_momentum_exit,4957,273780,1.8105778362188618,1.5810841944964233,1.1451495388552235
chop,exit_ind,donchian_breakout_exit,4888,273780,1.785375118708452,1.5810841944964233,1.1292093899383362
chop,exit_ind,adx_dmi_exit,4871,273780,1.7791657535247278,1.5810841944964233,1.1252821068718568
chop,exit_ind,ehlers_reverse_ema_exit,4734,273780,1.7291255752794215,1.5810841944964233,1.0936328256890515
chop,exit_ind,didi_index_exit,4712,273780,1.7210899262181314,1.5810841944964233,1.088550459367725
chop,exit_ind,coppock_curve_exit,4696,273780,1.7152458178099204,1.5810841944964233,1.084854192952215
chop,exit_ind,dspo_exit,4687,273780,1.7119585068303016,1.5810841944964233,1.0827750430934904
chop,exit_ind,supertrend_exit,4678,273780,1.708671195850683,1.5810841944964233,1.0806958932347661
chop,exit_ind,bears_bulls_impulse_exit,4665,273780,1.7039228577690115,1.5810841944964233,1.077692676772164
chop,exit_ind,chandelier_exit_exit,4641,273780,1.6951566951566952,1.5810841944964233,1.072148277148899
chop,exit_ind,halftrend_exit,4638,273780,1.6940609248301555,1.5810841944964233,1.0714552271959907
chop,exit_ind,price_momentum_oscillator_exit,4637,273780,1.6936956680546424,1.5810841944964233,1.0712242105450216
chop,exit_ind,kase_peak_oscillator_exit,4611,273780,1.6841989918912996,1.5810841944964233,1.0652177776198175
chop,exit_ind,mama_fama_exit,4585,273780,1.6747023157279568,1.5810841944964233,1.0592113446946136
chop,exit_ind,ssl_channel_exit,4575,273780,1.6710497479728248,1.5810841944964233,1.0569011781849198
chop,exit_ind,glitch_index_exit,4549,273780,1.661553071809482,1.5810841944964233,1.050894745259716
chop,exit_ind,schaff_trend_cycle_exit,4540,273780,1.6582657608298634,1.5810841944964233,1.0488155954009915
chop,exit_ind,parabolic_sar_exit,4499,273780,1.6432902330338228,1.5810841944964233,1.039343912711247
chop,exit_ind,kuskus_starlight_exit,4458,273780,1.6283147052377822,1.5810841944964233,1.0298722300215022
chop,exit_ind,kalman_filter_exit,4453,273780,1.6264884213602164,1.5810841944964233,1.0287171467666554
chop,exit_ind,hieken_ashi_smoothed_exit,4405,273780,1.6089560961355835,1.5810841944964233,1.017628347520125
chop,exit_ind,linreg_slope_exit,4351,273780,1.5892322302578712,1.5810841944964233,1.0051534483677784
chop,exit_ind,j_tpo_exit,4297,273780,1.5695083643801593,1.5810841944964233,0.9926785492154319
chop,exit_ind,vortex_exit,4252,273780,1.553071809482066,1.5810841944964233,0.9822827999218097
chop,exit_ind,laguerre_filter_exit,4231,273780,1.545401417196289,1.5810841944964233,0.9774314502514527
chop,exit_ind,qqe_mod_exit,3859,273780,1.4095258967053839,1.5810841944964233,0.8914932560908428
chop,exit_ind,relative_vigor_index_exit,3606,273780,1.317115932500548,1.5810841944964233,0.8330460433955893
chop,exit_ind,coral_exit,3562,273780,1.3010446343779676,1.5810841944964233,0.8228813107529365
chop,exit_ind,fx_sniper_ergodic_cci_exit,3434,273780,1.25429176711228,1.5810841944964233,0.7933111794288557
chop,exit_ind,trend_direction_force_index_exit,3297,273780,1.2042515888669736,1.5810841944964233,0.7616618982460505
chop,exit_ind,center_of_gravity_exit,2994,273780,1.0935787858864783,1.5810841944964233,0.6916638530023279
chop,exit_ind,waddah_attar_explosion_exit,2913,273780,1.06399298706991,1.5810841944964233,0.6729515042738079
chop,exit_ind,lemantrend_exit,2834,273780,1.0351377018043684,1.5810841944964233,0.6547011888472268
chop,exit_ind,fisher_transform_exit,2730,273780,0.9971509971509971,1.5810841944964233,0.6306754571464112
chop,vol,variance_volume_signals,49024,889785,5.509645588541052,1.5810841944964233,3.4847262452686008
chop,vol,waddah_attar_explosion_volume_signals,26805,889785,3.0125254977325984,1.5810841944964233,1.9053542551490057
chop,vol,efficiency_ratio_volume_signals,22690,889785,2.5500542265828265,1.5810841944964233,1.6128516339985428
chop,vol,volatility_ratio_volume_signals,21872,889785,2.4581219058536616,1.5810841944964233,1.5547065200007109
chop,vol,chaikin_volatility_volume_signals,16272,889785,1.8287563849694026,1.5810841944964233,1.1566470598688534
chop,vol,choppiness_index_volume_signals,11176,889785,1.2560337609647274,1.5810841944964233,0.7944129511488636
chop,vol,damiani_volatmeter_volume_signals,10474,889785,1.1771382974538793,1.5810841944964233,0.7445133545394772
chop,vol,ttm_squeeze_volume_signals,6099,889785,0.6854464842630523,1.5810841944964233,0.4335294013114637
chop,vol,fractal_dimension_volume_signals,1963,889785,0.2206150924099642,1.5810841944964233,0.13953405718550635
chop,vol,vertical_horizontal_filter_volume_signals,1884,889785,0.21173654309748985,1.5810841944964233,0.1339185755157891
chop,vol,williams_vix_fix_volume_signals,560,889785,0.06293655208842586,1.5810841944964233,0.03980594601318572
chop,vol,mass_index_volume_signals,0,889785,0.0,1.5810841944964233,0.0
trend,base,sma_baseline,82297,711828,11.561360328618711,5.841570341899073,1.979152805144542
trend,base,tma_baseline,72327,711828,10.160741077900841,5.841570341899073,1.739385213770724
trend,base,ema_baseline,71357,711828,10.024472203959384,5.841570341899073,1.7160577750914259
trend,base,mcginley_dynamic_index,69483,711828,9.761206358839495,5.841570341899073,1.6709901255192559
trend,base,wma_baseline,69224,711828,9.724821164663373,5.841570341899073,1.6647614589028248
trend,base,t3_baseline,58802,711828,8.260703428356289,5.841570341899073,1.414123762082571
trend,base,rma_baseline,56010,711828,7.868473844805206,5.841570341899073,1.34697921693556
trend,base,kama_baseline,49537,711828,6.959124957152571,5.841570341899073,1.1913106493364907
trend,base,frama_baseline,28934,711828,4.064745977960968,5.841570341899073,0.6958310420070255
trend,base,fantail_vma,21431,711828,3.010699213855032,5.841570341899073,0.515392101377361
trend,base,vidya,12347,711828,1.7345482335620401,5.841570341899073,0.2969318405910259
trend,base,super_smoother_2pole_baseline,11373,711828,1.5977174261197928,5.841570341899073,0.27350820628830785
trend,base,lsma_baseline,11192,711828,1.5722899352090676,5.841570341899073,0.2691553543285626
trend,base,alma_baseline,4929,711828,0.6924425563478818,5.841570341899073,0.11853705695903188
trend,base,hma_baseline,4486,711828,0.6302084211354428,5.841570341899073,0.10788339166529053
trend,c1,center_of_gravity_signals,35609,273780,13.006428519249033,5.841570341899073,2.226529470330865
trend,c1,ehlers_reverse_ema_signals,28601,273780,10.446709036452626,5.841570341899073,1.7883391665290536
trend,c1,polychromatic_momentum_signals,26507,273780,9.681861348528015,5.841570341899073,1.657407303492382
trend,c1,schaff_trend_cycle_signals,25415,273780,9.283000949667617,5.841570341899073,1.5891276499890177
trend,c1,bears_bulls_impulse_signals,23754,273780,8.676309445540214,5.841570341899073,1.4852700451638452
trend,c1,qqe_mod_signals,22205,273780,8.11052670027029,5.841570341899073,1.3884154817236332
trend,c1,relative_vigor_index_signals,21399,273780,7.816129739206662,5.841570341899073,1.338018594614007
trend,c1,j_tpo_signals,20521,273780,7.495434290306085,5.841570341899073,1.2831197523283349
trend,c1,fisher_transform_signals,19847,273780,7.249251223610198,5.841570341899073,1.2409764497081264
trend,c1,volatility_quality_signals,19614,273780,7.164146394915625,5.841570341899073,1.2264076225411997
