slice,n,mean,p50,p95,p99,max
trend,4097,-0.0035707509048572062,-0.010391927870264361,0.07897460528527313,0.17821839853507612,0.5115360038503504
chop,3311,0.021651776543296787,0.022160316420666487,0.09489213076588185,0.13022827319117838,0.2142562200568578
