n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share
112,75.33889552443165,12,16.430653740753716,4,19.561180268667314,14,20.241185196000963,2,15.750648813420067,90,52.03664758626118,vortex_signals,relative_vigor_index_signals,variance_volume_signals,tma_baseline,trend,28,0.26866846208857614
398,163.84875092381426,42,64.05934420499607,10,77.74974108393442,46,70.62369057793747,0,0.0,342,89.17457565322154,kuskus_starlight_signals,center_of_gravity_signals,chaikin_volatility_volume_signals,ema_baseline,trend,29,0.4310297770336729
177,82.71571889716468,19,4.270154530354333,5,1.0000000000000164,24,5.270154530354348,0,0.0,146,72.44556436681033,center_of_gravity_signals,qqe_mod_signals,variance_volume_signals,sma_baseline,chop,30,0.06371406306588961
143,87.70974803401049,13,11.026925543396949,8,14.26175440088417,20,25.527380732018027,0,0.0,116,45.712012435936956,polychromatic_momentum_signals,bears_bulls_impulse_signals,ttm_squeeze_volume_signals,kama_baseline,chop,31,0.2910438269885291
125,56.11614268022798,16,13.24545449850004,8,1.2999999999999914,24,14.545454498500034,0,0.0,97,41.80590104084844,dspo_signals,volatility_quality_signals,waddah_attar_explosion_volume_signals,tma_baseline,chop,32,0.2592026786549781
102,58.77724612582533,9,14.099999999999962,3,1.2046920483612835,11,12.454692048361288,0,0.0,84,41.77255407746405,ichimoku_signals,fisher_transform_signals,chaikin_volatility_volume_signals,wma_baseline,chop,33,0.21189648834005156
124,67.50564808677066,13,11.93018114559735,10,3.952868750337064,22,16.56482699423098,0,0.0,100,48.94082109253969,volatility_quality_signals,relative_vigor_index_signals,waddah_attar_explosion_volume_signals,fantail_vma,chop,34,0.24538431173846106
102,66.46310511047076,13,11.960180287081897,4,6.5714285714285605,16,16.00779933470093,0,0.0,81,41.360067680531735,center_of_gravity_signals,price_momentum_oscillator_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,chop,35,0.24085241440486085
104,60.934850016121665,11,9.659154412334663,4,8.098611972423711,15,17.757766384758373,0,0.0,87,37.17708363136328,ichimoku_signals,dspo_signals,ttm_squeeze_volume_signals,rma_baseline,chop,36,0.29142217269854875
171,65.43895604286764,20,12.064991863493267,7,5.662331538306798,26,16.27732340180006,0,0.0,142,51.433789368171894,price_momentum_oscillator_signals,fisher_transform_signals,efficiency_ratio_volume_signals,fantail_vma,chop,37,0.24874057268176983
