st,sample,config,bar_share,n,mfe,mae,bars,final,ratio,retrace
trending,holdout 2016-2026,N=3 B=3 D=1.00 R=0.62,0.06711799362196638,892.0,0.013298968850143662,-0.01655919752253241,9.846412556053812,-0.003378693410456293,0.8031167471761542,125.40567955702667
broken,holdout 2016-2026,N=3 B=3 D=1.00 R=0.62,0.4517728771417761,4871.0,0.014292488324813436,-0.015473495190470869,10.107780743173887,-0.0012291758194876434,0.9236754947011107,108.60015269247168
range,holdout 2016-2026,N=3 B=3 D=1.00 R=0.62,0.2782146910977785,3348.0,0.013686522688805065,-0.01505766830001085,9.992532855436082,-0.0012975492848688853,0.9089403761666873,109.48048905022618
drifting,holdout 2016-2026,N=3 B=3 D=1.00 R=0.62,0.202894438138479,2056.0,0.014641835438599213,-0.014680086444478994,10.109922178988327,-0.000151665877849284,0.9973943609920521,101.03583924628369
no swings,holdout 2016-2026,N=3 B=3 D=1.00 R=0.62,,,,,,,,
