signal,shift,si,so,to,ao,mo
eff_trail_5,1177,-0.0013073339933338257,-0.005475533043573205,-2.902555165061894,0.6785714285714286,-0.8229003989966523
eff_trail_10,1177,-0.002392988411963559,-0.003428910129610385,-1.8155234272841931,0.5714285714285714,-0.8032593135540198
eff_trail_15,1177,-0.0041421141569073505,-0.002129057413285257,-1.1277849497282797,0.5,-0.3616449169054318
eff_trail_20,1177,-0.00153099114476149,-0.001468283417660976,-0.7742616187598806,0.5357142857142857,0.0034340602691961095
persist_ratio,1177,6.4005624230700775e-06,0.0010695099775517303,0.562538083219395,0.6071428571428571,0.45790795027757253
persist_log,1177,-0.00013604214660561942,0.0011973037591611613,0.6300328455994972,0.6071428571428571,0.4691937571508911
persist_diff,1177,-0.0007007846609181079,0.003080269081323639,1.6377627607541605,0.6428571428571429,0.9380896654200512
ts_slope,1177,-0.0013003009759342266,0.0030630043992363742,1.6265002081757223,0.6785714285714286,0.8438708180982062
ts_curve,1177,0.002573134148608852,-0.00026489216035555097,-0.14106259397054635,0.5714285714285714,0.044752347188194
ts_disp,1177,0.0018857784639524922,0.0008240413386330359,0.43659703412439843,0.5357142857142857,-0.10431960182883329
xh_agree,1177,-0.0022182018052671498,-0.0014159135815489407,-0.6101286317279092,0.5,
xh_ends,1177,0.0030142140005690013,-0.0004632893465044171,-0.3337405089832228,0.5357142857142857,
mtf_agree,1177,0.0010821031355757727,-0.003291652946489729,-1.2551956624811604,0.5714285714285714,
conf_2of4,1177,-0.002010917921858652,-0.0011837777989356496,-0.5979306126924935,0.6071428571428571,
conf_3of4,1177,-0.001760650492862753,-0.002539578833202796,-1.0982586514540555,0.5714285714285714,
conf_4of4,1177,0.0005390167991918558,-0.0017449526700887494,-0.6393087076506514,0.5357142857142857,
conf_3of4_and_persist,1177,-0.003945037268314187,-0.0020495293502527756,-0.5281898486055098,0.5357142857142857,
conf_3of4_and_mtf,1177,-0.0017316564775782647,-0.0014288524196120467,-0.5033056321218293,0.5357142857142857,
conf_all_three,1177,-0.004362468712150726,-0.0003758075425893661,-0.08183452512982946,0.4642857142857143,
eff_trail_5,4421,0.0024401946124943674,-0.0004696108432534485,-0.2456694205721947,0.5714285714285714,-0.2948849839616251
eff_trail_10,4421,0.0012907173647860593,0.0022936836995520737,1.200081280160383,0.5357142857142857,0.9788407322161082
eff_trail_15,4421,-0.0009432541900006863,0.0034403519752246037,1.804631450317562,0.4642857142857143,0.6923665217007815
eff_trail_20,4421,-0.0037303471475500782,0.001789712589846476,0.9325263946605336,0.4642857142857143,0.9556908919879151
persist_ratio,4421,-0.002875018361185422,0.0013115235368256484,0.6892948922303467,0.5,0.555024140004422
persist_log,4421,-0.00287974442738001,0.001298520829691785,0.6830057899529911,0.5,0.5568260504286835
persist_diff,4421,-0.005252703442360757,0.001787749100687297,0.9410089805995621,0.5,0.5593725301778029
ts_slope,4421,-0.0038198196286287067,0.0010797693490945115,0.566917321576546,0.5714285714285714,0.6064966511360915
ts_curve,4421,0.0009314461844520949,0.0002689959126795094,0.14091021019730288,0.4642857142857143,-0.3338677057992581
ts_disp,4421,0.004610975418728708,-0.004786100707740465,-2.5028112002974545,0.5714285714285714,-0.9562475015574396
xh_agree,4421,0.006750860032067645,-0.007687860002323058,-2.6094665839192257,0.7142857142857143,
xh_ends,4421,-0.004266293385980277,0.004239591066351947,3.315216143741248,0.7857142857142857,
mtf_agree,4421,0.0036587284001571635,0.004806659676610759,1.618028155997437,0.6428571428571429,
conf_2of4,4421,0.003088150484196767,-0.001060499611064954,-0.531768072967508,0.6071428571428571,
conf_3of4,4421,0.0013731574516941372,0.0025594880733893596,1.396040758801496,0.6071428571428571,
conf_4of4,4421,-0.0012779437616559255,0.004225920490879476,1.9276253215043622,0.6785714285714286,
conf_3of4_and_persist,4421,0.0033857625788649317,0.0010844338272862145,0.39411170556804614,0.5357142857142857,
conf_3of4_and_mtf,4421,0.001696426868193612,0.0026394308058872856,0.8868668938358425,0.5,
