pair,start,end,bars,net_vol,eff,crossings,prev,nxt
NZDCHF,2019-02-05,2019-04-02,41,0.6412031223492997,0.12636651814054556,10,trending,ranging
EURJPY,2016-08-11,2016-10-06,41,0.31588126373609704,0.13476195259935417,4,neither,trending
CHFJPY,2025-08-28,2025-10-23,41,1.6902416483133516,0.387907273509083,4,trending,trending
GBPCAD,2025-05-23,2025-07-18,41,0.37076814591350926,0.08978365742387616,12,trending,ranging
NZDCHF,2021-01-06,2021-03-02,40,1.2474764843674426,0.19579413425612552,4,ranging,trending
EURNZD,2025-01-31,2025-03-27,40,1.05211290712193,0.18219963219632698,2,ranging,trending
GBPCHF,2017-11-02,2017-12-28,40,0.21332545147945373,0.04767507112729915,5,ranging,ranging
NZDJPY,2020-09-02,2020-10-27,40,0.8086823736197903,0.16244630220849637,10,ranging,ranging
GBPUSD,2021-05-21,2021-07-15,40,0.8620353282268637,0.18836533431700203,2,trending,trending
EURJPY,2016-05-16,2016-07-08,40,2.056096023507603,0.38194880162206596,6,trending,trending
NZDUSD,2023-02-16,2023-04-11,39,0.2316597881116444,0.05349399189855502,14,neither,ranging
GBPNZD,2019-05-07,2019-06-28,39,1.4915949967928352,0.40976309723533,6,neither,trending
EURJPY,2016-01-08,2016-03-02,39,1.1077669036994093,0.21027477559734492,6,ranging,trending
EURUSD,2022-04-08,2022-06-01,39,0.5920253213609548,0.1092436946933756,4,neither,trending
USDCHF,2022-06-15,2022-08-08,39,1.0333681307498703,0.2264108387875576,4,ranging,ranging
EURJPY,2024-05-10,2024-07-03,39,1.2979511002603157,0.3593564723469032,6,ranging,trending
EURCHF,2018-12-10,2019-02-01,38,0.8603744077431642,0.16827206735214467,12,trending,ranging
CADJPY,2023-10-10,2023-11-30,38,0.06058590060974843,0.012253394533718686,13,trending,neither
USDCAD,2018-06-08,2018-07-31,38,0.23138614585695755,0.04774117174863558,11,ranging,ranging
GBPUSD,2020-12-03,2021-01-27,38,0.5141209928017699,0.09605465560862243,8,trending,trending
EURNZD,2019-08-13,2019-10-03,38,0.22497947006182106,0.04744339904031217,8,ranging,trending
AUDCHF,2025-07-21,2025-09-10,38,0.5744389027673136,0.13510101677685582,10,trending,ranging
CHFJPY,2021-04-23,2021-06-15,38,1.733188241754563,0.430409646388076,6,ranging,trending
EURJPY,2019-07-08,2019-08-28,38,1.7845403383077127,0.33563729754320903,2,neither,trending
NZDUSD,2022-08-24,2022-10-14,38,2.1726961580785225,0.35394347971355156,2,trending,trending
CADCHF,2025-07-23,2025-09-11,37,0.5578774521817927,0.1237197714810735,9,trending,ranging
AUDCHF,2022-09-14,2022-11-03,37,0.4797773918057536,0.09006499007438509,9,neither,trending
NZDCAD,2019-02-11,2019-04-02,37,0.21028575477317546,0.04606203254405228,9,neither,ranging
USDJPY,2022-03-25,2022-05-16,37,1.8190051801742986,0.2764924932493703,2,ranging,trending
CHFJPY,2016-10-13,2016-12-02,37,2.3313957424224983,0.4530019406645255,2,neither,trending
GBPNZD,2022-06-09,2022-07-28,36,0.3350505986832331,0.10570412170715002,12,neither,ranging
NZDUSD,2025-06-13,2025-08-01,36,0.40692429374223754,0.111896824317164,8,ranging,ranging
AUDCAD,2023-05-30,2023-07-18,36,0.46661138510061934,0.08041520982817439,6,trending,ranging
EURNZD,2019-02-22,2019-04-12,36,0.3056725274667812,0.07590937221699137,6,trending,ranging
NZDJPY,2021-05-24,2021-07-12,36,0.565473216845792,0.1098412417653722,6,trending,neither
NZDUSD,2021-02-09,2021-03-30,36,0.9771821011286973,0.18692988259279336,6,trending,neither
USDJPY,2026-06-29,2026-08-14,35,0.6874132002022684,0.1431624514415846,4,ranging,
USDJPY,2025-10-20,2025-12-05,35,0.9413606058956676,0.2630207902197982,2,ranging,trending
GBPUSD,2018-11-22,2019-01-10,34,0.27237876135093464,0.06398384197022573,7,trending,ranging
USDCHF,2025-09-19,2025-11-05,34,0.6957970705322034,0.1764087137482499,6,trending,ranging
AUDJPY,2023-12-19,2024-02-06,34,0.2464433362096304,0.062218596778185246,12,ranging,ranging
EURNZD,2017-10-11,2017-11-27,34,0.7954442489651896,0.14435914103875175,8,trending,trending
EURAUD,2023-01-16,2023-03-01,33,0.4486802329377283,0.10524002169616792,9,trending,ranging
EURAUD,2017-08-21,2017-10-04,33,0.16590640837071713,0.040573247232418425,11,trending,ranging
EURNZD,2021-01-05,2021-02-18,33,0.5387538302938805,0.12044565918876071,6,ranging,trending
EURJPY,2023-06-02,2023-07-18,33,1.2794180721352262,0.32011211913792303,6,ranging,trending
USDJPY,2018-10-26,2018-12-10,32,0.6624875093798245,0.15473372846944827,6,ranging,ranging
AUDCAD,2016-02-04,2016-03-18,32,0.06117030940266229,0.011400558896269446,11,neither,trending
EURCHF,2017-02-02,2017-03-17,32,0.3155420710842502,0.06649820715744564,5,ranging,ranging
CADCHF,2017-10-18,2017-11-30,32,0.9937689248982627,0.2596061962890959,8,trending,trending
GBPJPY,2016-06-09,2016-07-22,32,1.1266775581446413,0.19972851650560658,2,trending,neither
GBPCAD,2020-02-05,2020-03-19,32,1.0858003529808815,0.15122272385994323,12,trending,ranging
AUDCHF,2023-09-20,2023-11-01,31,0.056437129217937504,0.011931079081268614,3,trending,trending
GBPNZD,2016-02-04,2016-03-17,31,0.6568434621289232,0.1278011722923326,6,trending,trending
GBPJPY,2018-08-17,2018-09-28,31,1.8448199842927233,0.3367831899704147,4,ranging,ranging
EURCHF,2018-08-17,2018-09-28,31,0.00615699450803994,0.0013674039659717623,3,ranging,trending
GBPUSD,2016-03-10,2016-04-21,31,0.07893623994874181,0.016716224620032957,11,trending,trending
AUDUSD,2018-06-19,2018-07-30,30,0.11276485069158881,0.024229976976001637,14,ranging,ranging
CADJPY,2020-04-22,2020-06-02,30,0.7526004216712681,0.3214960993418568,4,neither,ranging
NZDUSD,2022-07-06,2022-08-16,30,0.830422712248893,0.20499428824944188,8,ranging,trending
NZDCAD,2022-01-27,2022-03-09,30,2.075841907836358,0.3925832645210632,2,ranging,ranging
EURNZD,2017-01-31,2017-03-13,30,1.486073624997946,0.34302316785658643,2,ranging,ranging
NZDCHF,2023-10-19,2023-11-29,30,1.1952258050585567,0.2611772485723983,6,trending,neither
NZDJPY,2026-05-12,2026-06-22,30,0.5751153851034247,0.1277455811388238,6,trending,ranging
EURCAD,2025-04-14,2025-05-22,29,0.24888178410911654,0.07524780433525098,4,neither,ranging
NZDUSD,2020-04-22,2020-06-01,29,1.0241292066300898,0.2944834370663722,6,neither,trending
AUDJPY,2018-05-30,2018-07-09,29,0.0831259886884423,0.01693886231157995,5,ranging,ranging
GBPUSD,2019-01-18,2019-02-27,29,1.0997607144892159,0.27072677077772905,4,ranging,ranging
AUDCAD,2018-08-10,2018-09-19,29,1.0275378249569382,0.18911933295383487,6,trending,trending
AUDUSD,2025-02-13,2025-03-25,29,0.08271207903891246,0.016894897901098754,8,trending,trending
CADJPY,2018-04-19,2018-05-28,28,0.18662258753933816,0.051039990270269134,5,neither,trending
GBPCHF,2019-05-02,2019-06-10,28,2.0418931933719877,0.618659647978761,2,ranging,neither
EURGBP,2019-08-29,2019-10-07,28,0.6552276120780636,0.1861862831719717,3,trending,trending
USDCAD,2020-08-20,2020-09-28,28,0.6624162484624594,0.1683409877706243,8,ranging,ranging
AUDCHF,2022-12-22,2023-01-31,28,1.152017002347619,0.2979417987127625,4,trending,neither
EURCHF,2016-05-11,2016-06-17,28,1.8936500544922075,0.3529540159601354,2,ranging,ranging
NZDCHF,2017-05-18,2017-06-26,28,1.5990050589059743,0.4398506946381066,2,ranging,trending
EURNZD,2016-09-05,2016-10-12,28,0.7136050168242019,0.16221401946751368,6,trending,trending
GBPJPY,2025-09-16,2025-10-23,28,0.7895840816166307,0.168329004424998,2,trending,trending
USDJPY,2024-05-30,2024-07-05,27,0.8771469837040031,0.2878313247678826,2,trending,trending
EURGBP,2024-03-22,2024-04-29,27,0.5226732727534172,0.13143043458815412,8,neither,ranging
