block,W,statistic,real,n_shifts,null_mean,null_sd,n_null_ge_real,rank_of_real,p
is,5,ranging excess,0.031966549636743835,50,-0.002971862221948065,0.015900355597739717,2,3,0.058823529411764705
is,5,trending excess,0.014083078335741184,50,0.006073408391798652,0.018406010931576122,17,18,0.35294117647058826
oos,5,ranging excess,0.045922681311018176,50,0.00451906179162511,0.01942092338801307,1,2,0.0392156862745098
oos,5,trending excess,-0.024249646892655297,50,0.0015108195876666196,0.022249874584344017,44,45,0.8823529411764706
