date,pair,trend_score,chop_score,shape2,activity,scale_28,combined2,settling,m_fail,m_retr,m_space,m_panel,sample
1999-04-06,USDJPY,,,,weak,3.84435,,,,,,,is
1999-04-06,CADCHF,,,,weak,3.35189,,,,,,,is
1999-04-06,CADJPY,,,,weak,3.80023,,,,,,,is
1999-04-06,CHFJPY,,,,weak,3.32579,,,,,,,is
1999-04-07,EURGBP,,,,strong,4.62686,,,,,,,is
1999-04-07,EURAUD,,,,weak,3.63905,,,,,,,is
1999-04-07,EURNZD,,,,weak,3.28493,,,,,,,is
1999-04-07,EURUSD,,,,medium,4.33436,,,,,,,is
1999-04-07,EURCAD,,,,weak,3.31597,,,,,,,is
1999-04-07,EURCHF,,,,weak,2.84703,,,,,,,is
1999-04-07,EURJPY,,,,weak,3.16171,,,,,,,is
1999-04-07,GBPAUD,,,,weak,3.09471,,,,,,,is
1999-04-07,GBPNZD,,,,weak,2.51212,,,,,,,is
1999-04-07,GBPUSD,,,,medium,4.15346,,,,,,,is
1999-04-07,GBPCAD,,,,weak,3.1911,,,,,,,is
1999-04-07,GBPCHF,,,,weak,3.80876,,,,,,,is
1999-04-07,GBPJPY,,,,weak,3.44549,,,,,,,is
1999-04-07,AUDNZD,,,,weak,3.03743,,,,,,,is
1999-04-07,AUDUSD,,,,medium,3.92761,,,,,,,is
1999-04-07,AUDCAD,,,,weak,3.78016,,,,,,,is
1999-04-07,AUDCHF,,,,weak,3.31593,,,,,,,is
1999-04-07,AUDJPY,,,,medium,4.03749,,,,,,,is
1999-04-07,NZDUSD,,,,weak,3.14279,,,,,,,is
1999-04-07,NZDCAD,,,,weak,3.35624,,,,,,,is
1999-04-07,NZDCHF,,,,weak,3.08476,,,,,,,is
1999-04-07,NZDJPY,,,,medium,3.62881,,,,,,,is
1999-04-07,USDCAD,,,,weak,3.35965,,,,,,,is
1999-04-07,USDCHF,,,,medium,3.96521,,,,,,,is
1999-04-07,USDJPY,,,,weak,3.60808,,,,,,,is
1999-04-07,CADCHF,,,,weak,3.24615,,,,,,,is
1999-04-07,CADJPY,,,,weak,3.54607,,,,,,,is
1999-04-07,CHFJPY,,,,weak,3.21503,,,,,,,is
1999-04-08,EURGBP,,,,strong,4.67044,,,,,,,is
1999-04-08,EURAUD,,,,weak,3.68945,,,,,,,is
1999-04-08,EURNZD,,,,weak,3.42779,,,,,,,is
1999-04-08,EURUSD,,,,medium,4.25586,,,,,,,is
1999-04-08,EURCAD,,,,weak,3.39435,,,,,,,is
1999-04-08,EURCHF,,,,weak,2.64482,,,,,,,is
1999-04-08,EURJPY,,,,weak,3.14095,,,,,,,is
1999-04-08,GBPAUD,,,,weak,3.05121,,,,,,,is
1999-04-08,GBPNZD,,,,weak,2.58645,,,,,,,is
1999-04-08,GBPUSD,,,,medium,4.19301,,,,,,,is
1999-04-08,GBPCAD,,,,weak,3.23345,,,,,,,is
1999-04-08,GBPCHF,,,,weak,3.7639,,,,,,,is
1999-04-08,GBPJPY,,,,weak,3.66758,,,,,,,is
1999-04-08,AUDNZD,,,,weak,2.86795,,,,,,,is
1999-04-08,AUDUSD,,,,medium,3.7411,,,,,,,is
1999-04-08,AUDCAD,,,,weak,3.64143,,,,,,,is
1999-04-08,AUDCHF,,,,weak,3.42245,,,,,,,is
1999-04-08,AUDJPY,,,,medium,3.89311,,,,,,,is
1999-04-08,NZDUSD,,,,weak,3.20669,,,,,,,is
1999-04-08,NZDCAD,,,,weak,3.3905,,,,,,,is
1999-04-08,NZDCHF,,,,weak,3.11908,,,,,,,is
1999-04-08,NZDJPY,,,,medium,3.64486,,,,,,,is
