sig,fam,spread_is,t_is,n_is,agree_is,spread_oos,t_oos,n_oos,agree_oos,held,p_is,fdr_pass
bbw_40,bbw,-0.02968937956861087,-17.483516061962586,95424.0,0.8571428571428571,-0.020988756524665003,-12.012736544709075,76524.0,0.7857142857142857,True,1.913290236133925e-68,True
bbw_60,bbw,-0.027861661144665317,-16.33016211673804,94864.0,0.8214285714285714,-0.012033904237406579,-6.7472244127867365,76524.0,0.7142857142857143,True,6.02241077252755e-60,True
bbw_90,bbw,-0.02647645984377181,-15.622030297620967,94024.0,0.8214285714285714,-0.01589984127453395,-8.854302964479015,76524.0,0.6785714285714286,True,5.153803204892357e-55,True
maxdd_60,maxdd,0.025638840560402193,15.259787563732319,93212.0,0.8928571428571429,0.011868709964411583,6.540090180301677,76524.0,0.6071428571428571,True,1.4170891664469145e-52,True
bbw_20,bbw,-0.02501298008220537,-14.700116236129418,95984.0,0.9285714285714286,-0.017998370741094866,-10.191301237670759,76524.0,0.6785714285714286,True,6.434916409193718e-49,True
bbw_120,bbw,-0.024963400193623142,-14.640270737166231,93184.0,0.8214285714285714,-0.014865888548748846,-8.238002446104316,76524.0,0.7142857142857143,True,1.5544800987731446e-48,True
maxdd_40,maxdd,0.024225900215761986,14.497773545234645,94332.0,0.8571428571428571,0.017118935074125013,9.433138840891667,76524.0,0.7857142857142857,True,1.25143594189045e-47,True
z_bbw_60,z_bbw,-0.025333718529769345,-13.769412688298829,80892.0,0.7857142857142857,-0.018243085592985153,-10.158947380830359,76524.0,0.7857142857142857,True,3.8936559349215826e-43,True
maxdd_10,maxdd,0.022152640989848538,13.562675588432816,96012.0,0.8571428571428571,0.013411692210606174,7.447380771623578,76524.0,0.7142857142857143,True,6.665946945708947e-42,True
absmom_60,absmom,-0.021874499640294476,-13.04702256683769,94836.0,0.8214285714285714,-0.0026771080281053072,-1.4820698096598375,76524.0,0.5,True,6.60797784760366e-39,True
rngvol_60,rngvol,-0.021773930106844197,-12.960680729812069,94836.0,0.8214285714285714,-0.011130999241556444,-6.224135258880835,76524.0,0.6071428571428571,True,2.0442530411712204e-38,True
z_rngvol_60,z_rngvol,-0.023259073495864868,-12.738041765002883,80864.0,0.7857142857142857,-0.0036194750240870766,-2.0160308240168883,76524.0,0.6785714285714286,True,3.6340194037232403e-37,True
df_90,df,-0.021524770983627872,-12.712114422963262,93996.0,0.8214285714285714,-0.009597754372017736,-5.350690872778003,76524.0,0.7857142857142857,True,5.064623695711431e-37,True
rngcomp_90,rngcomp,0.021895883870976296,12.574707332850275,88984.0,0.75,0.010465879525457134,5.884520636461815,76524.0,0.6428571428571429,True,2.908754904296481e-36,True
ou_90,ou,-0.021848731960197126,-12.549006607565108,89708.0,0.8214285714285714,-0.010037072672906822,-5.490587844039368,74279.0,0.75,True,4.025281094628416e-36,True
maxdd_5,maxdd,0.020284495715584078,12.369216610017823,96012.0,0.8928571428571429,0.00967535482985632,5.298871034572463,76524.0,0.6428571428571429,True,3.8354383447281817e-35,True
z_dens_60,z_dens,0.02272296271153859,12.368506212293482,80864.0,0.7857142857142857,0.003976836268390932,2.192888306743452,76524.0,0.5714285714285714,True,3.8695075363111757e-35,True
z_absmom_60,z_absmom,-0.02208583429455757,-12.2158323003872,80864.0,0.8571428571428571,-0.002390509205205116,-1.3200014789687171,76524.0,0.42857142857142855,True,2.5586942652746174e-34,True
acsum_250,acsum,-0.021358079143932895,-12.180523910582753,89376.0,0.7857142857142857,-0.00681080988475255,-3.744721095956217,76524.0,0.6071428571428571,True,3.947379761584764e-34,True
d_ac2_90,d_ac2,-0.020873131496565667,-12.159150879769692,93380.0,0.7142857142857143,-0.005716477653809976,-3.1605572923695844,76524.0,0.5714285714285714,True,5.128901963917577e-34,True
ef_60,ef,-0.020116500556468964,-11.962292230781244,94836.0,0.8571428571428571,-0.0031029220138277525,-1.716851944847098,76524.0,0.5714285714285714,True,5.599455750905207e-33,True
ampratio_60,ampratio,0.020114600834871432,11.960334866467385,94831.0,0.8571428571428571,0.003130144306591587,1.7319665088652283,76522.0,0.5714285714285714,True,5.7330259695981504e-33,True
bbw_250,bbw,-0.020572519728115635,-11.8844902636931,89544.0,0.7857142857142857,-0.010625835508108139,-5.799199200918416,76524.0,0.7142857142857143,True,1.4250174468621823e-32,True
z_df_90,z_df,-0.02160571781652315,-11.769675032351332,80024.0,0.8214285714285714,-0.004573263227939606,-2.538013690309175,76524.0,0.6071428571428571,True,5.593958043244156e-32,True
dens_60,dens,0.019732036228690825,11.695643671266453,94836.0,0.7857142857142857,0.013563805392810269,7.538287538483642,76524.0,0.5714285714285714,True,1.3416606011826425e-31,True
bbw_10,bbw,-0.019564419984817505,-11.60243796220235,96012.0,0.8571428571428571,-0.014388928455965871,-8.023377982834974,76524.0,0.6785714285714286,True,4.0050361155950175e-31,True
z_bbw_90,z_bbw,-0.021415948335613527,-11.468803639400345,80052.0,0.7142857142857143,-0.0176059752702713,-9.839849364923028,76524.0,0.6785714285714286,True,1.8925764141732236e-30,True
df_120,df,-0.019389415425913686,-11.362944178466776,93156.0,0.75,-0.014656007289886475,-8.148038794048704,76524.0,0.7142857142857143,True,6.395235558027969e-30,True
zc_40,zc,0.01907328196934291,11.345645567358766,95424.0,0.8214285714285714,0.0028403305581637672,1.543106022534787,76524.0,0.6071428571428571,True,7.794883549709727e-30,True
d_ddhigh_10,d_ddhigh,0.018331710249185562,11.075608959651925,95704.0,0.8214285714285714,0.0006199138505118273,0.3504452477644676,76524.0,0.5,True,1.6475623738208697e-28,True
z_ef_60,z_ef,-0.019717573587383547,-10.872620101961695,80864.0,0.7857142857142857,-0.0024978374796254255,-1.3762756954583277,76524.0,0.42857142857142855,True,1.5566516122195009e-27,True
df_250,df,-0.018552436892475377,-10.737577445343517,89516.0,0.8214285714285714,-0.016396044620445777,-8.98452198876325,76524.0,0.6785714285714286,True,6.780013441086837e-27,True
rngvol_40,rngvol,-0.018223029694386883,-10.73499413277664,95396.0,0.7142857142857143,-0.006827515150819502,-3.8128620631281036,76524.0,0.6428571428571429,True,6.972339888550277e-27,True
z_bbw_40,z_bbw,-0.019740555967603407,-10.693404906130198,81452.0,0.75,-0.02261874345796447,-12.725492308576952,76524.0,0.7857142857142857,True,1.0928379038002131e-26,True
rngvol_90,rngvol,-0.017686433557953157,-10.510645588905604,93996.0,0.7142857142857143,-0.008382042603833323,-4.71812251620647,76524.0,0.6428571428571429,True,7.716349744154054e-26,True
z_acsum_250,z_acsum,-0.020030427191938677,-10.415136188353085,75404.0,0.6785714285714286,-0.0031427964568138123,-1.738863774493534,76524.0,0.5714285714285714,True,2.1149466523819457e-25,True
z_bbw_120,z_bbw,-0.019217949360609055,-10.320711361860502,79212.0,0.7142857142857143,-0.021481682147298536,-11.936458569557697,76524.0,0.7857142857142857,True,5.680074687013254e-25,True
vr_60,vr,-0.01777565053531102,-10.312544645103834,93184.0,0.7857142857142857,0.008385369820254202,4.669745365834101,76524.0,0.6428571428571429,False,6.184182031165966e-25,True
z_ac1_250,z_ac1,-0.01952050785933221,-10.271446719752413,75516.0,0.75,0.0031222855406148053,1.7208728758023646,76524.0,0.5714285714285714,False,9.477262879637718e-25,True
z_vr_20,z_vr,-0.01859308193836895,-10.16904455368066,81452.0,0.8214285714285714,-0.00935873282807212,-5.153503926482834,76524.0,0.6785714285714286,True,2.7256913488025644e-24,True
d_dpo_10,d_dpo,0.016667565064770823,10.157722592438809,95536.0,0.75,-0.0028843145285334104,-1.6338423417833066,76524.0,0.6071428571428571,False,3.061438606591528e-24,True
d_hurst_40,d_hurst,-0.01699227413960866,-10.137690495547515,94836.0,0.7857142857142857,-0.0062944207872663305,-3.4844820984309104,76524.0,0.5714285714285714,True,3.758809294430263e-24,True
d_kurt_250,d_kurt,0.01721483309354102,9.97624399125493,88956.0,0.6428571428571429,-0.004371403051274175,-2.44339810005252,76524.0,0.5357142857142857,False,1.9365926354186804e-23,True
z_acsum_90,z_acsum,-0.018350783735513687,-9.870372632901118,79884.0,0.75,-0.007256360458476191,-4.031809247531242,76524.0,0.6428571428571429,True,5.595634786525006e-23,True
vr_20,vr,-0.016547771436827535,-9.854163496035898,95424.0,0.8571428571428571,-0.007666302578789835,-4.280662797115929,76524.0,0.6428571428571429,True,6.576199641294216e-23,True
z_hurst_40,z_hurst,-0.01786945813468524,-9.767346967805459,81424.0,0.7857142857142857,-0.0021097638777324013,-1.168970491576694,76524.0,0.5357142857142857,True,1.5546987666545315e-22,True
maxdd_120,maxdd,0.017022597470453815,9.72138437121181,89852.0,0.8214285714285714,0.005465236093316783,2.96298404468404,76524.0,0.5,True,2.4443531097720366e-22,True
maxdd_250,maxdd,0.01745555336986271,9.696666616826006,82572.0,0.7142857142857143,0.007385891463075389,3.9928094773806824,76524.0,0.5714285714285714,True,3.1150970855265307e-22,True
z_rngvol_40,z_rngvol,-0.017722848270620623,-9.598465393852342,81424.0,0.75,-0.0020578775022710993,-1.1446555244098444,76524.0,0.5357142857142857,True,8.114350943454164e-22,True
ddhigh_90,ddhigh,0.015516277402639389,9.431894651500523,94024.0,0.6785714285714286,0.008719669388873225,4.860475600763247,76524.0,0.5714285714285714,True,4.027472378480942e-21,True
volratio_120,volratio,-0.016516584903001785,-9.418000109038411,86436.0,0.7857142857142857,-0.016821041171039858,-9.53357956729941,76524.0,0.6428571428571429,True,4.597612169169052e-21,True
ddratio_90,ddratio,-0.015854874359709864,-9.343425521180286,91532.0,0.8928571428571429,-0.002420109829732342,-1.3464733438559973,76524.0,0.5,True,9.326674185961071e-21,True
ddhigh_60,ddhigh,0.015297476202249527,9.295787591439598,94864.0,0.6428571428571429,0.010088849812746048,5.583172681039961,76524.0,0.7142857142857143,True,1.461203335287556e-20,True
dens_90,dens,0.015673919447830753,9.281646682227207,93996.0,0.6785714285714286,0.008741004658596868,4.909981153305494,76524.0,0.6785714285714286,True,1.6687922764330145e-20,True
r2_20,r2,-0.015415386429854794,-9.271194835179024,95984.0,0.75,-0.004919378353016729,-2.756895611029837,76524.0,0.6071428571428571,True,1.840721908102153e-20,True
bbw_5,bbw,-0.015390099159308862,-9.169845751639388,96012.0,0.75,-0.008548664727381278,-4.737789786091522,76524.0,0.7142857142857143,True,4.7369636197413044e-20,True
z_df_120,z_df,-0.017003131764275675,-9.168063169134353,79184.0,0.6785714285714286,-0.011699146458080845,-6.451071086308871,76524.0,0.7142857142857143,True,4.8159378591367826e-20,True
ac2_120,ac2,0.01582433549421175,9.126072970061905,93100.0,0.75,-0.00010322566543305434,-0.057544991554174335,76524.0,0.4642857142857143,False,7.102912341921354e-20,True
z_ddratio_90,z_ddratio,-0.016921651682683392,-9.086180913178644,77560.0,0.7142857142857143,-0.00459195460591999,-2.5577323012073347,76524.0,0.5357142857142857,True,1.0257898774579888e-19,True
r2_90,r2,-0.015200023140226088,-9.046113977571565,94024.0,0.75,0.005423651742083674,3.0056113600284275,76524.0,0.5714285714285714,False,1.4814681045428337e-19,True
d_acsum_250,d_acsum,-0.015495571706976213,-8.930567217428957,88816.0,0.6785714285714286,0.001245783908026571,0.692163290981298,76524.0,0.5357142857142857,False,4.2383005394885975e-19,True
d_dpo_5,d_dpo,0.014732022902795239,8.908516318568909,95760.0,0.8214285714285714,-0.004807097571236735,-2.7025094931259446,76524.0,0.5357142857142857,False,5.172002377312076e-19,True
d_ddlow_20,d_ddlow,0.01464421621390749,8.8996556539904,95424.0,0.8214285714285714,-0.00657764290060317,-3.7108295380655414,76524.0,0.5714285714285714,False,5.602021479836991e-19,True
z_bbw_20,z_bbw,-0.016231974320752296,-8.865894050499868,82012.0,0.6428571428571429,-0.02354065967457636,-13.31045933918733,76524.0,0.7857142857142857,True,7.589261480883199e-19,True
z_vr_60,z_vr,-0.01657122586454665,-8.859443409596553,79212.0,0.6785714285714286,0.01209902231182372,6.721973509471513,76524.0,0.7142857142857143,False,8.041491454305426e-19,True
z_zc_20,z_zc,0.016259377556187782,8.822474981006083,82012.0,0.6785714285714286,0.0016252174973487854,0.9047703234569564,76524.0,0.5,True,1.1195721653307044e-18,True
ou_250,ou,-0.01573607143945077,-8.783602853253655,85374.0,0.8571428571428571,-0.012907972715946986,-6.9411145540149795,75244.0,0.6428571428571429,True,1.5831998186561087e-18,True
d_vr_20,d_vr,-0.014394535550049353,-8.685396054658097,94864.0,0.75,-0.012367762625217438,-6.831744536574767,76524.0,0.6785714285714286,True,3.7742503463099495e-18,True
z_maxdd_60,z_maxdd,0.01606911899788041,8.646028826434835,79240.0,0.7142857142857143,0.003958257181303826,2.187408572610679,76524.0,0.6785714285714286,True,5.332264978580059e-18,True
z_bbw_10,z_bbw,-0.015683677579675426,-8.595662091390768,82292.0,0.75,-0.019120310566255017,-10.616836455096468,76524.0,0.7857142857142857,True,8.278607699429354e-18,True
d_maxdd_5,d_maxdd,0.014107874461582737,8.56726432868705,95732.0,0.75,0.0004208465772015668,0.2342352456981401,76524.0,0.5,True,1.05972448052847e-17,True
ddhigh_10,ddhigh,0.013970138771193352,8.5341534380216,96012.0,0.8214285714285714,0.005466591034616747,3.0331464698427544,76524.0,0.6071428571428571,True,1.4118536812666523e-17,True
df_40,df,-0.014319824853113727,-8.529075839127637,95396.0,0.7142857142857143,-0.006131553224154901,-3.4183481243989133,76524.0,0.6071428571428571,True,1.4752145631706918e-17,True
ddlow_250,ddlow,-0.014598088605063286,-8.506969881008937,89544.0,0.75,-0.00918939283915926,-5.32383596006729,76524.0,0.6071428571428571,True,1.78537887968552e-17,True
d_ddhigh_20,d_ddhigh,0.014064071433884745,8.501812035556396,95424.0,0.8928571428571429,0.0017444161432129957,0.9892686495059071,76524.0,0.4642857142857143,True,1.8665387118580155e-17,True
ou_120,ou,-0.014882608657415863,-8.469783381210656,89092.0,0.6428571428571429,-0.01124115401784015,-6.202016753686352,74751.0,0.6428571428571429,True,2.4584980480344132e-17,True
hurst_90,hurst,-0.014378935098648071,-8.464225125208392,93996.0,0.6071428571428571,-0.013949058417763033,-7.728425455405896,76524.0,0.7142857142857143,True,2.5786131061993414e-17,True
ddhigh_20,ddhigh,0.013755840382405682,8.414538321366114,95984.0,0.6071428571428571,0.00885566962616785,4.931120289356482,76524.0,0.7142857142857143,True,3.944453146401997e-17,True
z_ddlow_60,z_ddlow,-0.01502532724823269,-8.355726689502047,80892.0,0.6071428571428571,-0.010107437946966696,-5.6384075739273785,76524.0,0.6071428571428571,True,6.503112017872677e-17,True
r2_60,r2,-0.013895770800965185,-8.3393347335698,94864.0,0.75,-0.002699914787496843,-1.4872606020447745,76524.0,0.5357142857142857,True,7.470965065454765e-17,True
z_hma_60,z_hma,-0.01476497256330081,-8.172748461394308,80304.0,0.6785714285714286,0.009331831442458277,5.228761493757649,76524.0,0.7142857142857143,False,3.014420485142688e-16,True
z_dens_90,z_dens,0.01485783819641387,8.063287904102479,80024.0,0.7142857142857143,0.006111306803567085,3.4239129638556736,76524.0,0.6428571428571429,True,7.426933187001624e-16,True
z_zc_40,z_zc,0.01476389808314188,8.048245765662738,81452.0,0.6428571428571429,0.003221565591437492,1.7629881905718192,76524.0,0.6428571428571429,True,8.39891616136457e-16,True
rngvol_20,rngvol,-0.013370337230818624,-8.037549317860154,95956.0,0.75,0.0018864588013716987,1.0627537192003957,76524.0,0.5357142857142857,False,9.165301429481285e-16,True
volratio_90,volratio,-0.014044512595449171,-8.03104434946347,88956.0,0.7142857142857143,-0.014829940561737337,-8.392485165842947,76524.0,0.6071428571428571,True,9.66464063025974e-16,True
dens_40,dens,0.013537604893956862,7.970439508628964,95396.0,0.7142857142857143,0.00865178608468603,4.8427778997262365,76524.0,0.6428571428571429,True,1.5811104381574618e-15,True
vov_20,vov,-0.01354691066912242,-7.967366343136179,95424.0,0.6428571428571429,-0.0012806164366858386,-0.7039155500155204,76524.0,0.42857142857142855,True,1.6209161673931131e-15,True
z_rngvol_90,z_rngvol,-0.014582162456853037,-7.934186752575485,80024.0,0.6785714285714286,-0.0032989302916186236,-1.849323542675038,76524.0,0.5714285714285714,True,2.1187907252810626e-15,True
d_vov_40,d_vov,0.013517865112849664,7.906908441415462,93744.0,0.75,-0.008364867951188765,-4.614192190330954,76524.0,0.5714285714285714,False,2.6385953941921796e-15,True
z_df_250,z_df,-0.014775079808064862,-7.863145288016533,75544.0,0.6785714285714286,-0.01955179018633707,-10.789864587835307,76524.0,0.7857142857142857,True,3.746060943683127e-15,True
z_rngcomp_90,z_rngcomp,0.015009266457387399,7.830980366243083,75012.0,0.5714285714285714,0.011055415762322301,6.126823330723216,76524.0,0.6785714285714286,True,4.8408027407671006e-15,True
maxdd_20,maxdd,0.012983588235718851,7.767385507822729,95452.0,0.75,0.018848229731832228,10.679204437730904,76524.0,0.7142857142857143,True,8.0122705328269e-15,True
df_20,df,-0.012851083917277184,-7.731534045508597,95956.0,0.7857142857142857,0.0015208428459508039,0.8494496215577082,76524.0,0.6071428571428571,False,1.0625825009752606e-14,True
ddhigh_120,ddhigh,0.012884401317153654,7.729404608605189,93184.0,0.6071428571428571,0.009208733482020254,5.126164683481629,76524.0,0.6071428571428571,True,1.0805073976675081e-14,True
z_rngvol_20,z_rngvol,-0.014037663383143273,-7.726582089747581,81984.0,0.7142857142857143,0.004134057887962894,2.3244013586699204,76524.0,0.6071428571428571,False,1.1047256974606052e-14,True
