# Nine-box state summary -- generation 1.
# Share of days, median run length and run count for each of the NINE nine-box states
# (strong/medium/weak x trend/transitional/chop) at the 28-bar window.
# This is a 9-row SUMMARY table, not per-day labels and not four shape states.
# Per-day labels for this generation: states_g1_ninebox.csv.
# Renamed copy of nine_states.csv, whose name did not say which classifier it came from.
,share,median_len,runs
strong trend,0.097271986970684,7.0,1647
medium trend,0.1056886924150767,5.0,2566
weak trend,0.0924616100511866,6.0,1941
strong transitional,0.1060784085621219,4.0,3505
medium transitional,0.1350221033038622,3.0,5175
weak transitional,0.1157980456026058,3.0,4347
strong chop,0.0976151698464402,5.0,2494
medium chop,0.134963936714751,5.0,3935
weak chop,0.1151000465332712,5.0,3193
