c1,c2,vol,base,exit_ind,slice,mode,ex_n,ex_total_R,ex_expectancy_R,ex_win_rate,ex_profit_factor,ex_sharpe,ex_sortino,ex_max_dd_R,ex_ulcer_R,ex_calmar,ex_max_trade_share,cr_n,cr_total_R,cr_expectancy_R,cr_win_rate,cr_profit_factor,cr_sharpe,cr_sortino,cr_max_dd_R,cr_ulcer_R,cr_calmar,cr_max_trade_share,all_total_R,crisis_share_of_total_R,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct
adx_dmi_signals,kalman_filter_signals,variance_volume_signals,wma_baseline,adx_dmi_exit,trend,A,120,18.818594152642746,0.1568216179386895,0.2916666666666667,1.872075755589054,3.655442967384586,17.12821972591829,5.475400242787167,1.837512675798857,3.436934893925386,0.1287398864429943,16,1.6626307141467196,0.1039144196341699,0.25,1.418617007445051,1.997586297363438,14.582758235854657,2.4573125462773113,1.071141179279455,0.6766053087815429,1.341734984823158,20.481224866789464,0.0811782852324762,50,1.15,2.3,0.6,1.9,0.01
adx_dmi_signals,price_momentum_oscillator_signals,variance_volume_signals,wma_baseline,adx_dmi_exit,trend,A,107,21.991795565884676,0.2055307996811652,0.3457943925233644,2.0189127035131573,3.876355270988019,19.50017164704083,5.342959028264042,2.003871733218888,4.116032979019481,0.2087260661799651,5,3.121116107273029,0.6242232214546057,1.0,inf,17.18495852883628,,0.0,0.0,,0.4258577880681316,25.112911673157708,0.1242833227741201,32,1.0,2.3,1.45,1.05,0.01
aroon_signals,adx_dmi_signals,variance_volume_signals,wma_baseline,adx_dmi_exit,trend,A,94,18.93767458855996,0.2014646232825527,0.3297872340425531,1.8814373582965385,3.854572509801634,20.71211798971112,2.819209909326183,1.1241971547037697,6.717369475012322,0.1401142122851106,16,3.454076568516366,0.2158797855322728,0.3125,1.829356386066533,3.5686498821044035,29.733254419956435,1.7045188256944872,0.9559691877046094,2.0264232441721735,0.7044727776954971,22.39175115707632,0.1542566521165003,50,1.05,2.55,0.6,1.0,0.05
aroon_signals,aroon_signals,waddah_attar_explosion_volume_signals,fantail_vma,adx_dmi_exit,trend,A,130,29.508025723831516,0.2269848132602424,0.4307692307692308,2.0734672815890445,4.501892894402756,24.992129954538154,4.010589086081733,1.8209087205961196,7.357529053832907,0.0808883849902189,6,0.314409909193168,0.0524016515321946,0.3333333333333333,1.2480317198323532,1.3978237602787091,3.934587881112676,0.9999999999999988,0.459692847453623,0.3144099091931684,2.5158711971918524,29.82243563302468,0.010542730750167,4,1.0,2.75,1.25,1.3,0.05
aroon_signals,chandelier_exit_signals,waddah_attar_explosion_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,A,111,-5.894015879695432,-0.0530992421594183,0.2072072072072072,0.8156265951267844,-1.271315567651552,-5.56762262171267,11.167114901200213,5.551687066332626,-0.5278011314329684,-0.469865113551933,13,13.560006260937822,1.0430774046875249,0.4615384615384615,5.5200020869792645,7.87588602094313,,1.0000000000000036,0.537086155529576,13.560006260937774,0.4093603838976757,7.665990381242394,1.768852501317672,31,1.0,2.2,1.5,1.4,0.05
aroon_signals,chandelier_exit_signals,waddah_attar_explosion_volume_signals,sma_baseline,adx_dmi_exit,trend,A,171,19.20197481614666,0.1122922503868225,0.3450292397660818,1.5673614873159405,2.3947170788262437,10.70394590894065,6.776909710536234,2.0398750522654714,2.833441145938961,0.1758914579886484,17,106.3314330799331,6.2547901811725355,1.0,inf,4.309178181019207,,0.0,0.0,,0.898852073352745,125.53340789607978,0.8470369351237351,3,1.0,2.65,1.8,1.85,0.01
aroon_signals,didi_index_signals,waddah_attar_explosion_volume_signals,ema_baseline,adx_dmi_exit,trend,A,115,27.57870870279913,0.2398148582852098,0.4521739130434782,2.536034693547564,5.830907212045108,22.51473330091221,2.310860696526232,0.7495284989895226,11.934388232166668,0.1194195296984882,3,4.835170640746757,1.6117235469155855,1.0,inf,51.79612230297004,,0.0,0.0,,0.4207981527670472,32.413879343545894,0.1491697611847103,18,1.1,1.95,0.8,1.0,0.01
aroon_signals,j_tpo_signals,waddah_attar_explosion_volume_signals,super_smoother_2pole_baseline,adx_dmi_exit,trend,A,208,17.720541357535858,0.0851949103727685,0.3653846153846153,1.4255581018464665,1.8417300973341193,8.358013454153019,8.078690181277413,3.2458291514939024,2.193491885430104,0.2513471479546648,10,-3.84947522905284,-0.384947522905284,0.0,0.0,-36.21024807303863,-36.21024807303863,3.516935423599373,2.3367729344572714,-1.0945538559571084,0.129887834119932,13.871066128483015,-0.277518338777744,3,1.0,2.5,1.5,1.0,0.09
aroon_signals,kalman_filter_signals,waddah_attar_explosion_volume_signals,super_smoother_2pole_baseline,adx_dmi_exit,trend,A,106,26.778282336447027,0.252625305060821,0.3773584905660377,2.1399590669185704,4.24008396900292,23.808529940425295,8.877200281950447,4.68214029714875,3.0165233954328965,0.1435079656565367,8,15.088427059399375,1.8860533824249224,0.5,13.935797505966931,8.581867240871826,124.42043436526492,1.1664087237326868,0.6877355051513275,12.935797505966946,0.6296486836860573,41.86670939584641,0.3603919982518688,13,1.0,2.15,1.7,1.8,0.01
aroon_signals,kase_peak_oscillator_signals,waddah_attar_explosion_volume_signals,sma_baseline,adx_dmi_exit,trend,A,124,5.015693606720269,0.0404491419896795,0.3387096774193548,1.184073817360684,1.0001745823814303,4.165466826713623,5.839098161038924,2.3797652938261575,0.8589842931888388,0.7140307921093416,8,-0.3167021183303947,-0.0395877647912993,0.375,0.8118804475525435,-1.3601590725761543,-4.177053889669771,1.1946314334734025,0.7007714643138309,-0.2651044577067424,-2.052401807183042,4.698991488389875,-0.067397891465199,32,1.0,1.3,1.3,1.75,0.05
aroon_signals,lemantrend_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,A,141,20.041235363313,0.1421364210164042,0.3617021276595745,1.735611398045451,3.207133638515631,12.369593566142258,5.0968560621597145,1.949299607591948,3.932077955291685,0.1438369813478032,19,16.50520935115876,0.8686952290083558,0.5789473684210527,6.02434297451935,3.699066879532304,83.33441483341063,1.6874743610800866,0.9571747266842324,9.781013407868562,0.9785698030373308,36.546444714471775,0.4516228453987749,3,1.0,2.15,1.5,1.0,0.02
aroon_signals,lemantrend_signals,waddah_attar_explosion_volume_signals,sma_baseline,adx_dmi_exit,trend,A,100,26.253314838681742,0.2625331483868174,0.53,3.003119389394913,7.251171447564048,24.311857946678007,2.490109907306085,0.7551283094091167,10.543034571146212,0.0695449832280716,2,6.838866033862343,3.4194330169311713,1.0,inf,21.062923426083067,,0.0,0.0,,0.7664628250611567,33.0921808725441,0.2066610858982826,20,1.0,1.6,1.45,1.5,0.01
aroon_signals,linreg_slope_signals,variance_volume_signals,tma_baseline,adx_dmi_exit,trend,A,116,3.365746581603201,0.0290150567379586,0.2241379310344827,1.0954921970259337,0.5587440557236996,3.1683858976867643,7.289254467159613,3.3240714781846386,0.4617408538509595,0.8369715633848652,6,136.19062575649795,22.698437626082992,0.6666666666666666,962.671281447184,7.087230387347375,,0.0708093443071054,0.0289077937622428,1923.342562894368,0.9276852918872458,139.55637233810117,0.9758825302978708,3,1.0,3.0,1.75,1.65,0.14
aroon_signals,qqe_mod_signals,waddah_attar_explosion_volume_signals,kama_baseline,adx_dmi_exit,trend,A,154,27.529987329806197,0.178766151492248,0.474025974025974,1.9949951384756537,3.7089413341211217,18.607092448398603,7.946524368785113,3.0388921089636036,3.464406078957895,0.1686389922791308,2,4.771121577288646,2.385560788644323,1.0,inf,62.94249864343984,,0.0,0.0,,0.5891684664753275,32.301108907094836,0.1477076713066245,4,1.0,1.35,2.0,1.0,0.07
