cell,sep,share,run,diag,sep_autocorr,sep_range_to_path,sep_dir_changes,sep_mean_crossings,surr,corr
trending,0.10319826019948422,0.24830699774266365,21.0,0.9709368403961682,0.050989717131463955,0.13119820153330297,-0.003583352662375559,-0.22702176947079444,0.1514442841252665,-0.04824602392578228
ranging,0.0978060227404446,0.3723395678813286,24.0,0.9784068751354084,-0.0462778115844812,-0.13842684468288446,0.01319961886964169,0.19331981582477106,0.15050816615457785,-0.05270214341413325
trend-in-range,0.052158079542018274,0.18112436848328498,18.0,0.9586672603146335,-0.004679536125656923,-0.05188781653612599,-0.03492465468357962,0.11714031082271055,0.0555738908026752,-0.0034158112606569244
neither,0.0636964129608327,0.19822906589272277,18.0,0.9593192758831107,0.012533812941224187,0.09789221008808512,0.017390918286200187,-0.1269687105278213,0.0643206621329282,-0.0006242491720954979
trend high (marginal),0.05235467007467458,,,,,,,,0.10743918290599277,-0.0550845128313182
chop high (marginal),0.12194135652291715,,,,,,,,0.16734341115977508,-0.045402054636857925
