atr_len,min_atr_mult
2,0.2597200881187172
3,0.2567799917714434
4,0.2553289633606197
5,0.25458993846494515
6,0.25320429595430444
7,0.252080496550016
8,0.2520142521956892
9,0.2505490623404029
10,0.250179194234481
11,0.2498704811488074
12,0.2492033351978945
13,0.24820878309534541
14,0.24761077765949066
15,0.24661194475288672
16,0.2462500873328727
17,0.24543586011366436
18,0.24531425426840395
19,0.24502945526802958
20,0.24469237755119352
21,0.24411204792210953
22,0.24357930594146027
23,0.24293155181198325
24,0.24275341310177498
25,0.24229344168330286
26,0.2420815594711322
27,0.24179034584923367
28,0.2419715434033861
29,0.24156166134856125
30,0.2414212733944369
31,0.24122399198550692
32,0.2407880383875725
33,0.2405790582701391
34,0.24048673736588294
35,0.2405279278205713
36,0.2406861191284389
37,0.2404372083784662
38,0.24041891743598476
39,0.24024742454530243
40,0.24036864308942707
41,0.24041656015044754
42,0.2406364698762172
43,0.2406626808842375
44,0.24048683445966026
45,0.24054234679365563
46,0.24032329441387948
47,0.23987980884174556
48,0.23959619199207172
49,0.2392678520234321
50,0.23894455658946737
