statistic,rank_corr,n_pairs
share_trending,0.0021893814997263274,28
share_ranging,-0.12972085385878487,28
share_trend-in-range,-0.07309061319578165,28
share_neither,0.23590585659551178,28
trendiness,-0.08703982564060773,28
med_trending,0.1036477444098075,28
med_ranging,-0.29311295878062993,28
