slice,era,state,count,mean,sum
A-trend,2011-2015,neither,364192,0.0017307843297911492,630.3378066352982
A-trend,2011-2015,ranging,608168,0.04960767588619462,30169.80102835521
A-trend,2011-2015,trend-in-range,322882,0.004751666825510024,1534.2276879543276
A-trend,2011-2015,trending,469822,0.3311620176398018,155587.20145156697
A-trend,2016-2020,neither,212042,0.0030352731649775865,643.6053924481774
A-trend,2016-2020,ranging,448924,-0.041691310249070655,-18716.229762253795
A-trend,2016-2020,trend-in-range,175854,-0.07295040514505323,-12828.620546378192
A-trend,2016-2020,trending,243504,-0.04788660319788531,-11660.579425097865
B-trend,2011-2015,neither,465444,0.004849309590680639,2257.0820531247596
B-trend,2011-2015,ranging,764432,0.04214721954006703,32218.683327452523
B-trend,2011-2015,trend-in-range,419016,0.020343494832841265,8524.249830877816
B-trend,2011-2015,trending,606420,0.3003506141357402,182138.61942419558
B-trend,2016-2020,neither,262388,-0.007057029630586953,-1851.6798907104494
B-trend,2016-2020,ranging,551518,-0.023518722212195663,-12970.998637025728
B-trend,2016-2020,trend-in-range,224176,-0.0514703236712067,-11538.411279316433
B-trend,2016-2020,trending,311732,-0.02824629714288926,-8805.274700947155
