H,n,eff_is,eff_oos,t_oos,agree,mono,retention,passing,null_t,null_eff,t_ratio,eff_ratio
5,111,0.0173607864020644,0.0262698938031267,7.692043456921908,0.8111325611325612,0.8036991142133028,0.954954954954955,2,2.1649459997346483,0.007563029546381999,3.552995528694342,3.473461744664701
10,111,0.0225657511262577,0.0310357773866927,11.805418559389068,0.8732303732303732,0.9066003971536419,0.990990990990991,13,2.6886706341618574,0.00712035076301175,4.3908013162308315,4.3587427669876835
15,111,0.0242339923399476,0.0282331608755433,13.229417232178898,0.8819176319176318,0.9547035185126758,1.0,16,3.440600753460701,0.00760876442884045,3.8450893260056964,3.7106104597650083
20,111,0.0223808065901243,0.0244361652936809,13.293028928001066,0.8812741312741312,0.9702767415842991,1.0,11,4.051093482140542,0.007744192245300751,3.2813434166859095,3.1554182178921235
