sizing,structure,description,dip_budget,day_budget,dip95_binding,median_year_pct,worst_year_pct,max_dd_pct,worst_day_pct,dip95_pct,profit_factor,sortino,calmar,mean_year_pct,best_year_pct,total_return_pct,worst_month_pct,sharpe,win_rate_pct,binds_step1,binds_step2,scale_step1,scale_step2,build_dip95_step1,build_dip95_step2,build_max_dd_step1,build_max_dd_step2,build_worst_day_step1,build_worst_day_step2,trades_per_year,mean_open_positions,mean_gross_exposure_pct,cap_bound_days,members_step1,members_step2,trading_days
a_all_three_36,NO_CUT,"DIP95 and actual maxDD against 3.6%, worst day against 3.6% -- as run",3.6,3.6,True,5.124201785166525,3.617810389743873,1.770361711277399,0.6713447529361529,3.3463454584804664,1.4896800188372323,3.615193636490826,16.4025259886773,5.807680795717351,10.55873762481867,29.038403978586757,0.6456656364544492,2.2732507781307576,55.941358024691354,DIP95,DIP95,1.0444047740855709,0.9525811823353513,3.6,3.6,1.9404883851554593,2.090011749034514,1.0295847196277463,0.8800869002269909,298.08333333333337,9.671064631245045,0.8488670937868121,0,8235,8235,1296
a_all_three_36,NO_CUT_SLICE_BALANCED,"DIP95 and actual maxDD against 3.6%, worst day against 3.6% -- as run",3.6,3.6,True,4.253484186609957,3.1937952202397586,2.5128700411385516,0.6097865529350806,3.6698651522623607,1.3897650547202975,3.1054047918041428,9.889865238548776,4.970389213769359,9.277182153030319,24.851946068846793,1.236281498274832,1.9360111389043926,53.85802469135802,DIP95,DIP95,0.8802650291428242,0.8055798424357624,3.6,3.6,1.856190079238642,2.182461465767882,0.7999043895731691,0.7508045674265628,355.66666666666663,11.96723830293418,0.7772304681560278,0,8235,8235,1296
b_risk_54_day_36,NO_CUT,"DIP95 and actual maxDD against 5.4%, worst day against 3.6%",5.4,3.6,True,7.686302677749787,5.42671558461581,2.6555425669161004,1.0070171294042294,5.019518187720694,1.4896800188372323,3.615193636490826,16.40252598867729,8.711521193576027,15.838106437228006,43.557605967880136,0.968498454681674,2.2732507781307576,55.941358024691354,DIP95,DIP95,1.5666071611283563,1.428871773503027,5.4,5.4,2.9107325777331887,3.1350176235517715,1.5443770794416194,1.3201303503404864,298.08333333333337,9.671064631245045,1.2733006406802183,0,8235,8235,1296
b_risk_54_day_36,NO_CUT_SLICE_BALANCED,"DIP95 and actual maxDD against 5.4%, worst day against 3.6%",5.4,3.6,True,6.380226279914938,4.790692830359638,3.7693050617078114,0.9146798294026209,5.504797728393551,1.389765054720298,3.1054047918041428,9.889865238548818,7.45558382065404,13.915773229545481,37.27791910327019,1.854422247412248,1.9360111389043924,53.85802469135802,DIP95,DIP95,1.3203975437142366,1.2083697636536437,5.4,5.4,2.7842851188579636,3.273692198651823,1.199856584359754,1.1262068511398442,355.66666666666663,11.96723830293418,1.1658457022340416,0,8235,8235,1296
c_actual_path_only,NO_CUT,"actual maxDD and worst day against 3.6%; DIP95 measured, never binding",3.6,3.6,False,8.826326663054015,6.711772924131435,3.0494097286978246,1.2454808434097013,6.002992489720315,1.4927876540061056,3.629396290190667,17.271559158278396,10.533612105406831,19.588602405523798,52.66806052703415,1.1121450835430842,2.285192939030087,55.941358024691354,actual maxDD,actual maxDD,1.937582938125569,1.6408004682229342,6.678731034487346,6.200922079020323,3.6,3.6,1.9100887276699396,1.5159306364094731,298.08333333333337,9.671064631245045,1.521210430748824,0,8235,8235,1296
c_actual_path_only,NO_CUT_SLICE_BALANCED,"actual maxDD and worst day against 3.6%; DIP95 measured, never binding",3.6,3.6,False,8.249447749487288,5.26820884272418,4.145013458423605,1.1826545218185378,6.713149434874827,1.397627092538182,3.0990357870127543,11.166214996585664,9.256822288099816,17.992691656130404,46.28411144049907,2.039263218891923,1.9565707814643858,53.85802469135802,actual maxDD,actual maxDD,1.7072357730809469,1.3288149542417564,6.982043565988583,5.938249175657324,3.6,3.6,1.5513798046181586,1.238462389889039,355.66666666666663,11.96723830293418,1.3987791633128333,0,8235,8235,1296
