family,fast,slow,state,lead,lift,surr,surr_sd,excess,p
mas,1,2,product M=5,1,0.9829930047043087,0.9824957199383894,0.036564946608916946,0.0004972847659193702,0.47619047619047616
mas,1,2,structural M=5,1,0.9906869732035498,1.0051853889637885,0.05933225319226945,-0.014498415760238692,0.6190476190476191
mas,1,2,nine-box,1,0.9671529949208887,0.954623752436053,0.025773825212367946,0.012529242484835668,0.23809523809523808
mas,1,2,product M=5,3,0.9912252243770118,0.9973880525959748,0.012981512094943795,-0.006162828218963079,0.6666666666666666
mas,1,2,structural M=5,3,0.9941330761237818,0.9734571298357133,0.020107826128020003,0.02067594628806846,0.2857142857142857
mas,1,2,nine-box,3,0.9776768033970412,0.9760020035721266,0.010538587812305367,0.0016747998249145857,0.42857142857142855
mas,1,3,product M=5,1,0.9784816705021414,1.0010348414852053,0.04341191582947744,-0.022553170983063864,0.6190476190476191
mas,1,3,structural M=5,1,0.9825628081260025,1.0217897231207873,0.06011773289081752,-0.03922691499478481,0.8095238095238095
mas,1,3,nine-box,1,0.9527395739990155,0.9508938860557945,0.021221011460903372,0.0018456879432210416,0.5238095238095238
mas,1,3,product M=5,3,0.9667436415401938,0.9847630238664224,0.020383392087221834,-0.018019382326228683,0.8095238095238095
mas,1,3,structural M=5,3,0.9589093426265832,0.9639833440941088,0.03187737536797231,-0.0050740014675255685,0.5714285714285714
mas,1,3,nine-box,3,0.9679714135904891,0.9740353495393288,0.013112944225541288,-0.006063935948839694,0.7142857142857143
mas,1,4,product M=5,1,1.0258944610209493,1.0299260741764635,0.04653822702529479,-0.004031613155514258,0.47619047619047616
mas,1,4,structural M=5,1,1.0029880470746402,1.005742206885773,0.054985251543896746,-0.002754159811132917,0.5714285714285714
mas,1,4,nine-box,1,0.9666003083270567,0.9604072471063126,0.020074218504128594,0.006193061220744034,0.38095238095238093
mas,1,4,product M=5,3,0.9497479895790796,0.9735947119526186,0.017544917516597855,-0.02384672237353902,0.8571428571428571
mas,1,4,structural M=5,3,0.9451607807024766,0.9513314153014832,0.029178488641676624,-0.006170634599006686,0.6666666666666666
mas,1,4,nine-box,3,0.9688719720001426,0.9781567184421638,0.010687296732348415,-0.009284746442021152,0.8571428571428571
mas,1,5,product M=5,1,0.9823355577979552,1.0002561797181855,0.04668406957398063,-0.01792062192023025,0.6190476190476191
mas,1,5,structural M=5,1,1.000755814550044,1.0014943600673534,0.063593017909268,-0.0007385455173094524,0.6190476190476191
mas,1,5,nine-box,1,0.9874093014944492,0.9705304266177628,0.022766395451828618,0.01687887487668638,0.2857142857142857
mas,1,5,product M=5,3,0.9308240394885793,0.9524953749062517,0.019971150047792735,-0.02167133541767241,0.8571428571428571
mas,1,5,structural M=5,3,0.9245152011109458,0.9287617918962526,0.03087786966318632,-0.00424659078530687,0.5238095238095238
mas,1,5,nine-box,3,0.9686574749309995,0.9764369667554258,0.011904730998880977,-0.007779491824426277,0.7142857142857143
mas,1,6,product M=5,1,0.9585076509896435,0.9917587276353176,0.03088243440718456,-0.03325107664567406,0.8571428571428571
mas,1,6,structural M=5,1,1.0456703582461435,0.9869815846862423,0.05586982100957098,0.05868877355990121,0.23809523809523808
mas,1,6,nine-box,1,1.0047356989861944,0.9842499228566115,0.02582526659883983,0.02048577612958291,0.23809523809523808
mas,1,6,product M=5,3,0.9313161621633844,0.970464649719274,0.016564576127938616,-0.03914848755588962,1.0
mas,1,6,structural M=5,3,0.9544000955886809,0.9766723504610348,0.02758443919609326,-0.022272254872353958,0.8095238095238095
mas,1,6,nine-box,3,0.9788258889696757,0.9818579894580642,0.012116174469019237,-0.003032100488388534,0.5714285714285714
mas,1,8,product M=5,1,1.027180508543913,1.0158518211468934,0.04338328278511667,0.011328687397019532,0.42857142857142855
mas,1,8,structural M=5,1,1.089771058545942,1.0648700691473971,0.05328336846500508,0.024900989398544793,0.2857142857142857
