block,bucket,state,days,mean_share
is,low,trending,1101,0.28558453354093677
is,low,ranging,1101,0.3204229920851175
is,low,trend-in-range,1101,0.2127935642922019
is,low,neither,1101,0.18119891008174388
is,mid,trending,1100,0.29938311688311686
is,mid,ranging,1100,0.323538961038961
is,mid,trend-in-range,1100,0.1798051948051948
is,mid,neither,1100,0.19727272727272724
is,high,trending,1100,0.3566883116883117
is,high,ranging,1100,0.2793181818181818
is,high,trend-in-range,1100,0.18668831168831165
is,high,neither,1100,0.1773051948051948
oos,low,trending,1453,0.23589125946317963
oos,low,ranging,1453,0.36955559925277753
oos,low,trend-in-range,1453,0.19469570347065182
oos,low,neither,1453,0.199857437813391
oos,mid,trending,520,0.25322802197802197
oos,mid,ranging,520,0.37891483516483515
oos,mid,trend-in-range,520,0.18928571428571428
oos,mid,neither,520,0.17857142857142858
oos,high,trending,670,0.2513859275053305
oos,high,ranging,670,0.3415245202558635
oos,high,trend-in-range,670,0.19291044776119404
oos,high,neither,670,0.21417910447761193
