    null round: 500 trials, best 7.672%, members 2
    null round: 498 trials, best 8.921%, members 3
    null round: 496 trials, best 10.151%, members 4
    null round: 494 trials, best 11.407%, members 5
    null round: 492 trials, best 13.664%, members 6
    null round: 490 trials, best 15.221%, members 7
    null round: 488 trials, best 16.363%, members 8
    null round: 486 trials, best 17.220%, members 9
    null round: 484 trials, best 17.738%, members 10
    null round: 482 trials, best 18.144%, members 11
    null round: 480 trials, best 18.743%, members 12
    null round: 478 trials, best 19.945%, members 13
    null round: 476 trials, best 20.262%, members 14
    null round: 474 trials, best 20.860%, members 15
    null round: 472 trials, best 21.399%, members 16
    null round: 470 trials, best 21.847%, members 17
    null round: 468 trials, best 22.105%, members 18
    null round: 466 trials, best 22.300%, members 19
    null round: 464 trials, best 22.563%, members 20
    null round: 462 trials, best 22.644%, members 21
    null round: 460 trials, best 22.857%, members 22
    null round: 458 trials, best 22.857%, members 23
    null round: 504 trials, best 4.146%, members 0
    null round: 502 trials, best 6.047%, members 1
    null round: 500 trials, best 7.672%, members 2
    null round: 498 trials, best 8.921%, members 3
    null round: 496 trials, best 10.151%, members 4
    null round: 494 trials, best 11.407%, members 5
    null round: 492 trials, best 13.664%, members 6
    null round: 490 trials, best 15.221%, members 7
    null round: 488 trials, best 16.363%, members 8
    null round: 486 trials, best 17.220%, members 9
    null round: 484 trials, best 17.738%, members 10
    null round: 482 trials, best 18.144%, members 11
    null round: 480 trials, best 18.743%, members 12
    null round: 478 trials, best 19.945%, members 13
    null round: 476 trials, best 20.262%, members 14
    null round: 474 trials, best 20.860%, members 15
    null round: 472 trials, best 21.399%, members 16
    null round: 470 trials, best 21.847%, members 17
    null round: 468 trials, best 22.105%, members 18
    null round: 466 trials, best 22.300%, members 19
    null round: 464 trials, best 22.563%, members 20
    null round: 462 trials, best 22.644%, members 21
    null round: 460 trials, best 22.857%, members 22
    null round: 458 trials, best 22.857%, members 23
    null round: 504 trials, best 4.198%, members 0
    null round: 502 trials, best 6.087%, members 1
    null round: 500 trials, best 7.617%, members 2
    null round: 498 trials, best 9.288%, members 3
    null round: 496 trials, best 10.500%, members 4
    null round: 494 trials, best 11.678%, members 5
    null round: 492 trials, best 12.756%, members 6
    null round: 490 trials, best 13.673%, members 7
    null round: 488 trials, best 14.383%, members 8
    null round: 486 trials, best 15.331%, members 9
    null round: 484 trials, best 16.282%, members 10
    null round: 482 trials, best 18.017%, members 11
    null round: 480 trials, best 18.724%, members 12
    null round: 478 trials, best 19.488%, members 13
    null round: 476 trials, best 19.912%, members 14
    null round: 474 trials, best 20.217%, members 15
    null round: 472 trials, best 20.481%, members 16
    null round: 470 trials, best 20.610%, members 17
    null round: 468 trials, best 21.066%, members 18
    null round: 466 trials, best 21.238%, members 19
    null round: 464 trials, best 21.238%, members 20
    null round: 504 trials, best 4.191%, members 0
    null round: 502 trials, best 5.982%, members 1
    null round: 500 trials, best 7.763%, members 2
    null round: 498 trials, best 9.212%, members 3
    null round: 496 trials, best 10.310%, members 4
    null round: 494 trials, best 12.593%, members 5
    null round: 492 trials, best 13.602%, members 6
    null round: 490 trials, best 14.465%, members 7
    null round: 488 trials, best 15.268%, members 8
    null round: 486 trials, best 16.333%, members 9
    null round: 484 trials, best 17.018%, members 10
    null round: 482 trials, best 17.571%, members 11
    null round: 480 trials, best 18.441%, members 12
    null round: 478 trials, best 18.999%, members 13
    null round: 476 trials, best 19.715%, members 14
    null round: 474 trials, best 20.276%, members 15
    null round: 472 trials, best 20.602%, members 16
    null round: 470 trials, best 20.844%, members 17
    null round: 468 trials, best 21.015%, members 18
    null round: 466 trials, best 21.255%, members 19
    null round: 464 trials, best 21.335%, members 20
    null round: 462 trials, best 21.391%, members 21
    null round: 460 trials, best 22.049%, members 22
    null round: 458 trials, best 22.146%, members 23
    null round: 456 trials, best 22.784%, members 24
    null round: 454 trials, best 23.283%, members 25
    null round: 452 trials, best 23.413%, members 26
    null round: 450 trials, best 23.511%, members 27
    null round: 448 trials, best 23.511%, members 28
    null round: 504 trials, best 4.180%, members 0
    null round: 502 trials, best 6.049%, members 1
    null round: 500 trials, best 7.777%, members 2
    null round: 498 trials, best 9.124%, members 3
    null round: 496 trials, best 10.388%, members 4
    null round: 494 trials, best 11.594%, members 5
    null round: 492 trials, best 13.718%, members 6
    null round: 490 trials, best 15.092%, members 7
    null round: 488 trials, best 15.939%, members 8
    null round: 486 trials, best 17.001%, members 9
    null round: 484 trials, best 17.545%, members 10
    null round: 482 trials, best 18.140%, members 11
    null round: 480 trials, best 18.832%, members 12
    null round: 478 trials, best 19.615%, members 13
    null round: 476 trials, best 20.555%, members 14
    null round: 474 trials, best 20.908%, members 15
    null round: 472 trials, best 21.224%, members 16
    null round: 470 trials, best 21.473%, members 17
    null round: 468 trials, best 21.711%, members 18
    null round: 466 trials, best 21.860%, members 19
    null round: 464 trials, best 21.929%, members 20
    null round: 462 trials, best 22.158%, members 21
    null round: 460 trials, best 22.847%, members 22
    null round: 458 trials, best 22.993%, members 23
    null round: 456 trials, best 22.993%, members 24
    null round: 504 trials, best 4.178%, members 0
    null round: 502 trials, best 6.057%, members 1
    null round: 500 trials, best 7.761%, members 2
    null round: 498 trials, best 9.115%, members 3
    null round: 496 trials, best 10.418%, members 4
    null round: 494 trials, best 11.560%, members 5
    null round: 492 trials, best 13.745%, members 6
    null round: 490 trials, best 15.102%, members 7
    null round: 488 trials, best 15.932%, members 8
    null round: 486 trials, best 16.861%, members 9
    null round: 484 trials, best 17.733%, members 10
    null round: 482 trials, best 18.353%, members 11
    null round: 480 trials, best 18.955%, members 12
    null round: 478 trials, best 19.371%, members 13
    null round: 476 trials, best 19.939%, members 14
    null round: 474 trials, best 20.298%, members 15
    null round: 472 trials, best 20.584%, members 16
    null round: 470 trials, best 21.224%, members 17
    null round: 468 trials, best 21.388%, members 18
    null round: 466 trials, best 21.388%, members 19
    null round: 504 trials, best 4.145%, members 0
    null round: 502 trials, best 6.043%, members 1
    null round: 500 trials, best 7.843%, members 2
    null round: 498 trials, best 9.142%, members 3
    null round: 496 trials, best 10.172%, members 4
    null round: 494 trials, best 11.780%, members 5
    null round: 492 trials, best 13.460%, members 6
    null round: 490 trials, best 14.283%, members 7
    null round: 488 trials, best 14.945%, members 8
    null round: 486 trials, best 15.864%, members 9
    null round: 484 trials, best 16.572%, members 10
    null round: 482 trials, best 17.080%, members 11
    null round: 480 trials, best 17.632%, members 12
    null round: 478 trials, best 17.997%, members 13
    null round: 476 trials, best 18.330%, members 14
    null round: 474 trials, best 19.047%, members 15
    null round: 472 trials, best 19.900%, members 16
    null round: 470 trials, best 20.265%, members 17
    null round: 468 trials, best 20.379%, members 18
    null round: 466 trials, best 20.647%, members 19
    null round: 464 trials, best 21.174%, members 20
    null round: 462 trials, best 21.733%, members 21
    null round: 460 trials, best 21.795%, members 22
    null round: 458 trials, best 21.877%, members 23
    null round: 456 trials, best 22.590%, members 24
    null round: 454 trials, best 22.765%, members 25
    null round: 452 trials, best 23.122%, members 26
    null round: 450 trials, best 23.331%, members 27
    null round: 448 trials, best 23.331%, members 28
    null round: 504 trials, best 4.208%, members 0
    null round: 502 trials, best 6.046%, members 1
    null round: 500 trials, best 7.790%, members 2
    null round: 498 trials, best 9.106%, members 3
    null round: 496 trials, best 10.435%, members 4
    null round: 494 trials, best 11.566%, members 5
    null round: 492 trials, best 13.793%, members 6
    null round: 490 trials, best 15.201%, members 7
    null round: 488 trials, best 16.126%, members 8
    null round: 486 trials, best 16.867%, members 9
    null round: 484 trials, best 17.607%, members 10
    null round: 482 trials, best 18.213%, members 11
    null round: 480 trials, best 19.190%, members 12
    null round: 478 trials, best 19.565%, members 13
    null round: 476 trials, best 19.902%, members 14
    null round: 474 trials, best 20.128%, members 15
    null round: 472 trials, best 20.779%, members 16
    null round: 470 trials, best 21.404%, members 17
    null round: 468 trials, best 21.616%, members 18
    null round: 466 trials, best 22.449%, members 19
    null round: 464 trials, best 22.703%, members 20
    null round: 462 trials, best 22.847%, members 21
    null round: 460 trials, best 22.920%, members 22
    null round: 458 trials, best 23.009%, members 23
    null round: 456 trials, best 23.125%, members 24
    null round: 454 trials, best 23.591%, members 25
    null round: 452 trials, best 23.591%, members 26
    null round: 504 trials, best 4.152%, members 0
    null round: 502 trials, best 6.016%, members 1
    null round: 500 trials, best 7.642%, members 2
    null round: 498 trials, best 9.450%, members 3
    null round: 496 trials, best 10.593%, members 4
    null round: 494 trials, best 11.908%, members 5
    null round: 492 trials, best 13.767%, members 6
    null round: 490 trials, best 15.110%, members 7
    null round: 488 trials, best 15.832%, members 8
    null round: 486 trials, best 16.543%, members 9
    null round: 484 trials, best 17.611%, members 10
    null round: 482 trials, best 18.572%, members 11
    null round: 480 trials, best 18.904%, members 12
    null round: 478 trials, best 19.923%, members 13
    null round: 476 trials, best 20.742%, members 14
    null round: 474 trials, best 20.939%, members 15
    null round: 472 trials, best 21.791%, members 16
    null round: 470 trials, best 21.791%, members 17
    null round: 504 trials, best 4.169%, members 0
    null round: 502 trials, best 5.979%, members 1
    null round: 500 trials, best 7.683%, members 2
    null round: 498 trials, best 9.303%, members 3
    null round: 496 trials, best 10.589%, members 4
    null round: 494 trials, best 12.735%, members 5
    null round: 492 trials, best 13.849%, members 6
    null round: 490 trials, best 15.189%, members 7
    null round: 488 trials, best 16.362%, members 8
    null round: 486 trials, best 16.840%, members 9
    null round: 484 trials, best 17.444%, members 10
    null round: 482 trials, best 18.183%, members 11
    null round: 480 trials, best 18.862%, members 12
    null round: 478 trials, best 19.150%, members 13
    null round: 476 trials, best 19.494%, members 14
    null round: 474 trials, best 20.047%, members 15
    null round: 472 trials, best 20.572%, members 16
    null round: 470 trials, best 21.054%, members 17
    null round: 468 trials, best 21.598%, members 18
    null round: 466 trials, best 21.598%, members 19
    null round: 504 trials, best 4.143%, members 0
    null round: 502 trials, best 6.080%, members 1
    null round: 500 trials, best 7.660%, members 2
    null round: 498 trials, best 9.329%, members 3
    null round: 496 trials, best 10.668%, members 4
    null round: 494 trials, best 12.675%, members 5
    null round: 492 trials, best 13.837%, members 6
    null round: 490 trials, best 15.162%, members 7
    null round: 488 trials, best 16.340%, members 8
    null round: 486 trials, best 16.834%, members 9
    null round: 484 trials, best 17.356%, members 10
    null round: 482 trials, best 17.845%, members 11
    null round: 480 trials, best 18.254%, members 12
    null round: 478 trials, best 18.470%, members 13
    null round: 476 trials, best 19.205%, members 14
    null round: 474 trials, best 19.812%, members 15
    null round: 472 trials, best 20.952%, members 16
    null round: 470 trials, best 21.092%, members 17
    null round: 468 trials, best 21.584%, members 18
    null round: 466 trials, best 21.584%, members 19
    null round: 504 trials, best 4.167%, members 0
    null round: 502 trials, best 5.966%, members 1
    null round: 500 trials, best 7.676%, members 2
    null round: 498 trials, best 9.311%, members 3
    null round: 496 trials, best 10.611%, members 4
    null round: 494 trials, best 11.827%, members 5
    null round: 492 trials, best 12.768%, members 6
    null round: 490 trials, best 13.473%, members 7
    null round: 488 trials, best 14.136%, members 8
    null round: 486 trials, best 14.752%, members 9
    null round: 484 trials, best 15.404%, members 10
    null round: 482 trials, best 15.904%, members 11
    null round: 480 trials, best 16.625%, members 12
    null round: 478 trials, best 17.375%, members 13
    null round: 476 trials, best 18.198%, members 14
    null round: 474 trials, best 18.786%, members 15
    null round: 472 trials, best 18.950%, members 16
    null round: 470 trials, best 19.363%, members 17
    null round: 468 trials, best 20.782%, members 18
    null round: 466 trials, best 21.216%, members 19
    null round: 464 trials, best 21.289%, members 20
    null round: 462 trials, best 21.289%, members 21
    null round: 504 trials, best 4.189%, members 0
    null round: 502 trials, best 5.989%, members 1
    null round: 500 trials, best 7.572%, members 2
    null round: 498 trials, best 9.259%, members 3
    null round: 496 trials, best 10.565%, members 4
    null round: 494 trials, best 11.813%, members 5
    null round: 492 trials, best 12.700%, members 6
    null round: 490 trials, best 13.645%, members 7
    null round: 488 trials, best 14.388%, members 8
    null round: 486 trials, best 14.986%, members 9
    null round: 484 trials, best 15.957%, members 10
    null round: 482 trials, best 16.657%, members 11
    null round: 480 trials, best 18.126%, members 12
    null round: 478 trials, best 18.989%, members 13
    null round: 476 trials, best 20.236%, members 14
    null round: 474 trials, best 21.334%, members 15
    null round: 472 trials, best 21.629%, members 16
    null round: 470 trials, best 22.076%, members 17
    null round: 468 trials, best 22.676%, members 18
    null round: 466 trials, best 23.016%, members 19
    null round: 464 trials, best 23.016%, members 20
    null round: 504 trials, best 4.141%, members 0
    null round: 502 trials, best 6.028%, members 1
    null round: 500 trials, best 7.669%, members 2
    null round: 498 trials, best 8.849%, members 3
    null round: 496 trials, best 10.365%, members 4
    null round: 494 trials, best 12.453%, members 5
    null round: 492 trials, best 13.672%, members 6
    null round: 490 trials, best 14.626%, members 7
    null round: 488 trials, best 15.326%, members 8
    null round: 486 trials, best 16.019%, members 9
    null round: 484 trials, best 17.056%, members 10
    null round: 482 trials, best 17.829%, members 11
    null round: 480 trials, best 18.345%, members 12
    null round: 478 trials, best 18.704%, members 13
    null round: 476 trials, best 19.137%, members 14
    null round: 474 trials, best 19.368%, members 15
    null round: 472 trials, best 20.079%, members 16
    null round: 470 trials, best 20.217%, members 17
    null round: 468 trials, best 20.982%, members 18
    null round: 466 trials, best 21.258%, members 19
    null round: 464 trials, best 21.496%, members 20
    null round: 462 trials, best 22.092%, members 21
    null round: 460 trials, best 22.092%, members 22
    null round: 504 trials, best 4.218%, members 0
    null round: 502 trials, best 6.066%, members 1
    null round: 500 trials, best 7.828%, members 2
    null round: 498 trials, best 9.066%, members 3
    null round: 496 trials, best 10.384%, members 4
    null round: 494 trials, best 11.503%, members 5
    null round: 492 trials, best 12.549%, members 6
    null round: 490 trials, best 14.664%, members 7
