pair,oanda_bars,oanda_first,placeholder_bars,oanda_real_from,oanda_real_bars,oanda_last,oanda_flat,oanda_bad_high,oanda_bad_low,oanda_jump10,yahoo_flat,yahoo_bad_high,yahoo_bad_low,yahoo_jump10,yahoo_bars,yahoo_first,yahoo_last,shared_bars,med_diff_pct,p99_diff_pct,over_1pct,only_oanda,only_yahoo
AUDCAD,5768,2004-06-01,154,2005-01-03,5614,2026-08-14,0,0,0,0,15,0,0,1,5888,2003-12-01,2026-08-14,5582,0.123,1.4189,181,32,306
AUDCHF,5767,2004-06-01,152,2005-01-03,5615,2026-08-14,0,0,0,1,24,0,0,1,5860,2003-12-01,2026-08-14,5561,0.1418,1.8277,287,54,299
AUDJPY,5767,2004-06-01,152,2005-01-03,5615,2026-08-14,0,0,0,3,13,0,0,4,5888,2003-12-01,2026-08-14,5583,0.1716,2.5328,452,32,305
AUDNZD,5790,2004-05-04,173,2005-01-03,5617,2026-08-14,2,0,0,0,12,0,0,0,5888,2003-12-01,2026-08-14,5585,0.1203,1.2199,103,32,303
AUDUSD,6284,2002-06-03,669,2005-01-03,5615,2026-08-14,0,0,0,0,13,0,0,0,5247,2006-05-15,2026-08-14,5225,0.1389,1.9616,340,390,22
CADCHF,5769,2004-06-01,154,2005-01-03,5615,2026-08-14,0,0,0,1,4,0,0,1,5885,2003-12-01,2026-08-14,5580,0.1094,1.6839,253,35,305
CADJPY,5769,2004-06-01,154,2005-01-03,5615,2026-08-14,0,0,0,0,14,0,0,0,5699,2004-08-19,2026-08-14,5582,0.1438,2.1277,407,33,117
CHFJPY,5766,2004-06-01,152,2005-01-03,5614,2026-08-14,0,0,0,1,12,0,0,1,5887,2003-12-01,2026-08-14,5581,0.1155,1.6618,237,33,306
EURAUD,5767,2004-06-01,152,2005-01-03,5615,2026-08-14,0,0,0,0,12,0,0,0,5885,2003-12-01,2026-08-14,5580,0.1197,1.5565,222,35,305
EURCAD,5769,2004-06-01,154,2005-01-03,5615,2026-08-14,1,0,0,0,4,0,0,0,5872,2003-12-01,2026-08-14,5567,0.0957,1.4513,182,48,305
EURCHF,6286,2002-06-03,671,2005-01-03,5615,2026-08-14,0,0,0,1,14,0,0,1,6091,2003-01-23,2026-08-14,5565,0.0511,1.0427,61,50,526
EURGBP,6285,2002-06-03,670,2005-01-03,5615,2026-08-14,0,0,0,0,9,0,0,2,7164,1999-01-04,2026-08-14,5584,0.0748,1.2324,122,31,1580
EURJPY,6286,2002-06-03,671,2005-01-03,5615,2026-08-14,0,0,0,0,12,0,0,0,6093,2003-01-23,2026-08-14,5567,0.1183,1.913,287,48,526
EURNZD,5768,2004-06-01,153,2005-01-03,5615,2026-08-14,2,0,0,0,4,0,0,0,5886,2003-12-01,2026-08-14,5581,0.1419,1.6239,291,34,305
EURUSD,6286,2002-06-03,671,2005-01-03,5615,2026-08-14,1,0,0,0,14,0,0,2,5869,2003-12-01,2026-08-14,5564,0.0869,1.5174,204,51,305
GBPAUD,5769,2004-06-01,110,2004-11-02,5659,2026-08-14,43,0,0,0,12,0,0,0,6015,2003-06-02,2026-08-14,5625,0.1252,1.5769,241,34,390
GBPCAD,5768,2004-06-01,154,2005-01-03,5614,2026-08-14,1,0,0,0,12,0,0,0,5886,2003-12-01,2026-08-14,5580,0.0995,1.4264,199,34,306
GBPCHF,6286,2002-06-03,671,2005-01-03,5615,2026-08-14,0,0,0,1,2,0,0,1,5927,2003-09-30,2026-08-14,5579,0.0872,1.4589,175,36,348
GBPJPY,6285,2002-06-03,670,2005-01-03,5615,2026-08-14,0,0,0,1,13,0,0,1,5885,2003-12-01,2026-08-14,5580,0.1314,1.9295,335,35,305
GBPNZD,5771,2004-06-01,154,2005-01-03,5617,2026-08-14,2,0,0,0,4,0,0,0,6013,2003-06-02,2026-08-14,5582,0.1495,1.726,313,35,431
GBPUSD,6287,2002-06-03,672,2005-01-03,5615,2026-08-14,0,0,0,0,17,0,0,0,5881,2003-12-01,2026-08-14,5576,0.0896,1.4708,208,39,305
NZDCAD,5769,2004-06-01,154,2005-01-03,5615,2026-08-14,1,0,0,0,15,0,0,0,5885,2003-12-01,2026-08-14,5580,0.1541,1.6616,275,35,305
NZDCHF,5769,2004-06-01,152,2005-01-03,5617,2026-08-14,2,0,0,1,13,0,0,1,5858,2003-12-01,2026-08-14,5579,0.1664,1.9431,347,38,279
NZDJPY,5768,2004-06-01,152,2005-01-03,5616,2026-08-14,3,0,0,0,12,0,0,1,5885,2003-12-01,2026-08-14,5581,0.1907,2.4813,497,35,304
NZDUSD,6206,2002-09-24,588,2005-01-03,5618,2026-08-14,0,0,0,0,20,0,0,0,5871,2003-12-01,2026-08-14,5580,0.1693,1.9712,416,38,291
USDCAD,6285,2002-06-03,670,2005-01-03,5615,2026-08-14,1,0,0,0,3,0,0,0,5937,2003-09-16,2026-08-14,5579,0.0857,1.464,179,36,358
USDCHF,6284,2002-06-03,670,2005-01-03,5614,2026-08-14,0,0,0,1,14,0,0,1,5935,2003-09-16,2026-08-14,5576,0.0911,1.4453,207,38,359
USDJPY,6286,2002-06-03,670,2005-01-03,5616,2026-08-14,0,0,0,0,5,0,0,3,7299,1998-05-29,2026-08-14,5565,0.1159,1.622,214,51,1734
