case,mechanism,quantity,value,relative
USDJPY 2013-03-06,SSL Hlv latch tie on 2013-03-01,"close - sma(high,10)",-2.000e-04,2.137e-06
GBPUSD 2016-04-05,DSPO sign tie on the bar,"ema(hl2,14) - ema(hl2,28)",4.178e-06,4.550e-04
