,team1|NO_CUT,team2|NO_CUT
2016-01-05,0.0,0.0
2016-01-06,0.0,0.0
2016-01-07,0.0,0.0
2016-01-08,0.0,0.0
2016-01-11,0.0,0.0
2016-01-12,0.0019758182294771637,0.0029637273442157455
2016-01-13,0.003275895852822754,0.0049138437792341306
2016-01-14,0.008675576815035562,0.013013365222553343
2016-01-15,0.025734359800836118,0.038601539701254184
2016-01-18,-0.012202175655438087,-0.01830326348315713
2016-01-19,0.007777918303688286,0.01166687745553243
2016-01-20,-0.003964493918543583,-0.005946740877815374
2016-01-21,-0.07794271386758143,-0.11691407080137216
2016-01-22,0.04917765793465413,0.07376648690198119
2016-01-25,-0.02586895421774801,-0.03880343132662202
2016-01-26,0.027863585011996702,0.04179537751799505
2016-01-27,0.009903288364823761,0.014854932547235642
2016-01-28,-0.011849478995706203,-0.017774218493559306
2016-01-29,0.11223438208318619,0.16835157312477927
2016-02-01,-0.0933629512794303,-0.14004442691914545
2016-02-02,-0.1000613347952888,-0.1500920021929332
2016-02-03,-0.008217925553944646,-0.012326888330916969
2016-02-04,-0.003663422455028714,-0.005495133682543072
2016-02-05,-0.03868043969148105,-0.05802065953722158
2016-02-08,0.014472164431312327,0.021708246646968493
2016-02-09,0.02881830462293414,0.043227456934401214
2016-02-10,0.033517819156949014,0.05027672873542352
2016-02-11,0.06477510181366371,0.09716265272049557
2016-02-12,-0.16463464436456765,-0.2469519665468515
2016-02-15,-0.04031722984362441,-0.06047584476543661
2016-02-16,-0.005179106695451772,-0.007768660043177658
2016-02-17,-0.0031501920529753862,-0.00472528807946308
2016-02-18,0.05108471950197048,0.07662707925295573
2016-02-19,0.0019186889342971514,0.0028780334014457272
2016-02-22,0.1269687202423605,0.19045308036354075
2016-02-23,0.007956708606804128,0.011935062910206191
2016-02-24,0.03997319757920281,0.059959796368804226
2016-02-25,-0.02263292604384274,-0.03394938906576411
2016-02-26,0.026259698683515766,0.03938954802527365
2016-02-29,-0.008018111775956786,-0.01202716766393518
2016-03-01,-0.026478747608209473,-0.039718121412314206
2016-03-02,-0.012240443744954423,-0.018360665617431635
2016-03-03,-0.011550796647240007,-0.01732619497086001
2016-03-04,0.047092465401727346,0.07063869810259102
2016-03-07,-0.0018347300643463797,-0.0027520950965195697
2016-03-08,-0.030440898669722345,-0.04566134800458352
2016-03-09,-0.03031872560859996,-0.04547808841289994
2016-03-10,0.01678776531494941,0.02518164797242412
2016-03-11,0.02755066124574239,0.04132599186861358
2016-03-14,-0.030788508876471873,-0.04618276331470781
2016-03-15,-0.0021142954004041334,-0.0031714431006062
2016-03-16,-0.002925630292113327,-0.00438844543816999
2016-03-17,0.12443117800299984,0.18664676700449975
2016-03-18,-0.06372515871111052,-0.09558773806666578
2016-03-21,-0.035778413848483924,-0.05366762077272589
2016-03-22,-0.028290652990650027,-0.042435979485975044
2016-03-23,-0.03354054931936071,-0.05031082397904106
2016-03-24,0.0052274234316086075,0.00784113514741291
2016-03-25,-0.017023890436143954,-0.02553583565421593
2016-03-28,-0.05369329227064143,-0.08053993840596214
2016-03-29,0.09499128597272388,0.14248692895908582
2016-03-30,0.06559551735901785,0.09839327603852678
2016-03-31,0.04536111735524631,0.06804167603286947
2016-04-01,0.07470183597735319,0.11205275396602979
2016-04-04,-0.13554690793028937,-0.20332036189543407
2016-04-05,-0.01654043507775364,-0.024810652616630458
2016-04-06,0.024667451560739774,0.037001177341109664
2016-04-07,0.017358067993407545,0.02603710199011132
2016-04-08,-0.03986778035984077,-0.059801670539761154
2016-04-11,-0.06106765837846957,-0.09160148756770436
2016-04-12,-0.09448426042376173,-0.1417263906356426
2016-04-13,-0.00742802450917554,-0.01114203676376331
2016-04-14,-0.07347388863649061,-0.11021083295473591
2016-04-15,0.10642191355603337,0.15963287033405005
2016-04-18,-0.028003313085493906,-0.04200496962824086
2016-04-19,0.06127139953853834,0.09190709930780752
2016-04-20,0.0017745922202990912,0.002661888330448637
2016-04-21,-0.08889238636106545,-0.13333857954159817
2016-04-22,-0.03792543731430347,-0.056888155971455204
2016-04-25,-0.06197040372930707,-0.09295560559396061
2016-04-26,0.09982593882413984,0.14973890823620978
2016-04-27,-0.21685597541284563,-0.32528396311926844
2016-04-28,-0.06199204423621181,-0.09298806635431771
2016-04-29,-0.03687835757549741,-0.055317536363246114
2016-05-02,-0.020823685168624834,-0.031235527752937253
2016-05-03,-0.09324162411973286,-0.1398624361795993
2016-05-04,0.007888482105782526,0.011832723158673788
2016-05-05,0.017754833320338132,0.0266322499805072
2016-05-06,0.10901884919928635,0.16352827379892954
2016-05-09,-0.051309805949034636,-0.07696470892355195
2016-05-10,-0.0423605816778063,-0.06354087251670945
2016-05-11,-0.02205240539283903,-0.03307860808925855
2016-05-12,-0.019028293709479466,-0.0285424405642192
2016-05-13,0.02165431987323373,0.0324814798098506
2016-05-16,-0.02022617193920141,-0.03033925790880211
2016-05-17,-0.032133092764840214,-0.04819963914726032
2016-05-18,0.0148926148279358,0.0223389222419037
