,clean-small,clean-medium,clean-big,mixed-small,mixed-medium,mixed-big,messy-small,messy-medium,messy-big
clean-small,0.8492820282701369,0.04397576845411712,0.00016827462418667264,0.08997083239847431,0.004879964101413507,0.0,0.011162216737715952,0.0005609154139555755,0.0
clean-medium,0.03182356423919479,0.8280047365304914,0.046033155713439904,0.0061180185514110915,0.07460035523978685,0.003404381290704559,0.0011347937635681864,0.008486283797118611,0.00039471087428458656
clean-big,0.0002145577428525452,0.03261277691358687,0.8753419514026712,5.36394357131363e-05,0.007670439306978491,0.07718714799120313,0.0001072788714262726,0.0010191492785495897,0.00579305905701872
mixed-small,0.07667017359284586,0.004997369805365597,0.0,0.7418463966333508,0.034236366824478344,0.0002630194634402946,0.1334823776959495,0.008504295984569525,0.0
mixed-medium,0.006202326835657601,0.06787888126974344,0.002812235149086987,0.024578164727636954,0.7374990369057709,0.03001001617998305,0.009823561137221666,0.11541721242006318,0.005778565374836274
mixed-big,0.0,0.005888030888030888,0.06196911196911197,0.00019305019305019305,0.03349420849420849,0.7702702702702703,4.826254826254826e-05,0.012403474903474904,0.11573359073359073
messy-small,0.003986985014435635,0.0,0.0,0.14742679070620046,0.00797397002887127,0.0,0.8060125567114248,0.03455387012510884,4.582741395903029e-05
messy-medium,0.0014069786139250683,0.003135552339604438,0.0,0.011456825856246985,0.12622608136356328,0.005828911400546712,0.028018974111593504,0.7940585303103392,0.029868146004180737
messy-big,0.0003686927209522806,0.0011060781628568419,0.0016854524386389971,0.00021068155482987464,0.015063731170336037,0.12245865374486464,0.00021068155482987464,0.038344042979037186,0.8205519856736543
