window,years_after,median_R,share_positive,n
2011-2014,1,0.0038546942676918,0.512,250
2011-2014,2,-0.0583071442674115,0.376,250
2011-2014,3,-0.01459816927958595,0.468,250
2011-2014,4,0.0398129841876883,0.564,250
2011-2014,5,-0.10775550184849411,0.344,250
2011-2014,6,-0.08388095643094151,0.356,250
2012-2015,1,-0.03662033027047995,0.416,250
2012-2015,2,-0.019862314265315602,0.456,250
2012-2015,3,0.003051644594112,0.504,250
2012-2015,4,-0.1028428666455666,0.316,250
2012-2015,5,-0.00918137210819645,0.48,250
2013-2016,1,-0.029248997217762952,0.444,250
2013-2016,2,0.0076676819787466,0.532,250
2013-2016,3,-0.11762978629530445,0.264,250
2013-2016,4,-0.01991924759497895,0.432,250
2014-2017,1,0.0039114548302249495,0.508,250
2014-2017,2,-0.07843801775284301,0.404,250
2014-2017,3,-0.0030397357530123,0.492,250
2015-2018,1,-0.08634535278401095,0.304,250
2015-2018,2,-0.021033519837307148,0.468,250
