detector,threshold,caught,n_events,recall,base_rate,lift,median_lag_days
breadth2sig,8.0,32,50,0.64,0.0401548137397194,15.938313253012048,1.0
maxabsmove,3.6902027531348582,35,50,0.7,0.04527687296416938,15.460431654676258,1.0
paneldisp,4.053817918713363,34,50,0.68,0.0493485342019544,13.77953795379538,0.5
legdiv20,5.049382681365396,20,50,0.4,0.041659859500081685,9.60156862745098,0.5
avgcorr60,0.12162380262622687,12,50,0.24,0.08141996417521576,2.94768,0.5
