structure,step,build,trade,cut_applied,passers,members,curve_bins,size_scale,scale_binds,cap_pct,cap_bound_days,net_min_votes,curve_mode,opposition,vote_on_entry_day,dip_budget,day_budget,build_median_year_pct
ALLPASS,1,2011-2015,2016-2016,False,104,104,6,1.5367569479372374,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.784602811429062
SLICE_BALANCED,1,2011-2015,2016-2016,False,104,104,6,1.5367569479372374,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.784602811429062
ALLPASS,2,2012-2016,2017-2017,False,104,104,6,1.2469164829327593,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.8264445621368575
SLICE_BALANCED,2,2012-2016,2017-2017,False,104,104,6,1.2469164829327593,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,4.8264445621368575
ALLPASS,3,2013-2017,2018-2018,False,104,104,6,1.0939276636570827,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.934222152491949
SLICE_BALANCED,3,2013-2017,2018-2018,False,104,104,6,1.0939276636570827,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.934222152491949
ALLPASS,4,2014-2018,2019-2019,False,104,104,6,1.179969016276381,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.759675743081252
SLICE_BALANCED,4,2014-2018,2019-2019,False,104,104,6,1.179969016276381,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,5.759675743081252
ALLPASS,5,2015-2019,2020-2020,False,104,104,6,1.2271747622433793,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.8096559088521422
SLICE_BALANCED,5,2015-2019,2020-2020,False,104,104,6,1.2271747622433793,DIP95,2.0,0,0.5,fitted,net,False,5.4,3.6,3.8096559088521422
