stream,window,trade_year,slice,group,n,grade_median_R,tune_median_R,trade_median_R,share_positive,pooled_PF
routed,2011-2014,2016,ALL,graded-pass,41,0.2051297321183785,0.4494131036092361,0.0491691254900691,0.5609756097560976,0.9964436339872621
routed,2011-2014,2016,ALL,graded-fail,63,-0.078138772528361,0.4498273972292118,0.0912000523805871,0.6666666666666666,1.159322746870758
routed,2011-2014,2016,ALL,all,104,0.05543415334568995,0.44962025041922393,0.06595799099729041,0.625,1.098460078555152
routed,2012-2015,2017,ALL,graded-pass,38,0.23409249717831035,0.5174065575276896,-0.10536954883312916,0.3684210526315789,0.8996273761255206
routed,2012-2015,2017,ALL,graded-fail,66,-0.10583288829717094,0.511490032016368,-0.0670394884434864,0.4090909090909091,0.9008782841074625
routed,2012-2015,2017,ALL,all,104,0.050007861911850554,0.511490032016368,-0.08974202792784855,0.3942307692307692,0.9004172965964282
routed,2013-2016,2018,ALL,graded-pass,26,0.296607354168285,0.3973715427973576,0.26617929271157315,0.7307692307692307,1.5103095095093155
routed,2013-2016,2018,ALL,graded-fail,78,-0.1498637795583341,0.46311674910222655,0.19300264096203584,0.7692307692307693,1.749152835990234
routed,2013-2016,2018,ALL,all,104,-0.08203858394730165,0.4588580638877907,0.19650537274050506,0.7596153846153846,1.6805375629872963
routed,2014-2017,2019,ALL,graded-pass,69,0.4163586580313382,0.4018408686117315,-0.0193768281340926,0.4927536231884058,1.1238937215511737
routed,2014-2017,2019,ALL,graded-fail,35,-0.1422754395812149,0.9492348058169628,-0.1375860748145899,0.2857142857142857,0.819677633550046
routed,2014-2017,2019,ALL,all,104,0.2947900716210311,0.4192741315475423,-0.04657549547054855,0.4230769230769231,1.0262061475280246
routed,2015-2018,2020,ALL,graded-pass,37,0.2981151778171349,0.5268259488401017,0.079137552839292,0.6216216216216216,1.1606372083153917
routed,2015-2018,2020,ALL,graded-fail,67,-0.0818244973028781,0.4817350672043844,0.0769677751479051,0.6268656716417911,1.2416753923506545
routed,2015-2018,2020,ALL,all,104,0.0051843381776205,0.49928100298175626,0.07737472420000244,0.625,1.2110147402539617
routed,POOLED,0,ALL,graded-pass,211,0.3056864070956496,0.4381080220828001,0.0161113117618757,0.5355450236966824,1.1056348389968331
routed,POOLED,0,ALL,graded-fail,309,-0.1082504033624212,0.4830045030172786,0.062044985539174,0.5857605177993528,1.1964142134741829
routed,POOLED,0,ALL,all,520,0.049741235810477596,0.46192089256749785,0.03602212146091985,0.5653846153846154,1.1590153078998935
routed,POOLED,0,C-trend,graded-pass,211,0.3056864070956496,0.4381080220828001,0.0161113117618757,0.5355450236966824,1.1056348389968331
routed,POOLED,0,C-trend,graded-fail,309,-0.1082504033624212,0.4830045030172786,0.062044985539174,0.5857605177993528,1.1964142134741829
routed,POOLED,0,C-trend,all,520,0.049741235810477596,0.46192089256749785,0.03602212146091985,0.5653846153846154,1.1590153078998935
allon,2011-2014,2016,ALL,graded-pass,52,0.16952040952121955,0.10578892380595485,-0.08354957296660726,0.3269230769230769,0.8545864861407697
allon,2011-2014,2016,ALL,graded-fail,52,-0.004721133379274749,0.14489573418870755,-0.046993866349295,0.38461538461538464,0.8398384089089425
allon,2011-2014,2016,ALL,all,104,0.08583646748781015,0.1240575492175408,-0.07070108073187134,0.3557692307692308,0.8463943655587777
allon,2012-2015,2017,ALL,graded-pass,15,0.1602036544071943,0.1662456446521601,-0.0203156075494857,0.4,0.8533806995887702
allon,2012-2015,2017,ALL,graded-fail,89,-0.0935980916943397,0.201241048791459,-0.0018083739859033,0.4943820224719101,1.040638270945239
allon,2012-2015,2017,ALL,all,104,-0.06759654119293951,0.19683451708413863,-0.00646812992885935,0.4807692307692308,1.0187300659496845
allon,2013-2016,2018,ALL,graded-pass,24,0.136600609586196,0.11270910505888396,0.09495705336301966,0.7916666666666666,1.303301327676139
allon,2013-2016,2018,ALL,graded-fail,80,-0.0597958746507372,0.1915055293732431,0.06710888452573979,0.775,1.2425233781752105
allon,2013-2016,2018,ALL,all,104,-0.0184595968018657,0.1645898145113378,0.07046416340653995,0.7788461538461539,1.257568751432134
allon,2014-2017,2019,ALL,graded-pass,60,0.2182639619134005,0.13183178902831927,-0.0008854768607074499,0.5,1.0167710718610203
allon,2014-2017,2019,ALL,graded-fail,44,0.0035467439661787,0.14781382773888135,-0.06234309553399445,0.4318181818181818,0.8083839875653435
allon,2014-2017,2019,ALL,all,104,0.11281483236732134,0.1353192176668781,-0.01050198894049155,0.47115384615384615,0.9223376694499509
allon,2015-2018,2020,ALL,graded-pass,17,0.2406774625491241,0.2186732378757999,-0.012014423448428,0.47058823529411764,1.0233367820431183
allon,2015-2018,2020,ALL,graded-fail,87,-0.0659306565813091,0.172977388780545,0.0113284681899047,0.5402298850574713,0.9855166361412284
allon,2015-2018,2020,ALL,all,104,-0.03380449134991015,0.18084574758531866,0.0105949078951849,0.5288461538461539,0.9916585051768994
allon,POOLED,0,ALL,graded-pass,168,0.18845104773322868,0.12951270540146365,-0.00789121866203875,0.47619047619047616,1.0021653342244998
allon,POOLED,0,ALL,graded-fail,352,-0.052643921960668805,0.17867120246512408,0.0157705500028563,0.5454545454545454,1.0051319529610594
allon,POOLED,0,ALL,all,520,0.0057086483205757,0.15980987376220845,0.01311813678659105,0.5230769230769231,1.0042285800904596
allon,POOLED,0,C-trend,graded-pass,168,0.18845104773322868,0.12951270540146365,-0.00789121866203875,0.47619047619047616,1.0021653342244998
allon,POOLED,0,C-trend,graded-fail,352,-0.052643921960668805,0.17867120246512408,0.0157705500028563,0.5454545454545454,1.0051319529610594
allon,POOLED,0,C-trend,all,520,0.0057086483205757,0.15980987376220845,0.01311813678659105,0.5230769230769231,1.0042285800904596
