cfg,n,mfe,mae,bars,eff,fav20,ratio
established,2266,0.01368471297614336,-0.015202444950534478,9.819064430714915,0.22100423448326534,0.4770520741394528,0.9001652708278507
transition starting,1842,0.014639954461626857,-0.014926512259955439,10.458197611292073,0.2152472026253004,0.48914223669923995,0.9808020927234721
transition confirming,3566,0.014333090112742095,-0.015099710786721112,10.017386427369601,0.21836328131914867,0.4845765563656758,0.9492294465233603
unresolved,3493,0.013833188492435701,-0.015731058103341286,10.026624677927282,0.216344472974246,0.46550243343830516,0.8793552475340183
