mode,slice,shards,eligible,survivors,rate_pct,null_pct,null_lo,null_hi,ratio
A,trend,32,221237,12263,5.543,5.593,5.34,5.845,0.991
A,chop,32,182886,5659,3.094,6.999,6.686,7.311,0.442
B,trend,32,222856,14815,6.648,5.578,5.323,5.833,1.192
B,chop,32,184892,5030,2.721,7.019,6.706,7.332,0.388
