window,trade,stream,n,build_median_R,trade_median_R,share_positive,median_retention,passers_on_window,regime_dependent
2011-2014,2016,routed,250,0.5245621260221965,-0.0583071442674115,0.376,-0.0710155567956186,250,250
2011-2014,2016,allon,250,0.18147990432665356,-0.0754638198385668,0.248,-0.40792925842239897,250,250
2012-2015,2017,routed,250,0.9706085506842985,-0.019862314265315602,0.456,-0.02060649018440488,250,250
2012-2015,2017,allon,250,0.2737398729023106,-0.0200255948498759,0.428,-0.06130962614660729,250,250
2013-2016,2018,routed,250,0.9619883873223987,0.0076676819787466,0.532,0.009775057453878053,249,250
2013-2016,2018,allon,250,0.25298078033792604,0.038311453318282895,0.608,0.15047054643342855,249,250
2014-2017,2019,routed,250,0.9401877104781626,-0.07843801775284301,0.404,-0.08000162111049783,247,249
2014-2017,2019,allon,250,0.23156134296467884,-0.08335864968858195,0.248,-0.35189594010750436,247,249
2015-2018,2020,routed,250,0.9596342159199662,-0.021033519837307148,0.468,-0.023375160312905825,249,249
2015-2018,2020,allon,250,0.2433127624699023,-0.0110708182366171,0.456,-0.04561440167837916,249,249
