window,trade,stream,n,build_median_R,trade_median_R,share_positive,median_retention,passers_on_window,regime_dependent
2011-2014,2016,routed,250,0.523031529891193,-0.0563166117572477,0.38,-0.06917768517172433,250,250
2011-2014,2016,allon,250,0.18383774053075747,-0.07423682435628595,0.252,-0.38842117601328235,250,250
2012-2015,2017,routed,250,0.9738405811383573,-0.021394639684152998,0.448,-0.019886486055944782,249,250
2012-2015,2017,allon,250,0.2786304951909681,-0.01626205698748595,0.428,-0.06396949249893517,249,250
2013-2016,2018,routed,250,0.9740055414886504,0.00953649327310925,0.532,0.011197546320267052,249,250
2013-2016,2018,allon,250,0.257739573967794,0.043465221481409605,0.604,0.16702390297457692,249,250
2014-2017,2019,routed,250,0.957428564689877,-0.0823376356094666,0.388,-0.09130767155237457,247,249
2014-2017,2019,allon,250,0.2382153129360614,-0.08486234268152776,0.236,-0.35896234838595414,247,249
2015-2018,2020,routed,250,0.9707782495496826,-0.0092415046489682,0.484,-0.012692715639247756,249,249
2015-2018,2020,allon,250,0.24810377590248014,-0.0044511089949526,0.484,-0.018030878972418063,249,249
