budget,draw,median_year_pct,total_return_pct,max_dd_pct,trades
team1,0,-1.127259854634105,-3.702712769077886,5.725043421584948,329042
team2,0,-1.6908897819511575,-5.554069153616826,8.58756513237742,329042
team1,1,-1.1706274488587842,-4.812623622615518,5.594316422263141,328908
team2,1,-1.7559411732881762,-7.218935433923276,8.391474633394726,328908
team1,2,-0.7522081289444242,-2.73080820644776,4.310329869531763,330782
team2,2,-1.1283121934166365,-4.096212309671639,6.465494804297645,330782
team1,3,-0.9886658002532621,-2.624310726476927,5.381290886276789,331013
team2,3,-1.482998700379893,-3.93646608971539,8.071936329415184,331013
team1,4,-1.07498426332263,-5.770476537792691,7.712865797663994,338861
team2,4,-1.612476394983945,-8.655714806689035,11.569298696495995,338861
team1,5,-2.0956265028169176,-6.758576326867494,8.383938430656077,331534
team2,5,-3.1434397542253767,-10.13786449030124,12.575907645984115,331534
team1,6,-0.8837982707321123,-3.507906964177825,5.877153000383447,337961
team2,6,-1.325697406098168,-5.261860446266736,8.81572950057517,337961
team1,7,-0.5637613139759118,-2.0662399556706914,4.102218333138949,340051
team2,7,-0.8456419709638676,-3.0993599335060376,6.153327499708425,340051
team1,8,-0.9579311226244234,-3.1061780573207827,4.635946850603288,332117
team2,8,-1.4368966839366348,-4.659267085981173,6.953920275904933,332117
team1,9,-1.6122306115018827,-5.585684757840287,7.287081535488937,336626
team2,9,-2.418345917252824,-8.37852713676043,10.930622303233415,336626
team1,10,-0.9293083229700658,-4.525050077288279,6.042752459111244,330025
team2,10,-1.3939624844550988,-6.787575115932423,9.064128688666854,330025
team1,11,-1.1589880246363118,-4.22208902394059,5.793602199112465,336823
team2,11,-1.7384820369544676,-6.333133535910886,8.690403298668707,336823
team1,12,-1.0832949638479665,-2.8190569739414597,4.616165603993109,331078
team2,12,-1.6249424457719501,-4.228585460912192,6.924248405989665,331078
team1,13,-1.3334865522793424,-5.92566870250748,7.380414720121039,335682
team2,13,-2.000229828419014,-8.888503053761221,11.07062208018154,335682
team1,14,-0.6563670346152125,-0.9397327768018758,3.8954476655089527,330121
team2,14,-0.9845505519228192,-1.409599165202815,5.843171498263436,330121
team1,15,-0.9278061830643585,-4.105550873971172,6.27958315278338,332135
team2,15,-1.3917092745965376,-6.158326310956758,9.419374729175072,332135
team1,16,-1.3169244638689361,-4.997031601238309,6.972330123691804,328860
team2,16,-1.975386695803404,-7.495547401857467,10.458495185537698,328860
team1,17,-0.8778034099679632,-4.046530876721045,5.945197311269167,338099
team2,17,-1.316705114951945,-6.069796315081568,8.917795966903753,338099
team1,18,-0.5207166864967914,-2.1731484543053576,5.119307510794337,336487
team2,18,-0.7810750297451877,-3.2597226814580367,7.678961266191504,336487
team1,19,-1.3226841060730392,-5.329783557048609,7.227872203648383,336817
team2,19,-1.9840261591095592,-7.994675335572914,10.841808305472554,336817
team1,20,-0.7732895735280163,-3.454334404670712,4.824260957644146,337331
team2,20,-1.1599343602920247,-5.1815016070060675,7.236391436466232,337331
team1,21,-0.9729818232845334,-4.064345288513666,5.905853127145753,341307
team2,21,-1.4594727349268006,-6.0965179327705,8.858779690718633,341307
team1,22,-0.7236653727712588,-2.9141418860038675,5.103574995689669,342633
team2,22,-1.0854980591568884,-4.371212829005801,7.655362493534511,342633
team1,23,-1.8418682811875067,-5.193974881628771,6.924874385610693,330885
team2,23,-2.7628024217812595,-7.790962322443157,10.387311578416043,330885
team1,24,-1.0607098133330637,-4.099284413816836,5.947886959818582,343951
team2,24,-1.5910647199995958,-6.148926620725255,8.921830439727874,343951
