si,ti,mi,ai,so,to,mo,ao,agree_dir,n_pairs,dec,held,signal,target
-0.0233162846580742,-14.290317602916746,-0.943322816198489,0.8571428571428571,-0.04655270077069418,-24.983069740605647,-0.95683280841431,0.8928571428571429,0.8214285714285714,28,1.7482515388955695,True,z_paneldisp_40,eff_abs
-0.025658496067395176,-15.70594340182122,-0.9133902478738093,0.8571428571428571,-0.04690028890613479,-25.41349928829464,-0.9708611874395333,0.9642857142857143,0.8928571428571429,28,1.6180816801713267,True,z_panelvol_40,eff_abs
-0.02811410814315457,-17.278253858367755,-0.7567925600336647,0.8928571428571429,-0.04031400637889199,-21.88713059182936,-0.9545828568411427,0.9285714285714286,0.8928571428571429,28,1.2667443580376356,True,z_panelvol_60,eff_abs
-0.02281809657953074,-13.74272076774153,-0.9116960732081796,0.75,-0.02131197313077063,-11.53524130009971,-0.9931250164617734,0.8571428571428571,0.6785714285714286,28,0.8393710019326401,True,zz_bbw_D120,eff_abs
-0.02257738846208593,-13.595079682887723,-0.9329405546392981,0.8214285714285714,-0.01781870669567817,-9.650777912480237,-0.9619019521166237,0.8571428571428571,0.6785714285714286,28,0.7098728464701665,True,zz_bbw_W26,eff_abs
-0.025658496067395176,-15.70594340182122,-0.9133902478738093,0.8571428571428571,-0.04690028890613479,-25.41349928829464,-0.9708611874395333,0.9642857142857143,0.8928571428571429,28,1.6180816801713267,True,zz_panelvol_D40,eff_abs
-0.0233162846580742,-14.290317602916746,-0.943322816198489,0.8571428571428571,-0.04655270077069418,-24.983069740605647,-0.95683280841431,0.8928571428571429,0.8214285714285714,28,1.7482515388955695,True,zz_paneldisp_D40,eff_abs
-0.02811410814315457,-17.278253858367755,-0.7567925600336647,0.8928571428571429,-0.04031400637889199,-21.88713059182936,-0.9545828568411427,0.9285714285714286,0.8928571428571429,28,1.2667443580376356,True,zz_panelvol_D60,eff_abs
-0.024404953133485202,-14.687344803861048,-0.5493886950445978,0.8214285714285714,-0.032325939245441165,-17.378893917959054,-0.960880559047383,0.8571428571428571,0.75,28,1.1832563441548976,True,zz_ppaneldisp_M3,eff_abs
-0.02281809657953074,-13.74272076774153,-0.9116960732081796,0.75,-0.02131197313077063,-11.53524130009971,-0.9931250164617734,0.8571428571428571,0.6785714285714286,28,0.8393710019326401,True,z_bbw_120,eff_abs
0.021224877917533608,12.416160925819627,0.9773592878913864,0.7142857142857143,0.023469405826567646,12.73773029349848,0.9668675534349217,0.8928571428571429,0.6785714285714286,28,1.0258992590060703,True,zz_tsexceed_D375,eff_abs
-0.022380806590124397,-13.622910725144846,-0.6641323843863297,0.8571428571428571,-0.025598002946678328,-14.249728682994826,-0.9665622011038156,0.8928571428571429,0.75,28,1.0460120432774336,True,zz_coex3_D120,eff_abs
-0.020667839625954976,-12.592031517272735,-0.9011432657567865,0.8571428571428571,-0.023615473357007033,-12.862093365049885,-0.9710924047309529,0.8571428571428571,0.7142857142857143,28,1.0214470435057839,True,zz_coex2_D150,eff_abs
-0.02028938439648892,-13.39255257061539,-0.7929961991218424,0.8571428571428571,-0.0284284552799009,-15.399586040841735,-0.9509021570210637,0.8928571428571429,0.8928571428571429,28,1.1498619071789182,True,cx2_s40,eff_abs
-0.02341138448545485,-14.941044813829578,-0.7485387432379373,0.8571428571428571,-0.040250430050572716,-21.84643199419556,-0.9571716680335761,0.9285714285714286,0.7857142857142857,28,1.4621756554785437,True,cx4_m375,eff_abs
-0.021281413982922243,-13.316418921598721,-0.8145448935478643,0.8571428571428571,-0.027233151660074173,-14.741496962386492,-0.9798024003574908,0.9285714285714286,0.7857142857142857,28,1.107016612287283,True,za_cx3_s25,eff_abs
-0.020335614568530225,-11.516756516458349,-0.6318615722743072,0.7857142857142857,-0.02748376315387488,-14.823879543475849,-0.9604750796022915,0.8928571428571429,0.8928571428571429,28,1.287157501531908,True,zb_dts_60_750,eff_abs
-0.02051912646878895,-11.590118209660229,-0.5030394242476585,0.7857142857142857,-0.03532116244477468,-19.124644360361014,-0.962468895528222,0.9642857142857143,0.8214285714285714,28,1.6500819072251434,True,zb_ats_60_750,eff_abs
