stream,window,trade_year,slice,group,n,grade_median_R,tune_median_R,trade_median_R,share_positive,pooled_PF
routed,2011-2014,2016,ALL,graded-pass,80,0.440017817345259,0.41241822236609393,-0.0450957508130478,0.375,0.9138780352767347
routed,2011-2014,2016,ALL,graded-fail,170,-0.07832416550601405,0.6076083732877742,-0.0568458898210307,0.38235294117647056,0.8648107098730844
routed,2011-2014,2016,ALL,all,250,0.00327408854825315,0.523031529891193,-0.0563166117572477,0.38,0.8826807024472069
routed,2012-2015,2017,ALL,graded-pass,46,0.20690096584169948,0.9058996816986483,-0.00364840145048225,0.5,1.0239311176011252
routed,2012-2015,2017,ALL,graded-fail,204,-0.07867213868179795,0.9834934717924548,-0.026449868095848247,0.4362745098039216,0.9615429870767284
routed,2012-2015,2017,ALL,all,250,-0.03130939594496675,0.9738405811383573,-0.021394639684152998,0.448,0.9711597876610862
routed,2013-2016,2018,ALL,graded-pass,78,0.23815741791896822,0.9254133713640971,0.08546913279318286,0.6794871794871795,1.3168367880034673
routed,2013-2016,2018,ALL,graded-fail,172,-0.1271319663895951,0.9754054660740212,-0.038097195680636506,0.46511627906976744,1.0284306595513568
routed,2013-2016,2018,ALL,all,250,-0.027884988613989553,0.9740055414886504,0.00953649327310925,0.532,1.1008183390802613
routed,2014-2017,2019,ALL,graded-pass,92,0.24821595499965043,0.957428564689877,-0.10471008666938145,0.40217391304347827,0.8382873598657256
routed,2014-2017,2019,ALL,graded-fail,158,-0.1115222390707226,0.9563618726095935,-0.0664132841088779,0.379746835443038,0.9232725542096925
routed,2014-2017,2019,ALL,all,250,0.010002738664384,0.957428564689877,-0.0823376356094666,0.388,0.8948408584125739
routed,2015-2018,2020,ALL,graded-pass,38,0.20094580544209714,0.8681295526416835,-0.0058579482562129,0.47368421052631576,0.9518529396363744
routed,2015-2018,2020,ALL,graded-fail,212,-0.13215531067677225,0.9749166653233072,-0.01233562942423275,0.4858490566037736,1.0146381392854635
routed,2015-2018,2020,ALL,all,250,-0.0824731560979764,0.9707782495496826,-0.0092415046489682,0.484,1.0050440474659903
routed,POOLED,0,ALL,graded-pass,334,0.24288218421740015,0.7528703122494984,-0.0114090926158053,0.4820359281437126,0.984890366961222
routed,POOLED,0,ALL,graded-fail,916,-0.1032394253597313,0.9306726314363871,-0.0355251483479223,0.4334061135371179,0.9613894793948344
routed,POOLED,0,ALL,all,1250,-0.0296866107756988,0.8908440031812097,-0.02718605825374945,0.4464,0.9673096355590818
routed,POOLED,0,A-chop,graded-pass,37,0.3160923352467302,0.5087561290133027,0.0560922942695702,0.5945945945945946,1.0752205144082025
routed,POOLED,0,A-chop,graded-fail,103,-0.1135115204442841,0.4515213524701977,-0.0292144596800237,0.46601941747572817,1.003857335102428
routed,POOLED,0,A-chop,all,140,-0.0104935274430774,0.4612018726107777,-0.0041456322386981,0.5,1.0213582496453684
routed,POOLED,0,A-trend,graded-pass,127,0.2367932406168856,0.9849420685406164,-0.0337723773222189,0.44881889763779526,0.9410751736717655
routed,POOLED,0,A-trend,graded-fail,323,-0.128498737415387,1.0802460828640237,-0.0394860305243365,0.43343653250773995,0.914032659826873
routed,POOLED,0,A-trend,all,450,-0.039479871845516754,1.0525479041597001,-0.035200482580833706,0.43777777777777777,0.9212715507103899
routed,POOLED,0,B-chop,graded-pass,33,0.2945020152751864,0.4262160816172139,-0.0684075397170295,0.45454545454545453,0.8529273420328357
routed,POOLED,0,B-chop,graded-fail,107,-0.0910086412957162,0.4648322548797902,-0.0015377539643188,0.4953271028037383,1.0072772537933545
routed,POOLED,0,B-chop,all,140,-0.04679857270303785,0.45041276763314,-0.00463355770464935,0.4857142857142857,0.969788769384678
routed,POOLED,0,B-trend,graded-pass,137,0.2243384209544722,0.8317540069489541,-0.0061656745742709,0.48905109489051096,1.0531425022488952
routed,POOLED,0,B-trend,graded-fail,383,-0.0890268223798622,1.0356856516710915,-0.0415245448906185,0.4073107049608355,0.9430163572019259
routed,POOLED,0,B-trend,all,520,-0.0232355777026521,1.0068344480546132,-0.0307462698671708,0.4288461538461538,0.9700484575009998
allon,2011-2014,2016,ALL,graded-pass,84,0.1818832944254504,0.1577669080988381,-0.06858821525127395,0.23809523809523808,0.8168715952880276
allon,2011-2014,2016,ALL,graded-fail,166,-0.03261554119762555,0.2076373018647769,-0.07549663751234355,0.25903614457831325,0.7912793959845065
allon,2011-2014,2016,ALL,all,250,0.0287475130703543,0.18383774053075747,-0.07423682435628595,0.252,0.7997445126196702
allon,2012-2015,2017,ALL,graded-pass,16,0.12004109853175075,0.3164217098686758,-0.018795946683067548,0.1875,0.7994280598243642
allon,2012-2015,2017,ALL,graded-fail,234,-0.08828369644851394,0.27385102914638626,-0.01530307590461805,0.4444444444444444,0.9576433533214358
allon,2012-2015,2017,ALL,all,250,-0.08103747242690146,0.2786304951909681,-0.01626205698748595,0.428,0.9496332797408594
allon,2013-2016,2018,ALL,graded-pass,50,0.1368871573143181,0.2194887818983985,0.09482007302540804,0.82,1.3453333000835717
allon,2013-2016,2018,ALL,graded-fail,200,-0.0518239132633977,0.2651594590301273,0.022398551685376397,0.55,1.066372921688373
allon,2013-2016,2018,ALL,all,250,-0.01986463030883295,0.257739573967794,0.043465221481409605,0.604,1.1115029057485963
allon,2014-2017,2019,ALL,graded-pass,86,0.16728087618414694,0.23038169293995958,-0.06267582183651425,0.26744186046511625,0.8193977639764756
allon,2014-2017,2019,ALL,graded-fail,164,-0.02896903780977655,0.2423341826557203,-0.0953750377023392,0.21951219512195122,0.767501586897039
allon,2014-2017,2019,ALL,all,250,0.0256655135568621,0.2382153129360614,-0.08486234268152776,0.236,0.7858499350703606
allon,2015-2018,2020,ALL,graded-pass,9,0.160309287854983,0.1536864812599516,-0.044658215712255,0.1111111111111111,0.8912264024826999
allon,2015-2018,2020,ALL,graded-fail,241,-0.0918053254028149,0.2527245248308919,-3.877114503939039e-05,0.4979253112033195,0.9613002976771905
allon,2015-2018,2020,ALL,all,250,-0.08890435008380859,0.24810377590248014,-0.0044511089949526,0.484,0.9591485485997894
allon,POOLED,0,ALL,graded-pass,245,0.160660743486676,0.2031514531457793,-0.0338677405764276,0.35918367346938773,0.8995300059545431
allon,POOLED,0,ALL,graded-fail,1005,-0.0606116840504457,0.253488042338967,-0.0280521627414429,0.4109452736318408,0.9168389732554096
allon,POOLED,0,ALL,all,1250,-0.031005981865820202,0.2408330814034704,-0.02860690657714025,0.4008,0.9135321314204385
allon,POOLED,0,A-chop,graded-pass,24,0.2438043052038098,0.14625037667799484,-0.0408886700028759,0.375,0.956908093490004
allon,POOLED,0,A-chop,graded-fail,116,-0.1060497172687696,0.16539446713141936,-0.0540815493922539,0.39655172413793105,0.9304175093108485
allon,POOLED,0,A-chop,all,140,-0.048242218300630704,0.15367499705030196,-0.05223500341905425,0.39285714285714285,0.9342783969849188
allon,POOLED,0,A-trend,graded-pass,92,0.1670547753198086,0.2274547713548197,-0.08097653608077149,0.29347826086956524,0.8285261895086652
allon,POOLED,0,A-trend,graded-fail,358,-0.0769277397500373,0.29553453147937037,-0.047285969513855,0.3715083798882682,0.8797919223099133
allon,POOLED,0,A-trend,all,450,-0.039690855232991,0.2782336967144645,-0.048866019837937244,0.35555555555555557,0.8687119730282236
allon,POOLED,0,B-chop,graded-pass,25,0.1982810446410835,0.177279629607683,-0.0227106196657043,0.4,0.9884844126259671
allon,POOLED,0,B-chop,graded-fail,115,-0.0799935720961196,0.1578717404402242,-0.017535171439682,0.4608695652173913,0.9473337549170985
allon,POOLED,0,B-chop,all,140,-0.05005122323704245,0.16130673605993526,-0.021624095434553348,0.45,0.954363735074888
allon,POOLED,0,B-trend,graded-pass,104,0.13019418911659386,0.21926592213136786,-0.017020564376413097,0.40384615384615385,0.934049822802525
allon,POOLED,0,B-trend,graded-fail,416,-0.0442961272494545,0.27385102914638626,-0.01297158432952315,0.43509615384615385,0.9378000348144089
allon,POOLED,0,B-trend,all,520,-0.01716858661524215,0.2589020251062504,-0.0140193022592012,0.4288461538461538,0.9370614381378837
