driver,status,good_for,decided_by,evidence,files
1 rate differential momentum,DEAD,nothing that survives,separation -- sub-period split,"holdout ranging separation -0.319 (p=0.020) but +0.160 in 2016-19, the WRONG SIGN, turning negative only from 2020. A post-COVID rate-cycle artefact.",driver_separation_a.csv; driver_subperiod.csv; ratediff_momentum_*.csv; ratediff_pre1999_result.csv
2 MOVE (bond volatility),KEEPER,"confirming the CURRENT regime, crisis especially",separation -- held sign in every sub-period,"crisis days read ~0.9 sd above everything else; range-leaning -0.538 / -0.314 / -0.648 across the three holdout sub-periods, same sign and size throughout. Holdout null p=0.020.",driver_separation_b.csv; driver_subperiod.csv; driver_forward_b.csv; move_*.csv
3 equity correlation (S&P 500),DEAD,nothing that survives,separation -- sign flip between halves,"crisis separation +0.172 in-sample (p=0.020) flips to -0.071 on the holdout (p=0.647); sub-periods +0.112 / -0.105 / -0.139. Mechanism check technically held (JPY/CHF |sep| 0.238 vs 0.199) but the largest single pair was EURAUD, not a funding cross.",driver_separation_c.csv; driver_subperiod_c.csv; driver_mechanism_c.csv; driver_forward_c.csv
4 yield curve shape (10y - 2y),DEAD,nothing that survives,separation -- sign flip between halves AND sub-periods,"crisis separation -0.108 in-sample flips to +0.082 on the holdout; sub-periods +0.073 / -0.650 / +0.224. Fails both nulls (p=0.569, p=0.686). Only 10 of 28 pairs testable: AUD and CAD have a 2y but no daily 10y, NZD has neither.",driver_separation_d.csv; driver_subperiod_d.csv; driver_forward_d.csv; rates10y_coverage.csv
"5 commodities (oil, gold)",DEAD,nothing that survives,separation -- sub-period sign flip,"trending separation -0.199 in-sample (p=0.039) holds sign on the holdout (-0.107) but fails its null there (p=0.431), and sub-periods flip: -0.122 / -0.532 / +0.150. Forward crisis lift was x1.17 in BOTH halves -- the most consistent forward number in the programme -- but fails its null in both (p=0.255, p=0.235).",driver_separation_e.csv; driver_subperiod_e.csv; driver_forward_e.csv
"5b NZD commodities (dairy, coal)",UNTESTABLE,unknown -- no free data exists,"data availability, before any test","Dairy (GDT auction) and coal are not free. Iron ore TIO=F IS free but only from 2010-10-14 and is scoped to AUD, which gold already covers. Recorded as untestable rather than tested badly.",driver_separation_e.txt
